ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
SPY,2014-01-10,184.034274,184.0,28,0.0005,2.12,3.077042878884259,0.9570428788842591,0.275,26.552
SPY,2014-01-17,183.697407,183.5,28,0.0005,2.25,3.0905911897067195,0.8405911897067195,0.3425,25.886
SPY,2014-01-27,178.028708,178.0,32,0.0005,3.08,3.1889353509198637,0.10893535091986362,0.254,30.1675
SPY,2014-02-03,174.09729,174.0,32,0.0005,3.76,4.098501367954012,0.3385013679540121,0.2995,29.8315
SPY,2014-02-10,180.029848,180.0,32,0.0007,2.75,4.052697659747301,1.3026976597473006,0.2935,28.1175
SPY,2014-02-18,184.270058,184.5,24,0.0005,1.94,3.445975642803619,1.505975642803619,0.2705,22.04
SPY,2014-02-25,184.775684,185.0,31,0.0005,2.31,3.943289841773489,1.6332898417734891,0.2535,28.5215
SPY,2014-03-04,187.72152,187.5,31,0.0005,2.33,3.6886971480534605,1.3586971480534604,0.2505,29.275
SPY,2014-03-11,187.194039,187.0,31,0.0005,2.33,3.685664911911813,1.3556649119118127,0.2765,29.881
SPY,2014-03-18,187.73373,187.5,24,0.0005,1.98,3.0580726559774813,1.0780726559774814,0.277,21.8725
SPY,2014-03-25,186.269224,186.5,31,0.0005,2.5,3.616389324280628,1.116389324280628,0.211,30.036
SPY,2014-04-01,188.316685,188.5,31,0.0004,2.38,3.428846347852616,1.0488463478526162,0.282,28.881
SPY,2014-04-08,185.066742,185.0,31,0.0003,2.87,3.3820574421421044,0.5120574421421042,0.276,29.028
SPY,2014-04-15,184.203993,184.0,32,0.0004,3.22,3.578879799691036,0.358879799691036,0.2625,29.1485
SPY,2014-04-23,187.473354,187.5,30,0.0002,2.62,3.414591486232143,0.794591486232143,0.208,28.417
SPY,2014-04-30,188.35254,188.5,30,0.0003,2.41,3.473605937914126,1.0636059379141258,0.248,28.026
SPY,2014-05-07,187.886821,188.0,30,0.0003,2.5,3.7080806061829574,1.2080806061829574,0.2055,28.926
SPY,2014-05-14,189.084826,189.0,30,0.0003,2.34,3.46165193978958,1.1216519397895803,0.2315,28.2655
SPY,2014-05-21,189.113585,189.0,31,0.0004,2.2,3.4658594199325323,1.2658594199325321,0.2405,28.352
SPY,2014-05-29,192.382646,192.5,29,0.0004,1.75,3.5677898804668136,1.8177898804668136,0.248,27.947
SPY,2014-06-05,194.492433,194.5,28,0.0004,1.75,3.1022027492041895,1.3522027492041895,0.322,25.9705
SPY,2014-06-12,193.57314,193.5,29,0.0004,1.81,3.103313777552758,1.2933137775527581,0.2345,26.1995
SPY,2014-06-19,196.535916,196.5,36,0.0002,1.6,4.001276810511386,2.4012768105113858,0.3065,33.1555
SPY,2014-06-26,195.426696,195.5,29,0.0004,1.96,3.1633436396403867,1.2033436396403867,0.343,27.1825
SPY,2014-07-03,198.305847,198.5,29,0.0001,1.64,3.264465520941577,1.624465520941577,0.132,28.025
SPY,2014-07-11,196.615496,196.5,28,0.0002,2.21,3.062338769059678,0.8523387690596782,0.235,26.9435
SPY,2014-07-18,197.719586,197.5,35,0.0002,2.5,3.873009940917699,1.373009940917699,0.289,32.1805
SPY,2014-07-25,197.744036,197.5,28,0.0003,2.33,3.0871609232616493,0.7571609232616492,0.2195,25.6105
SPY,2014-08-01,192.49763,192.5,28,0.0003,3.05,3.0027651192537275,-0.047234880746272356,0.248,26.964
SPY,2014-08-08,193.263618,193.5,28,0.0003,2.63,2.884983921362028,0.2549839213620282,0.298,25.3875
SPY,2014-08-15,195.727915,195.5,28,0.0003,2.5,3.285168555403399,0.7851685554033989,0.3035,25.8655
SPY,2014-08-22,199.147596,199.0,29,0.0003,2.12,3.388767491985824,1.268767491985824,0.2415,27.6845
SPY,2014-08-29,200.72639,200.0,28,0.0003,2.16,3.3621269988174434,1.2021269988174432,0.35,23.753
SPY,2014-09-08,200.631279,200.5,32,0.0002,1.94,3.4187325056217315,1.4787325056217315,0.216,30.771
SPY,2014-09-15,198.977082,199.0,33,0.0002,2.27,3.4726949083804586,1.2026949083804586,0.1675,31.331
SPY,2014-09-22,199.087455,199.0,32,0.0001,2.67,3.476570966870246,0.8065709668702459,0.2695,29.967
SPY,2014-09-29,197.516384,197.5,32,0.0002,3.04,3.47679582566661,0.4367958256666098,0.3065,30.389
SPY,2014-10-06,196.27112,196.5,32,0.0002,2.96,3.799507772667158,0.839507772667158,0.1625,29.5385
SPY,2014-10-13,187.380937,187.5,32,0.0001,4.58,3.9818620394474484,-0.5981379605525516,0.332,29.329
SPY,2014-10-20,190.325776,190.5,33,0.0002,3.69,4.014204947221625,0.3242049472216251,0.2205,31.4005
SPY,2014-10-27,196.103723,196.0,32,0.0002,3.42,4.393004291550247,0.9730042915502475,0.232,30.24
SPY,2014-11-03,201.744762,201.5,32,0.0002,3.2,4.760873974333152,1.560873974333152,0.259,30.6605
SPY,2014-11-10,203.965709,204.0,32,0.0002,2.55,4.626850867974412,2.0768508679744118,0.264,30.541
SPY,2014-11-17,204.377756,204.5,25,0.0003,2.26,4.1802557506095255,1.9202557506095257,0.2355,24.24
SPY,2014-11-24,207.271353,207.5,32,0.0002,1.98,4.553376462972616,2.573376462972616,0.1945,29.497
SPY,2014-12-02,207.090256,207.0,29,0.0003,2.15,3.199846816688803,1.0498468166888033,0.279,26.543
SPY,2014-12-09,206.506174,206.5,31,0.0004,2.29,3.498365412366651,1.2083654123666512,0.251,28.6025
SPY,2014-12-16,197.893925,198.0,32,0.0003,3.9,3.4233601982533037,-0.4766398017466962,0.2745,30.1095
SPY,2014-12-23,207.762161,208.0,31,0.0003,2.98,3.1899301290610684,0.20993012906106845,0.303,29.592
SPY,2014-12-31,205.503394,205.5,30,0.0004,3.65,4.159835875818167,0.5098358758181667,0.313,27.913
