ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
AAPL,2018-10-01,225.74,225.0,32,0.0223,7.675,7.984431355398754,0.309431355398754,0.249,29.9735
AAPL,2018-10-08,224.29,225.0,32,0.0223,7.65,6.891800824227374,-0.7581991757726261,0.321,28.304
AAPL,2018-10-15,222.11,222.5,25,0.0231,7.85,6.205517225321117,-1.6444827746788828,0.3035,22.671
AAPL,2018-10-22,219.31,220.0,32,0.0233999999999999,7.925,7.186561878875673,-0.7384381211243269,0.3005,29.408
AAPL,2018-10-29,216.3,217.5,32,0.0233999999999999,8.85,6.684419747989934,-2.1655802520100655,0.2855,29.1725
AAPL,2018-11-05,207.48,207.5,32,0.0236,6.975,6.946335413012866,-0.02866458698713359,0.298,28.2685
AAPL,2018-11-12,204.47,205.0,32,0.0236,6.725,6.528627434976963,-0.19637256502303657,0.264,29.573
AAPL,2018-11-19,193.53,192.5,25,0.0237999999999999,6.925,6.348990882185248,-0.5760091178147517,0.292,23.343
AAPL,2018-11-27,174.62,175.0,31,0.0241,6.525,5.696702608869453,-0.8282973911305476,0.3195,28.8235
AAPL,2018-12-04,184.82,185.0,31,0.0242,5.4,6.2514456684682225,0.8514456684682221,0.3295,27.859
AAPL,2018-12-11,169.6,170.0,31,0.0241,6.625,6.003475108262822,-0.6215248917371783,0.247,29.763
AAPL,2018-12-18,163.94,165.0,30,0.0239,6.625,5.1594192641837795,-1.4655807358162205,0.286,28.454
AAPL,2018-12-26,146.83,147.0,23,0.0243999999999999,7.2,4.141398907497228,-3.058601092502772,0.266,22.1995
AAPL,2019-01-03,157.92,157.5,29,0.0241,7.5,5.600925652053742,-1.8990743479462582,0.307,26.8125
AAPL,2019-01-10,153.31,152.5,29,0.0243,6.5,5.509235596023461,-0.9907644039765389,0.2415,27.336
AAPL,2019-01-17,154.94,155.0,29,0.0242,5.325,5.373511392683716,0.04851139268371618,0.25,27.1
AAPL,2019-01-25,152.7,152.5,28,0.0239,5.525,5.575654116651632,0.05065411665163122,0.232,26.7885
AAPL,2019-02-01,166.44,167.5,28,0.024,3.8,5.02390835362237,1.2239083536223703,0.2065,26.0085
AAPL,2019-02-08,170.94,170.0,28,0.0243,4.7,5.892170548799707,1.192170548799707,0.302,25.157
AAPL,2019-02-15,170.8,170.0,28,0.0243,4.85,6.3980176193274545,1.5480176193274549,0.11,27.4995
AAPL,2019-02-25,172.97,172.5,32,0.0247,4.75,6.291829351845965,1.5418293518459647,0.329,29.765
AAPL,2019-03-04,174.97,175.0,31,0.0246,4.275,5.686667689180976,1.4116676891809758,0.3325,26.7185
AAPL,2019-03-11,172.91,172.5,32,0.0246,5.0,6.893874936210718,1.8938749362107181,0.261,29.2705
AAPL,2019-03-18,186.12,185.0,31,0.0243999999999999,5.35,7.128019325861642,1.7780193258616421,0.2145,29.166
AAPL,2019-03-25,191.05,190.0,32,0.0246,6.65,7.721743991826769,1.0717439918267688,0.312,30.23
AAPL,2019-04-01,189.95,190.0,32,0.0243,6.725,6.9276116252331,0.20261162523310006,0.2365,31.226
AAPL,2019-04-08,197.0,197.5,32,0.0243,6.525,7.164107632861114,0.6391076328611138,0.24,30.0405
AAPL,2019-04-15,198.87,200.0,32,0.0243,6.2,6.382927609770208,0.18292760977020794,0.254,30.086
AAPL,2019-04-23,204.53,205.0,31,0.0245,6.125,7.0140126383554176,0.8890126383554176,0.219,29.7095
AAPL,2019-04-30,204.61,205.0,31,0.0243,6.15,7.005699059636874,0.8556990596368736,0.2275,29.614
AAPL,2019-05-07,208.48,207.5,31,0.0243,5.65,7.940201331021029,2.290201331021029,0.328,28.5165
AAPL,2019-05-14,185.72,185.0,31,0.0241,7.525,7.075756556870976,-0.4492434431290242,0.108,29.9175
AAPL,2019-05-21,183.09,182.5,31,0.0239,7.125,6.5860693409118065,-0.5389306590881935,0.308,26.901
AAPL,2019-05-29,178.23,177.5,30,0.0237,6.7,6.428292620713213,-0.271707379286787,0.272,27.135
AAPL,2019-06-05,179.64,180.0,30,0.0235,5.9,6.139325044331641,0.2393250443316406,0.2665,27.9825
AAPL,2019-06-12,194.81,195.0,30,0.0224,6.325,6.951146069838177,0.6261460698381764,0.277,28.046
AAPL,2019-06-19,198.45,197.5,23,0.0218,5.725,6.588413389198528,0.8634133891985281,0.2875,20.145
AAPL,2019-06-26,195.57,195.0,30,0.0215,6.3,6.883421609491494,0.5834216094914941,0.192,27.3275
AAPL,2019-07-03,202.73,202.5,30,0.0220999999999999,6.75,7.464357277296622,0.7143572772966218,0.316,26.8805
AAPL,2019-07-11,203.23,202.5,29,0.0217,6.65,7.723738153543239,1.0737381535432382,0.3005,27.447
AAPL,2019-07-18,203.35,202.5,36,0.0204999999999999,6.875,8.920861115157408,2.0458611151574075,0.278,32.8645
AAPL,2019-07-25,208.67,207.5,29,0.021,6.625,8.176518166989373,1.5515181669893732,0.1705,27.8335
AAPL,2019-08-01,213.04,212.5,29,0.0207,5.525,8.108952633722673,2.5839526337226726,0.2355,27.2415
AAPL,2019-08-08,199.04,200.0,29,0.0202,5.9,6.924023829851669,1.0240238298516688,0.2595,27.596
AAPL,2019-08-15,202.75,202.5,29,0.0191,7.375,7.393434121615725,0.018434121615724663,0.2555,26.6515
AAPL,2019-08-22,212.64,212.5,29,0.02,6.375,7.099968556853777,0.7249685568537769,0.2995,26.1475
AAPL,2019-08-29,205.53,205.0,29,0.0199,7.475,7.51232399622255,0.03732399622255045,0.269,26.246
AAPL,2019-09-06,213.28,212.5,28,0.0196,6.525,8.17019240428209,1.6451924042820902,0.1835,26.0465
AAPL,2019-09-13,223.085,222.5,28,0.0196,6.35,7.752835866142953,1.4028358661429534,0.255,26.082
AAPL,2019-09-20,220.96,220.0,28,0.0191,6.35,8.494063724161137,2.1440637241611373,0.265,26.873
AAPL,2019-09-27,219.89,220.0,28,0.018,6.05,7.975154972833495,1.9251549728334956,0.2545,26.17
