ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
SPY,2018-10-02,291.540791,291.5,29,0.0223,3.25,4.988555068676054,1.738555068676054,0.2845,27.0735
SPY,2018-10-09,287.3985,287.5,31,0.0225,4.78,5.140598526055473,0.3605985260554725,0.3575,28.299
SPY,2018-10-16,280.420498,280.5,15,0.023,3.7,3.427715867516138,-0.2722841324838621,0.2625,13.833
SPY,2018-10-23,273.579373,273.5,24,0.0233,5.64,4.547761324688705,-1.092238675311295,0.0675,23.6475
SPY,2018-10-30,267.813327,268.0,29,0.0233,6.33,5.00267278120718,-1.3273272187928198,0.245,27.3655
SPY,2018-11-07,280.964928,281.0,30,0.0237,4.89,5.128830812094702,0.2388308120947027,0.219,28.33
SPY,2018-11-14,270.048832,270.0,30,0.0237999999999999,5.86,5.274675322046415,-0.5853246779535857,0.203,28.8855
SPY,2018-11-21,265.054563,265.0,30,0.0241,5.71,4.943846934902615,-0.7661530650973853,0.28,27.79
SPY,2018-11-29,273.930031,274.0,29,0.0237,5.29,5.18367524881317,-0.10632475118682994,0.224,27.8365
SPY,2018-12-07,263.679846,263.5,14,0.024,5.09,3.3373553056509206,-1.7526446943490792,0.244,13.0865
SPY,2018-12-14,260.471217,260.5,33,0.0242,5.57,5.309208510376695,-0.2607914896233057,0.0945,32.379
SPY,2018-12-21,240.819043,241.0,28,0.0239,6.98,4.4334531799639185,-2.546546820036082,0.2,26.535
SPY,2018-12-31,249.920282,250.0,30,0.0245,6.67,5.037416245291438,-1.6325837547085618,0.0655,29.758
SPY,2019-01-08,256.717487,256.5,22,0.0246,4.64,4.6063973401589875,-0.033602659841012184,0.132,21.4615
SPY,2019-01-15,260.405414,260.5,15,0.0245,2.82,3.5527203954802253,0.7327203954802255,0.138,14.753
SPY,2019-01-23,263.282206,263.5,7,0.0241,2.33,2.2425452199525497,-0.08745478004745033,0.0085,6.983
SPY,2019-01-30,267.547077,267.5,30,0.0242,5.12,5.4744536411263,0.35445364112629996,0.2385,27.4265
SPY,2019-02-06,272.708317,272.5,30,0.0242,4.42,5.531799401287835,1.1117994012878354,0.3325,28.3025
SPY,2019-02-13,275.009734,275.0,30,0.0243999999999999,4.2,5.332028973888552,1.132028973888552,0.244,28.2985
SPY,2019-02-21,277.396709,277.5,29,0.0245,3.62,5.115157868394016,1.495157868394016,0.242,26.997
SPY,2019-02-28,278.52683,278.5,15,0.0245,2.87,3.670631393424636,0.8006313934246361,0.205,14.7105
SPY,2019-03-07,275.078384,275.0,29,0.0245,4.03,5.236755640333942,1.2067556403339417,0.314,26.995
SPY,2019-03-14,281.166664,281.0,29,0.0245,3.12,5.609318164043882,2.4893181640438815,0.226,27.424
SPY,2019-03-21,284.612008,285.0,28,0.0249,3.96,5.068518255766097,1.1085182557660973,0.346,25.1745
SPY,2019-03-28,280.766147,281.0,29,0.0243,4.3,5.241588179522446,0.9415881795224461,0.391,26.388
SPY,2019-04-04,287.227198,287.0,29,0.0243999999999999,4.06,5.727213102694146,1.6672131026941468,0.319,27.697
SPY,2019-04-11,288.234838,288.0,29,0.0243,3.86,5.956826004913513,2.096826004913513,0.302,27.39
SPY,2019-04-18,289.969229,290.0,29,0.0242,3.69,5.497135924962494,1.8071359249624943,0.313,26.896
SPY,2019-04-26,293.47009,293.5,21,0.0242,2.99,4.71404699400379,1.72404699400379,0.067,20.783
SPY,2019-05-03,294.102535,294.0,31,0.0243,3.94,5.841589800894517,1.901589800894517,0.321,29.279
SPY,2019-05-10,287.927726,288.0,31,0.0243,5.16,5.658440471988731,0.4984404719887312,0.3225,28.07
SPY,2019-05-17,285.957968,286.0,31,0.0239,4.96,5.827798226742994,0.8677982267429938,0.3205,28.5535
SPY,2019-05-24,282.702355,282.5,28,0.0235,5.09,5.541320088973952,0.4513200889739517,0.0835,27.5395
SPY,2019-06-03,274.665808,275.0,30,0.0235,5.21,5.356661437202516,0.1466614372025159,0.1095,29.011
SPY,2019-06-10,288.990779,289.0,30,0.0229,4.13,5.646106696189397,1.5161066961893974,0.198,29.5275
SPY,2019-06-17,289.425082,289.5,9,0.0223,1.9,2.9207297610700635,1.0207297610700636,0.182,8.3965
SPY,2019-06-24,293.592924,294.0,30,0.0213,4.63,5.77930828459732,1.1493082845973204,0.192,29.1455
SPY,2019-07-01,295.545267,295.5,30,0.0220999999999999,4.38,5.890557772830209,1.510557772830209,0.287,28.715
SPY,2019-07-09,297.272645,297.5,31,0.0226,4.25,6.130545347934245,1.8805453479342447,0.2005,29.9455
SPY,2019-07-16,299.746528,299.5,15,0.0215,2.85,4.165856934479787,1.3158569344797866,0.308,13.6805
SPY,2019-07-23,299.948654,300.0,29,0.0206,3.7,6.011079074115196,2.311079074115196,0.2275,28.1295
SPY,2019-07-30,300.761943,301.0,29,0.0208,3.95,5.432166950506242,1.482166950506242,0.248,26.596
SPY,2019-08-06,287.752691,288.0,29,0.0204999999999999,5.92,5.537730929380137,-0.3822690706198628,0.2575,27.0895
SPY,2019-08-13,292.381097,292.5,31,0.02,5.69,6.032077917547405,0.3420779175474049,0.2505,30.1525
SPY,2019-08-20,290.025464,290.0,29,0.0194,5.33,5.642950686811746,0.312950686811746,0.2785,27.5115
SPY,2019-08-27,286.953978,287.0,29,0.0197999999999999,5.71,5.563700739832378,-0.14629926016762163,0.3025,26.977
SPY,2019-09-05,297.810846,298.0,29,0.0197,3.65,5.610569307298645,1.9605693072986452,0.3125,26.053
SPY,2019-09-12,301.265478,301.0,29,0.0195,3.67,6.174798706813654,2.504798706813654,0.218,28.021
SPY,2019-09-19,301.095829,301.0,29,0.0192999999999999,3.47,5.63841476661752,2.1684147666175195,0.2895,27.406
SPY,2019-09-26,296.855946,297.0,29,0.0183,5.02,5.578236478800584,0.558236478800584,0.215,26.228
