ticker,trading_date,evaluation_timestamp,S_t,K,dte,DTE,expiration,window_end,remaining_horizon,n_steps,r,market,model_price,error,early_ex_frac,mean_ex_day
SPY,2022-10-10 09:59:00,2022-10-10 09:59:00,360.4600969536259,360.0,30,30,2022-11-09 00:00:00,2022-10-14 15:59:00,384,384,0.0345,12.82,6.350904299372896,-6.469095700627104,0.4263,322.6719
SPY,2022-10-10 10:59:00,2022-10-10 10:59:00,359.0248348504512,360.0,30,30,2022-11-09 00:00:00,2022-10-14 15:59:00,372,372,0.0345,12.82,5.511548358897221,-7.30845164110278,0.3959,315.6983
SPY,2022-10-10 11:59:00,2022-10-10 11:59:00,359.60292653089664,360.0,30,30,2022-11-09 00:00:00,2022-10-14 15:59:00,360,360,0.0345,12.82,5.924985943981144,-6.895014056018856,0.3711,313.7696
SPY,2022-10-10 12:59:00,2022-10-10 12:59:00,357.19088882972756,360.0,30,30,2022-11-09 00:00:00,2022-10-14 15:59:00,348,348,0.0345,12.82,4.4870997869006795,-8.332900213099322,0.3347,315.5078
SPY,2022-10-10 13:59:00,2022-10-10 13:59:00,360.30859706495755,360.0,30,30,2022-11-09 00:00:00,2022-10-14 15:59:00,336,336,0.0345,12.82,5.970596602822596,-6.849403397177404,0.4072,286.1697
SPY,2022-10-10 14:59:00,2022-10-10 14:59:00,359.353848753408,360.0,30,30,2022-11-09 00:00:00,2022-10-14 15:59:00,324,324,0.0345,12.82,5.459510196332045,-7.360489803667956,0.395,279.971
SPY,2022-10-10 15:59:00,2022-10-10 15:59:00,358.885295479309,360.0,30,30,2022-11-09 00:00:00,2022-10-14 15:59:00,312,312,0.0345,12.82,5.0572516580467255,-7.762748341953275,0.3244,275.2061
SPY,2022-10-11 09:59:00,2022-10-11 09:59:00,357.2168676125469,358.0,29,29,2022-11-09 00:00:00,2022-10-14 15:59:00,306,306,0.0366999999999999,12.68,5.427535961895784,-7.252464038104216,0.4388,255.8312
SPY,2022-10-11 10:59:00,2022-10-11 10:59:00,358.13848492711986,358.0,29,29,2022-11-09 00:00:00,2022-10-14 15:59:00,294,294,0.0366999999999999,12.68,5.9036194266432735,-6.776380573356726,0.4036,237.5845
SPY,2022-10-11 11:59:00,2022-10-11 11:59:00,361.3931965086929,358.0,29,29,2022-11-09 00:00:00,2022-10-14 15:59:00,282,282,0.0366999999999999,12.68,7.702225246439575,-4.977774753560425,0.5305,215.3869
SPY,2022-10-11 12:59:00,2022-10-11 12:59:00,362.78664181800923,358.0,29,29,2022-11-09 00:00:00,2022-10-14 15:59:00,270,270,0.0366999999999999,12.68,8.7088971558854,-3.9711028441146006,0.5382,204.9907
SPY,2022-10-11 13:59:00,2022-10-11 13:59:00,362.52618475084734,358.0,29,29,2022-11-09 00:00:00,2022-10-14 15:59:00,258,258,0.0366999999999999,12.68,8.156212514414914,-4.5237874855850855,0.4389,199.1494
SPY,2022-10-11 14:59:00,2022-10-11 14:59:00,357.9481509165015,358.0,29,29,2022-11-09 00:00:00,2022-10-14 15:59:00,246,246,0.0366999999999999,12.68,5.367199141028442,-7.312800858971558,0.3404,209.1882
SPY,2022-10-11 15:59:00,2022-10-11 15:59:00,358.36888925576307,358.0,29,29,2022-11-09 00:00:00,2022-10-14 15:59:00,234,234,0.0366999999999999,12.68,5.466417058262595,-7.213582941737405,0.4014,196.504
SPY,2022-10-12 09:59:00,2022-10-12 09:59:00,359.75033139453944,357.0,30,30,2022-11-11 00:00:00,2022-10-14 15:59:00,228,228,0.037,13.01,6.971828598091027,-6.038171401908973,0.5341,180.3552
SPY,2022-10-12 10:59:00,2022-10-12 10:59:00,358.74986611383326,357.0,30,30,2022-11-11 00:00:00,2022-10-14 15:59:00,216,216,0.037,13.01,6.371443466712186,-6.638556533287813,0.4943,179.5918
SPY,2022-10-12 11:59:00,2022-10-12 11:59:00,360.11336223745315,357.0,30,30,2022-11-11 00:00:00,2022-10-14 15:59:00,204,204,0.037,13.01,7.15068369045664,-5.85931630954336,0.452,166.6281
SPY,2022-10-12 12:59:00,2022-10-12 12:59:00,359.5017941231824,357.0,30,30,2022-11-11 00:00:00,2022-10-14 15:59:00,192,192,0.037,13.01,6.453915283168218,-6.556084716831782,0.4324,155.6979
SPY,2022-10-12 13:59:00,2022-10-12 13:59:00,358.57932884131293,357.0,30,30,2022-11-11 00:00:00,2022-10-14 15:59:00,180,180,0.037,13.01,5.865763152027894,-7.144236847972106,0.3867,152.1751
SPY,2022-10-12 14:59:00,2022-10-12 14:59:00,358.60950621875486,357.0,30,30,2022-11-11 00:00:00,2022-10-14 15:59:00,168,168,0.037,13.01,5.734680791284077,-7.275319208715922,0.4465,142.0512
SPY,2022-10-12 15:59:00,2022-10-12 15:59:00,357.46657564454443,357.0,30,30,2022-11-11 00:00:00,2022-10-14 15:59:00,156,156,0.037,13.01,4.849944414316363,-8.160055585683637,0.3389,134.9327
SPY,2022-10-13 09:59:00,2022-10-13 09:59:00,360.29201601676834,366.0,29,29,2022-11-11 00:00:00,2022-10-14 15:59:00,150,150,0.0379,12.85,1.7074600658466825,-11.142539934153318,0.1994,142.6839
SPY,2022-10-13 10:59:00,2022-10-13 10:59:00,361.9708400486682,366.0,29,29,2022-11-11 00:00:00,2022-10-14 15:59:00,138,138,0.0379,12.85,2.1771524992641322,-10.672847500735868,0.2311,128.8142
SPY,2022-10-13 11:59:00,2022-10-13 11:59:00,371.4500537897617,366.0,29,29,2022-11-11 00:00:00,2022-10-14 15:59:00,126,126,0.0379,12.85,7.22927779874701,-5.62072220125299,0.5598,95.465
SPY,2022-10-13 12:59:00,2022-10-13 12:59:00,371.5319476449765,366.0,29,29,2022-11-11 00:00:00,2022-10-14 15:59:00,114,114,0.0379,12.85,7.178372659774254,-5.671627340225745,0.5507,83.5903
SPY,2022-10-13 13:59:00,2022-10-13 13:59:00,374.2098767104949,366.0,29,29,2022-11-11 00:00:00,2022-10-14 15:59:00,102,102,0.0379,12.85,9.19490388589302,-3.65509611410698,0.6491,64.4176
SPY,2022-10-13 14:59:00,2022-10-13 14:59:00,375.48332615908225,366.0,29,29,2022-11-11 00:00:00,2022-10-14 15:59:00,90,90,0.0379,12.85,10.1724462179102,-2.6775537820897988,0.6972,55.9599
SPY,2022-10-13 15:59:00,2022-10-13 15:59:00,374.6234406793286,366.0,29,29,2022-11-11 00:00:00,2022-10-14 15:59:00,78,78,0.0379,12.85,9.25885227238734,-3.5911477276126593,0.7259,46.218
