ticker,trading_date,evaluation_timestamp,S_t,K,dte,DTE,expiration,window_end,remaining_horizon,n_steps,r,market,model_price,error,early_ex_frac,mean_ex_day
MSFT,2022-11-07 09:59:00,2022-11-07 09:59:00,229.49990724606786,222.5,11,11,2022-11-18 00:00:00,2022-11-11 15:59:00,384,384,0.0429,5.375,9.263361433854127,3.8883614338541275,0.7006,266.5415
MSFT,2022-11-07 10:59:00,2022-11-07 10:59:00,232.03183589457353,222.5,11,11,2022-11-18 00:00:00,2022-11-11 15:59:00,372,372,0.0429,5.375,11.124484363465005,5.749484363465005,0.7375,211.0873
MSFT,2022-11-07 11:59:00,2022-11-07 11:59:00,228.92582442383411,222.5,11,11,2022-11-18 00:00:00,2022-11-11 15:59:00,360,360,0.0429,5.375,8.605954921642466,3.230954921642466,0.5141,257.9523
MSFT,2022-11-07 12:59:00,2022-11-07 12:59:00,229.91699348071472,222.5,11,11,2022-11-18 00:00:00,2022-11-11 15:59:00,348,348,0.0429,5.375,9.15386586608952,3.77886586608952,0.5938,208.7149
MSFT,2022-11-07 13:59:00,2022-11-07 13:59:00,231.8978968998111,222.5,11,11,2022-11-18 00:00:00,2022-11-11 15:59:00,336,336,0.0429,5.375,10.889914175681463,5.514914175681463,0.747,222.1631
MSFT,2022-11-07 14:59:00,2022-11-07 14:59:00,233.4863088499402,222.5,11,11,2022-11-18 00:00:00,2022-11-11 15:59:00,324,324,0.0429,5.375,12.090677722261157,6.715677722261157,0.7142,173.9558
MSFT,2022-11-07 15:59:00,2022-11-07 15:59:00,233.57853922123795,222.5,11,11,2022-11-18 00:00:00,2022-11-11 15:59:00,312,312,0.0429,5.375,12.187291964849928,6.812291964849928,0.8491,177.2983
MSFT,2022-11-08 09:59:00,2022-11-08 09:59:00,234.33363126188152,227.5,17,17,2022-11-25 00:00:00,2022-11-11 15:59:00,306,306,0.0428,6.75,8.756318981688182,2.0063189816881817,0.6299,201.2751
MSFT,2022-11-08 10:59:00,2022-11-08 10:59:00,234.02751286702593,227.5,17,17,2022-11-25 00:00:00,2022-11-11 15:59:00,294,294,0.0428,6.75,8.36529165878761,1.6152916587876103,0.6031,185.4117
MSFT,2022-11-08 11:59:00,2022-11-08 11:59:00,235.73667390496908,227.5,17,17,2022-11-25 00:00:00,2022-11-11 15:59:00,282,282,0.0428,6.75,9.788786127556483,3.0387861275564827,0.6044,195.7774
MSFT,2022-11-08 12:59:00,2022-11-08 12:59:00,235.527493001818,227.5,17,17,2022-11-25 00:00:00,2022-11-11 15:59:00,270,270,0.0428,6.75,9.595895016717495,2.8458950167174955,0.6084,168.2216
MSFT,2022-11-08 13:59:00,2022-11-08 13:59:00,231.9969275144845,227.5,17,17,2022-11-25 00:00:00,2022-11-11 15:59:00,258,258,0.0428,6.75,6.629663402035205,-0.12033659796479501,0.5406,188.5764
MSFT,2022-11-08 14:59:00,2022-11-08 14:59:00,232.32345380233033,227.5,17,17,2022-11-25 00:00:00,2022-11-11 15:59:00,246,246,0.0428,6.75,6.9042944369696055,0.15429443696960554,0.5798,178.2831
MSFT,2022-11-08 15:59:00,2022-11-08 15:59:00,233.49690764927647,227.5,17,17,2022-11-25 00:00:00,2022-11-11 15:59:00,234,234,0.0428,6.75,7.630915571719134,0.8809155717191341,0.6814,158.0658
MSFT,2022-11-09 09:59:00,2022-11-09 09:59:00,233.84688538072038,230.0,30,30,2022-12-09 00:00:00,2022-11-11 15:59:00,228,228,0.0429,8.125,6.17781244967805,-1.9471875503219502,0.4683,174.1359
MSFT,2022-11-09 10:59:00,2022-11-09 10:59:00,232.4881483057027,230.0,30,30,2022-12-09 00:00:00,2022-11-11 15:59:00,216,216,0.0429,8.125,5.214353174647923,-2.910646825352077,0.4538,169.3678
MSFT,2022-11-09 11:59:00,2022-11-09 11:59:00,233.85717884340988,230.0,30,30,2022-12-09 00:00:00,2022-11-11 15:59:00,204,204,0.0429,8.125,6.138713736241339,-1.986286263758661,0.5594,160.2323
MSFT,2022-11-09 12:59:00,2022-11-09 12:59:00,233.24986454472779,230.0,30,30,2022-12-09 00:00:00,2022-11-11 15:59:00,192,192,0.0429,8.125,5.498472536681953,-2.6265274633180473,0.4804,147.3473
MSFT,2022-11-09 13:59:00,2022-11-09 13:59:00,231.82936669357278,230.0,30,30,2022-12-09 00:00:00,2022-11-11 15:59:00,180,180,0.0429,8.125,4.619049235912217,-3.5059507640877827,0.3988,151.2491
MSFT,2022-11-09 14:59:00,2022-11-09 14:59:00,231.04706352916867,230.0,30,30,2022-12-09 00:00:00,2022-11-11 15:59:00,168,168,0.0429,8.125,4.024738830969417,-4.100261169030583,0.4032,146.2332
MSFT,2022-11-09 15:59:00,2022-11-09 15:59:00,231.1088243053057,230.0,30,30,2022-12-09 00:00:00,2022-11-11 15:59:00,156,156,0.0429,8.125,3.892024652531623,-4.232975347468377,0.3917,132.0041
MSFT,2022-11-10 09:59:00,2022-11-10 09:59:00,234.15936316889207,225.0,29,29,2022-12-09 00:00:00,2022-11-11 15:59:00,150,150,0.0428,8.525,9.816391970825999,1.2913919708259982,0.6932,89.0756
MSFT,2022-11-10 10:59:00,2022-11-10 10:59:00,233.04164572927405,225.0,29,29,2022-12-09 00:00:00,2022-11-11 15:59:00,138,138,0.0428,8.525,8.858769298660762,0.3337692986607621,0.7094,83.8347
MSFT,2022-11-10 11:59:00,2022-11-10 11:59:00,234.24233782598168,225.0,29,29,2022-12-09 00:00:00,2022-11-11 15:59:00,126,126,0.0428,8.525,9.667132633935974,1.142132633935974,0.8296,60.5746
MSFT,2022-11-10 12:59:00,2022-11-10 12:59:00,233.33449746017845,225.0,29,29,2022-12-09 00:00:00,2022-11-11 15:59:00,114,114,0.0428,8.525,8.821376045490641,0.296376045490641,0.7598,52.8719
MSFT,2022-11-10 13:59:00,2022-11-10 13:59:00,233.87812788998045,225.0,29,29,2022-12-09 00:00:00,2022-11-11 15:59:00,102,102,0.0428,8.525,9.26521536459724,0.7402153645972405,0.745,47.7905
