ticker,trading_date,evaluation_timestamp,S_t,K,dte,DTE,expiration,window_end,remaining_horizon,n_steps,r,market,model_price,error,early_ex_frac,mean_ex_day
AAPL,2023-01-09 09:59:00,2023-01-09 09:59:00,126.92803864988477,130.0,32,32,2023-02-10 00:00:00,2023-01-13 15:59:00,384,384,0.047,5.9,0.11093129621440312,-5.789068703785597,0.0739,380.0678
AAPL,2023-01-09 10:59:00,2023-01-09 10:59:00,127.62510207465589,130.0,32,32,2023-02-10 00:00:00,2023-01-13 15:59:00,372,372,0.047,5.9,0.20489377878458337,-5.695106221215417,0.0767,370.3881
AAPL,2023-01-09 11:59:00,2023-01-09 11:59:00,127.82220276717746,130.0,32,32,2023-02-10 00:00:00,2023-01-13 15:59:00,360,360,0.047,5.9,0.22471007721388014,-5.675289922786121,0.12,354.9353
AAPL,2023-01-09 12:59:00,2023-01-09 12:59:00,127.35492990588256,130.0,32,32,2023-02-10 00:00:00,2023-01-13 15:59:00,348,348,0.047,5.9,0.12243364818720329,-5.777566351812797,0.1107,342.285
AAPL,2023-01-09 13:59:00,2023-01-09 13:59:00,126.3319292383563,130.0,32,32,2023-02-10 00:00:00,2023-01-13 15:59:00,336,336,0.047,5.9,0.0425674789483383,-5.8574325210516625,0.0307,334.4965
AAPL,2023-01-09 14:59:00,2023-01-09 14:59:00,125.63486581358514,130.0,32,32,2023-02-10 00:00:00,2023-01-13 15:59:00,324,324,0.047,5.9,0.018641065847001745,-5.881358934152999,0.022,323.1057
AAPL,2023-01-09 15:59:00,2023-01-09 15:59:00,125.173361753047,130.0,32,32,2023-02-10 00:00:00,2023-01-13 15:59:00,312,312,0.047,5.9,0.01027947953009204,-5.889720520469909,0.0124,311.3526
AAPL,2023-01-10 09:59:00,2023-01-10 09:59:00,125.31314485947537,130.0,31,31,2023-02-10 00:00:00,2023-01-13 15:59:00,306,306,0.0473,6.05,0.01444558172645319,-6.035554418273547,0.0117,305.1386
AAPL,2023-01-10 10:59:00,2023-01-10 10:59:00,124.44552557819587,130.0,31,31,2023-02-10 00:00:00,2023-01-13 15:59:00,294,294,0.0473,6.05,0.00444867851531496,-6.045551321484685,0.0064,293.7054
AAPL,2023-01-10 11:59:00,2023-01-10 11:59:00,124.24308107923063,130.0,31,31,2023-02-10 00:00:00,2023-01-13 15:59:00,282,282,0.0473,6.05,0.0011102239649412608,-6.048889776035058,0.0021,281.9482
AAPL,2023-01-10 12:59:00,2023-01-10 12:59:00,125.06249928932797,130.0,31,31,2023-02-10 00:00:00,2023-01-13 15:59:00,270,270,0.0473,6.05,0.005202136129953032,-6.044797863870047,0.0064,269.8046
AAPL,2023-01-10 13:59:00,2023-01-10 13:59:00,125.53968989403171,130.0,31,31,2023-02-10 00:00:00,2023-01-13 15:59:00,258,258,0.0473,6.05,0.008229200751571776,-6.041770799248428,0.0082,257.5433
AAPL,2023-01-10 14:59:00,2023-01-10 14:59:00,125.43364753743083,130.0,31,31,2023-02-10 00:00:00,2023-01-13 15:59:00,246,246,0.0473,6.05,0.006102996741793563,-6.0438970032582064,0.006,245.7464
AAPL,2023-01-10 15:59:00,2023-01-10 15:59:00,126.04580114144477,130.0,31,31,2023-02-10 00:00:00,2023-01-13 15:59:00,234,234,0.0473,6.05,0.012910833728204393,-6.037089166271795,0.0097,233.5359
AAPL,2023-01-11 09:59:00,2023-01-11 09:59:00,125.41879389694199,131.0,30,30,2023-02-10 00:00:00,2023-01-13 15:59:00,228,228,0.0472,5.675,0.0013614557012208656,-5.673638544298779,0.0018,227.9547
AAPL,2023-01-11 10:59:00,2023-01-11 10:59:00,125.99079546234582,131.0,30,30,2023-02-10 00:00:00,2023-01-13 15:59:00,216,216,0.0472,5.675,0.00171697510184935,-5.673283024898151,0.0032,215.9048
AAPL,2023-01-11 11:59:00,2023-01-11 11:59:00,126.77179944258404,131.0,30,30,2023-02-10 00:00:00,2023-01-13 15:59:00,204,204,0.0472,5.675,0.006033847816364856,-5.668966152183635,0.0092,203.6266
AAPL,2023-01-11 12:59:00,2023-01-11 12:59:00,127.21261150504968,131.0,30,30,2023-02-10 00:00:00,2023-01-13 15:59:00,192,192,0.0472,5.675,0.0024755737965362185,-5.672524426203464,0.0055,191.8707
AAPL,2023-01-11 13:59:00,2023-01-11 13:59:00,126.87730685144807,131.0,30,30,2023-02-10 00:00:00,2023-01-13 15:59:00,180,180,0.0472,5.675,0.0049422015731445884,-5.670057798426855,0.008,179.7387
