ticker,trading_date,evaluation_timestamp,S_t,K,dte,DTE,expiration,window_end,remaining_horizon,n_steps,r,market,model_price,error,early_ex_frac,mean_ex_day
SPY,2023-05-08 09:59:00,2023-05-08 09:59:00,401.81070149690544,413.0,32,32,2023-06-09 00:00:00,2023-05-12 15:59:00,384,384,0.0530999999999999,8.02,0.1435492979788483,-7.876450702021152,0.0404,382.1927
SPY,2023-05-08 10:59:00,2023-05-08 10:59:00,402.02273361057706,413.0,32,32,2023-06-09 00:00:00,2023-05-12 15:59:00,372,372,0.0530999999999999,8.02,0.1407034527964579,-7.879296547203541,0.0531,370.2479
SPY,2023-05-08 11:59:00,2023-05-08 11:59:00,402.26635119773357,413.0,32,32,2023-06-09 00:00:00,2023-05-12 15:59:00,360,360,0.0530999999999999,8.02,0.1393035497503024,-7.8806964502496974,0.0372,358.0473
SPY,2023-05-08 12:59:00,2023-05-08 12:59:00,401.9056528894186,413.0,32,32,2023-06-09 00:00:00,2023-05-12 15:59:00,348,348,0.0530999999999999,8.02,0.11827374438574437,-7.901726255614255,0.0395,346.063
SPY,2023-05-08 13:59:00,2023-05-08 13:59:00,402.38333443286297,413.0,32,32,2023-06-09 00:00:00,2023-05-12 15:59:00,336,336,0.0530999999999999,8.02,0.12939804468564242,-7.890601955314358,0.0386,334.5157
SPY,2023-05-08 14:59:00,2023-05-08 14:59:00,402.73428413825064,413.0,32,32,2023-06-09 00:00:00,2023-05-12 15:59:00,324,324,0.0530999999999999,8.02,0.1367325929926701,-7.883267407007329,0.0543,322.1147
SPY,2023-05-08 15:59:00,2023-05-08 15:59:00,402.41258024164534,413.0,32,32,2023-06-09 00:00:00,2023-05-12 15:59:00,312,312,0.0530999999999999,8.02,0.09588849820837755,-7.924111501791622,0.0319,310.5654
SPY,2023-05-09 09:59:00,2023-05-09 09:59:00,403.0686451354595,411.0,31,31,2023-06-09 00:00:00,2023-05-12 15:59:00,306,306,0.0529,8.54,0.4339378139917405,-8.10606218600826,0.1122,301.2837
SPY,2023-05-09 10:59:00,2023-05-09 10:59:00,402.8140527886063,411.0,31,31,2023-06-09 00:00:00,2023-05-12 15:59:00,294,294,0.0529,8.54,0.36184528511582614,-8.178154714884172,0.0898,288.6255
SPY,2023-05-09 11:59:00,2023-05-09 11:59:00,402.48112433502894,411.0,31,31,2023-06-09 00:00:00,2023-05-12 15:59:00,282,282,0.0529,8.54,0.28520696663219985,-8.254793033367799,0.0823,278.6877
SPY,2023-05-09 12:59:00,2023-05-09 12:59:00,402.7993647685957,411.0,31,31,2023-06-09 00:00:00,2023-05-12 15:59:00,270,270,0.0529,8.54,0.3281551503939806,-8.211844849606019,0.132,267.0497
SPY,2023-05-09 13:59:00,2023-05-09 13:59:00,403.2742774156104,411.0,31,31,2023-06-09 00:00:00,2023-05-12 15:59:00,258,258,0.0529,8.54,0.35945543765953547,-8.180544562340463,0.0723,254.6962
SPY,2023-05-09 14:59:00,2023-05-09 14:59:00,402.91187500187795,411.0,31,31,2023-06-09 00:00:00,2023-05-12 15:59:00,246,246,0.0529,8.54,0.27610889365610475,-8.263891106343895,0.0683,243.8398
SPY,2023-05-09 15:59:00,2023-05-09 15:59:00,402.41258024164534,411.0,31,31,2023-06-09 00:00:00,2023-05-12 15:59:00,234,234,0.0529,8.54,0.19451767162713776,-8.345482328372862,0.0529,231.8632
SPY,2023-05-10 09:59:00,2023-05-10 09:59:00,400.9264471195995,413.0,30,30,2023-06-09 00:00:00,2023-05-12 15:59:00,228,228,0.0524,7.83,0.02345412746004254,-7.8065458725399575,0.0133,227.6163
SPY,2023-05-10 10:59:00,2023-05-10 10:59:00,399.39851954088374,413.0,30,30,2023-06-09 00:00:00,2023-05-12 15:59:00,216,216,0.0524,7.83,0.004279821936029262,-7.825720178063971,0.0042,215.9241
SPY,2023-05-10 11:59:00,2023-05-10 11:59:00,400.13332440698383,413.0,30,30,2023-06-09 00:00:00,2023-05-12 15:59:00,204,204,0.0524,7.83,0.008534531198979133,-7.821465468801021,0.0081,203.8355
SPY,2023-05-10 12:59:00,2023-05-10 12:59:00,399.1370611956711,413.0,30,30,2023-06-09 00:00:00,2023-05-12 15:59:00,192,192,0.0524,7.83,0.0035191566435078515,-7.826480843356492,0.002,191.9628
SPY,2023-05-10 13:59:00,2023-05-10 13:59:00,398.6024809359422,413.0,30,30,2023-06-09 00:00:00,2023-05-12 15:59:00,180,180,0.0524,7.83,0.0009957690572107067,-7.82900423094279,0.001,179.9853
SPY,2023-05-10 14:59:00,2023-05-10 14:59:00,400.45893238336384,413.0,30,30,2023-06-09 00:00:00,2023-05-12 15:59:00,168,168,0.0524,7.83,0.005418290448454345,-7.824581709551546,0.0038,167.9189
SPY,2023-05-10 15:59:00,2023-05-10 15:59:00,401.2267840291563,413.0,30,30,2023-06-09 00:00:00,2023-05-12 15:59:00,156,156,0.0524,7.83,0.004882409641278302,-7.825117590358722,0.0039,155.9146
SPY,2023-05-11 09:59:00,2023-05-11 09:59:00,399.813389211218,412.0,29,29,2023-06-09 00:00:00,2023-05-12 15:59:00,150,150,0.052,7.57,0.003264260760732165,-7.5667357392392685,0.0027,149.9642
SPY,2023-05-11 10:59:00,2023-05-11 10:59:00,400.7980396514292,412.0,29,29,2023-06-09 00:00:00,2023-05-12 15:59:00,138,138,0.052,7.57,0.004223349769026874,-7.565776650230974,0.0041,137.9358
SPY,2023-05-11 11:59:00,2023-05-11 11:59:00,401.3193538379835,412.0,29,29,2023-06-09 00:00:00,2023-05-12 15:59:00,126,126,0.052,7.57,0.004943651365648437,-7.565056348634352,0.0035,125.9433
SPY,2023-05-11 12:59:00,2023-05-11 12:59:00,401.47038878922814,412.0,29,29,2023-06-09 00:00:00,2023-05-12 15:59:00,114,114,0.052,7.57,0.0040938498566045435,-7.5659061501433955,0.0031,113.9729
SPY,2023-05-11 13:59:00,2023-05-11 13:59:00,400.80768639992823,412.0,29,29,2023-06-09 00:00:00,2023-05-12 15:59:00,102,102,0.052,7.57,0.0014519062688874756,-7.5685480937311125,0.0012,101.9845
SPY,2023-05-11 14:59:00,2023-05-11 14:59:00,401.6847609780919,412.0,29,29,2023-06-09 00:00:00,2023-05-12 15:59:00,90,90,0.052,7.57,0.0012967816277362448,-7.5687032183722645,0.0011,89.9949
SPY,2023-05-11 15:59:00,2023-05-11 15:59:00,401.61655164527167,412.0,29,29,2023-06-09 00:00:00,2023-05-12 15:59:00,78,78,0.052,7.57,0.0002520091491428778,-7.569747990850858,0.0,78.0
SPY,2023-05-12 09:59:00,2023-05-12 09:59:00,401.014151108148,412.0,28,28,2023-06-09 00:00:00,2023-05-12 15:59:00,72,72,0.0525,6.78,0.0,-6.78,0.0,72.0
SPY,2023-05-12 10:59:00,2023-05-12 10:59:00,399.82460437008274,412.0,28,28,2023-06-09 00:00:00,2023-05-12 15:59:00,60,60,0.0525,6.78,0.0,-6.78,0.0,60.0
SPY,2023-05-12 11:59:00,2023-05-12 11:59:00,399.7899177585097,412.0,28,28,2023-06-09 00:00:00,2023-05-12 15:59:00,48,48,0.0525,6.78,0.0,-6.78,0.0,48.0
SPY,2023-05-12 12:59:00,2023-05-12 12:59:00,397.94385159635635,412.0,28,28,2023-06-09 00:00:00,2023-05-12 15:59:00,36,36,0.0525,6.78,0.0,-6.78,0.0,36.0
SPY,2023-05-12 13:59:00,2023-05-12 13:59:00,397.6913291776494,412.0,28,28,2023-06-09 00:00:00,2023-05-12 15:59:00,24,24,0.0525,6.78,0.0,-6.78,0.0,24.0
SPY,2023-05-12 14:59:00,2023-05-12 14:59:00,398.2644841403094,412.0,28,28,2023-06-09 00:00:00,2023-05-12 15:59:00,12,12,0.0525,6.78,0.0,-6.78,0.0,12.0
