ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
AAPL,2008-02-07,122.0,110.0,8,0.0217,12.85,12.162528577564714,-0.6874714224352854,0.7345,4.7325
AAPL,2009-09-04,166.55,150.0,14,0.0014,17.175,22.20061522323639,5.0256152232363895,0.0,14.0
AAPL,2008-11-18,88.14,80.0,31,0.0012,13.325,9.397455411883948,-3.927544588116051,0.6,19.938
AAPL,2009-12-22,198.23,190.0,24,0.0008,11.35,12.866581627810145,1.5165816278101456,0.13,23.7165
AAPL,2009-07-10,136.36,130.0,42,0.0018,11.175,19.919649193419783,8.744649193419782,0.002,41.9305
AAPL,2008-02-29,129.91,125.0,49,0.0185,11.0,12.121843253700593,1.1218432537005931,0.3555,42.472
AAPL,2008-02-29,129.91,130.0,20,0.0185,5.125,7.211192771874462,2.0861927718744617,0.238,18.4645
AAPL,2009-01-09,92.7,95.0,7,0.0007,1.92,3.567048300741628,1.647048300741628,0.1005,6.7345
AAPL,2009-07-31,162.79,165.0,21,0.0018,3.325,9.793400002524866,6.468400002524866,0.138,20.8005
AAPL,2009-08-21,166.33,170.0,28,0.0017,4.025,10.88241748160842,6.857417481608419,0.0,28.0
AAPL,2009-01-09,92.7,90.0,42,0.0007,9.275,15.527812582256155,6.252812582256155,0.1405,40.6615
AAPL,2009-08-07,163.91,165.0,42,0.0019,6.45,16.80284990683303,10.352849906833029,0.0025,41.91
AAPL,2009-09-04,166.55,175.0,14,0.0014,1.37,4.664878567189055,3.2948785671890546,0.0115,13.904
AAPL,2008-11-04,106.96,115.0,17,0.0048,3.075,3.1651549925468063,0.09015499254680615,0.109,16.1955
AAPL,2008-08-21,175.84,190.0,29,0.0172,2.1,4.239929607199181,2.1399296071991807,0.1125,27.797
AAPL,2008-05-20,183.6,200.0,31,0.0186,3.225,7.841527859172416,4.616527859172416,0.1355,28.9305
AAPL,2009-05-06,132.71,145.0,44,0.0019,2.595,6.2689280374395215,3.6739280374395213,0.194,41.0325
AAPL,2009-07-31,162.79,175.0,49,0.0018,2.78,12.513754390572027,9.733754390572027,0.016,48.8555
AAPL,2008-07-02,174.68,175.0,16,0.0182,5.825,7.6216301085547915,1.7966301085547913,0.2045,14.8025
AAPL,2008-12-10,100.06,110.0,9,0.0,1.115,2.291508472139992,1.1765084721399919,0.013,8.922
AAPL,2009-10-05,184.9,175.0,46,0.0008,16.3,18.362118006711725,2.0621180067117244,0.1275,45.1825
AAPL,2009-03-24,107.66,105.0,24,0.0021,6.625,13.695325118957994,7.070325118957994,0.0425,23.7225
AAPL,2008-02-29,129.91,140.0,20,0.0185,1.695,3.4328343603141986,1.7378343603141986,0.1515,19.222
AAPL,2008-08-07,164.19,165.0,43,0.0166,8.675,10.39360656900888,1.7186065690088785,0.2665,38.9875
