ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
MSFT,2019-01-24,106.71,98.0,15,0.0237,9.15,8.709999999999994,-0.4400000000000066,1.0,0.0
MSFT,2019-10-10,138.24,134.0,15,0.0168,6.325,4.454637410228599,-1.8703625897714016,0.6655,7.6355
MSFT,2019-06-25,137.78,132.0,31,0.0212,7.725,7.664935434628101,-0.060064565371898304,0.589,21.0905
MSFT,2019-06-25,137.78,128.0,31,0.0212,11.025,10.532912747010775,-0.49208725298922573,0.6145,19.2875
MSFT,2019-09-12,136.12,130.0,43,0.0195,8.9,6.1200000000000045,-2.779999999999996,1.0,0.0
MSFT,2019-01-16,105.01,100.0,58,0.0243,7.6,6.254211846175662,-1.345788153824338,0.561,35.194
MSFT,2019-02-07,106.03,105.0,8,0.0242,2.02,2.4660851091649687,0.4460851091649687,0.3475,6.641
MSFT,2019-07-17,137.08,140.0,16,0.0214,1.82,1.7311194468427882,-0.08888055315721188,0.1625,15.355
MSFT,2019-09-26,139.36,141.0,29,0.0183,3.35,1.7097792889962007,-1.6402207110037994,0.253,25.1515
MSFT,2019-10-03,134.65,137.0,29,0.017,3.8,1.3272294821301165,-2.4727705178698836,0.217,25.587
MSFT,2019-06-18,132.85,130.0,59,0.0222,6.825,7.475073362963971,0.6500733629639708,0.3,53.3805
MSFT,2019-10-10,138.24,141.0,43,0.0168,3.5,1.585567306753686,-1.914432693246314,0.217,37.9225
MSFT,2019-10-03,134.65,147.0,8,0.017,0.06,0.010534967498744191,-0.04946503250125581,0.0025,7.9965
MSFT,2019-06-18,132.85,142.0,17,0.0222,0.14,0.8431971008545284,0.7031971008545284,0.068,16.7995
MSFT,2019-05-20,128.07,138.0,38,0.0239,0.53,1.6252721357314543,1.0952721357314543,0.173,36.887
MSFT,2019-03-08,110.39,115.0,21,0.0246,0.5,1.8252696259745838,1.3252696259745838,0.153,19.9665
MSFT,2019-07-17,137.08,150.0,44,0.0214,0.455,1.1186018210658033,0.6636018210658032,0.0875,42.877
MSFT,2019-09-19,138.52,146.0,43,0.0192999999999999,1.795,0.7611491074115044,-1.0338508925884955,0.102,40.8585
MSFT,2019-01-02,101.57,111.0,30,0.0242,1.18,1.2318289847471109,0.05182898474711095,0.13,29.471
MSFT,2019-11-07,144.06,138.0,8,0.0156,6.3,6.060000000000002,-0.23999999999999755,1.0,0.0
MSFT,2019-04-22,123.37,116.0,10,0.0243999999999999,7.925,7.421145885459322,-0.5038541145406779,0.7585,4.4055
MSFT,2019-02-14,106.81,113.0,22,0.0243,0.23,1.2257640898386313,0.9957640898386313,0.0985,21.203
MSFT,2019-03-01,112.03,120.0,35,0.0243999999999999,0.4,1.569749869682624,1.169749869682624,0.1005,34.133
MSFT,2019-12-20,155.71,148.0,14,0.0158,7.95,7.710000000000008,-0.23999999999999222,1.0,0.0
