ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
MSFT,2019-01-24,106.71,98.0,15,0.0237,9.15,9.249575023624875,0.09957502362487425,0.628,9.548
MSFT,2019-10-10,138.24,134.0,15,0.0168,6.325,4.4136060072355425,-1.9113939927644576,0.677,7.3975
MSFT,2019-06-25,137.78,132.0,31,0.0212,7.725,6.398260399670882,-1.3267396003291179,0.6385,17.6535
MSFT,2019-06-25,137.78,128.0,31,0.0212,11.025,9.780000000000001,-1.2449999999999992,1.0,0.0
MSFT,2019-09-12,136.12,130.0,43,0.0195,8.9,6.1200000000000045,-2.779999999999996,1.0,0.0
MSFT,2019-01-16,105.01,100.0,58,0.0243,7.6,9.062705241881506,1.4627052418815065,0.442,50.8815
MSFT,2019-02-07,106.03,105.0,8,0.0242,2.02,2.4384170945617942,0.4184170945617942,0.357,6.5535
MSFT,2019-07-17,137.08,140.0,16,0.0214,1.82,1.8812021844588347,0.06120218445883463,0.153,15.1645
MSFT,2019-09-26,139.36,141.0,29,0.0183,3.35,1.7628255914123536,-1.5871744085876465,0.258,25.171
MSFT,2019-10-03,134.65,137.0,29,0.017,3.8,1.334620423664742,-2.4653795763352577,0.218,25.627
MSFT,2019-06-18,132.85,130.0,59,0.0222,6.825,5.182123023439858,-1.6428769765601423,0.429,42.396
MSFT,2019-10-10,138.24,141.0,43,0.0168,3.5,1.484561338594749,-2.015438661405251,0.21,38.052
MSFT,2019-10-03,134.65,147.0,8,0.017,0.06,0.009762014277835341,-0.05023798572216466,0.002,7.997
MSFT,2019-06-18,132.85,142.0,17,0.0222,0.14,0.5816998263459912,0.44169982634599114,0.068,16.5495
MSFT,2019-05-20,128.07,138.0,38,0.0239,0.53,2.0956713957428237,1.5656713957428237,0.109,37.464
MSFT,2019-03-08,110.39,115.0,21,0.0246,0.5,1.7086882736845146,1.2086882736845146,0.147,19.8245
MSFT,2019-07-17,137.08,150.0,44,0.0214,0.455,1.2488437906478111,0.7938437906478111,0.09,42.6975
MSFT,2019-09-19,138.52,146.0,43,0.0192999999999999,1.795,0.74680894776849,-1.0481910522315099,0.1065,40.6725
MSFT,2019-01-02,101.57,111.0,30,0.0242,1.18,1.2318289847471109,0.05182898474711095,0.13,29.471
MSFT,2019-11-07,144.06,138.0,8,0.0156,6.3,6.060000000000002,-0.23999999999999755,1.0,0.0
MSFT,2019-04-22,123.37,116.0,10,0.0243999999999999,7.925,7.3700000000000045,-0.5549999999999953,1.0,0.0
MSFT,2019-02-14,106.81,113.0,22,0.0243,0.23,1.1606853609400591,0.9306853609400592,0.0955,21.319
MSFT,2019-03-01,112.03,120.0,35,0.0243999999999999,0.4,1.5053428975039067,1.1053428975039066,0.154,32.928
MSFT,2019-12-20,155.71,148.0,14,0.0158,7.95,7.710000000000008,-0.23999999999999222,1.0,0.0
