ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
SPY,2019-01-30,267.547077,258.0,7,0.0242,10.22,9.547077000000002,-0.672922999999999,1.0,0.0
SPY,2019-10-17,299.188886,290.0,8,0.0166,9.52,9.68612482122465,0.1661248212246509,0.675,5.127
SPY,2019-06-17,289.425082,280.0,25,0.0223,10.52,9.425081999999975,-1.0949180000000247,1.0,0.0
SPY,2019-06-10,288.990779,278.0,39,0.0229,12.79,10.990778999999975,-1.7992210000000242,1.0,0.0
SPY,2019-09-19,301.095829,277.0,57,0.0192999999999999,25.22,26.347422256460995,1.1274222564609957,0.5675,47.7865
SPY,2019-02-06,272.708317,257.0,51,0.0242,17.69,15.708317000000022,-1.981682999999979,1.0,0.0
SPY,2019-02-06,272.708317,271.0,9,0.0242,3.1,3.457078748137605,0.35707874813760476,0.3845,7.0005
SPY,2019-07-09,297.272645,295.5,17,0.0226,3.91,4.936974327101191,1.0269743271011906,0.0065,16.987
SPY,2019-10-03,290.3112,294.0,32,0.017,4.15,4.101764674572205,-0.04823532542779496,0.156,30.6005
SPY,2019-10-17,299.188886,297.0,22,0.0166,5.13,6.136716504458342,1.0067165044583417,0.323,20.1415
SPY,2019-08-06,287.752691,281.0,45,0.0204999999999999,12.21,10.662528847994897,-1.5474711520051034,0.347,42.723
SPY,2019-11-07,308.164379,299.0,43,0.0156,12.07,13.047667508859057,0.9776675088590565,0.54,33.9845
SPY,2019-10-03,290.3112,303.0,13,0.017,0.08,0.3364114253826123,0.2564114253826123,0.013,12.956
SPY,2019-06-10,288.990779,303.0,11,0.0229,0.07,0.37116109684191767,0.30116109684191766,0.0365,10.843
SPY,2019-06-03,274.665808,283.0,32,0.0235,1.76,1.6158650223011464,-0.14413497769885364,0.1355,30.089
SPY,2019-03-14,281.166664,292.0,34,0.0245,0.26,2.110130820224406,1.850130820224406,0.183,31.6945
SPY,2019-08-27,286.953978,315.0,52,0.0197999999999999,0.14,0.6131898365772931,0.4731898365772931,0.029,51.6475
SPY,2019-10-10,293.156917,313.0,43,0.0168,0.21,1.280914314638028,1.070914314638028,0.06,42.7775
SPY,2019-02-06,272.708317,268.5,7,0.0242,4.72,4.822681208350719,0.10268120835071937,0.534,5.215
SPY,2019-02-13,275.009734,270.0,9,0.0243999999999999,5.64,5.763749410634598,0.12374941063459843,0.615,5.7045
SPY,2019-01-15,260.405414,275.0,31,0.0245,0.29,0.8206653428110375,0.5306653428110375,0.097,30.1205
SPY,2019-09-12,301.265478,295.0,27,0.0195,7.87,9.170375605645782,1.3003756056457823,0.238,23.7265
SPY,2019-03-21,284.612008,294.0,32,0.0249,0.64,2.048675508448937,1.4086755084489369,0.169,29.9765
SPY,2019-01-15,260.405414,264.0,59,0.0245,4.77,3.1786572770269013,-1.5913427229730983,0.2615,49.5265
