trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
2019-01-30,267.547077,258.0,7,0.0242,10.22,9.547077000000002,-0.672922999999999,1.0,0.0
2019-10-17,299.188886,290.0,8,0.0166,9.52,9.737492732831706,0.21749273283170645,0.4775,7.1405
2019-06-17,289.425082,280.0,25,0.0223,10.52,9.425081999999975,-1.0949180000000247,1.0,0.0
2019-06-10,288.990779,278.0,39,0.0229,12.79,10.990778999999975,-1.7992210000000242,1.0,0.0
2019-09-19,301.095829,277.0,57,0.0192999999999999,25.22,26.229403305442823,1.0094033054428238,0.5895,46.0815
2019-02-06,272.708317,257.0,51,0.0242,17.69,15.708317000000022,-1.981682999999979,1.0,0.0
2019-02-06,272.708317,271.0,9,0.0242,3.1,3.4969549019468498,0.3969549019468497,0.392,6.918
2019-07-09,297.272645,295.5,17,0.0226,3.91,5.358763990771205,1.448763990771205,0.258,16.664
2019-10-03,290.3112,294.0,32,0.017,4.15,3.9476999622549456,-0.20230003774505478,0.1615,30.388
2019-10-17,299.188886,297.0,22,0.0166,5.13,5.992747746492281,0.862747746492281,0.3045,19.4925
2019-08-06,287.752691,281.0,45,0.0204999999999999,12.21,10.334215779890648,-1.8757842201093524,0.4315,40.1995
2019-11-07,308.164379,299.0,43,0.0156,12.07,13.062808954977053,0.9928089549770522,0.3925,36.021
2019-10-03,290.3112,303.0,13,0.017,0.08,0.29652797980409823,0.21652797980409821,0.0115,12.9605
2019-06-10,288.990779,303.0,11,0.0229,0.07,0.5018417735234441,0.43184177352344405,0.0335,10.811
2019-06-03,274.665808,283.0,32,0.0235,1.76,1.618159999637161,-0.14184000036283906,0.136,30.0755
2019-03-14,281.166664,292.0,34,0.0245,0.26,1.857415185120551,1.597415185120551,0.135,31.717
2019-08-27,286.953978,315.0,52,0.0197999999999999,0.14,0.33548562058061704,0.19548562058061703,0.022,51.766
2019-10-10,293.156917,313.0,43,0.0168,0.21,0.9474148295905782,0.7374148295905782,0.0305,42.899
2019-02-06,272.708317,268.5,7,0.0242,4.72,4.801939122102192,0.08193912210219256,0.509,5.2305
2019-02-13,275.009734,270.0,9,0.0243999999999999,5.64,5.756238430619214,0.11623843061921413,0.6205,5.731
2019-01-15,260.405414,275.0,31,0.0245,0.29,0.6238289419413782,0.3338289419413782,0.066,30.1715
2019-09-12,301.265478,295.0,27,0.0195,7.87,9.12637588062257,1.2563758806225698,0.2735,23.0185
2019-03-21,284.612008,294.0,32,0.0249,0.64,1.9699208415100307,1.3299208415100305,0.1475,29.6585
2019-01-15,260.405414,264.0,59,0.0245,4.77,2.7566828795383045,-2.013317120461695,0.207,51.559
