trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
2008-01-28,135.314898,129.0,19,0.0233999999999999,7.87,7.3602788934551056,-0.5097211065448946,0.521,16.1465
2008-08-01,126.087165,117.0,15,0.0166,9.35,9.48695969955339,0.13695969955339038,0.806,11.097
2008-05-21,139.27315,126.0,31,0.0186,13.91,13.903172353938723,-0.0068276460612768375,0.617,17.3525
2008-05-14,141.022296,129.0,38,0.0182,12.61,13.36017394782462,0.7501739478246208,0.604,29.175
2008-07-25,125.788355,117.0,57,0.0175,10.57,10.995487731391362,0.4254877313913621,0.4245,48.8555
2008-02-04,138.033006,128.0,47,0.0227,11.96,11.716909513963904,-0.24309048603609718,0.5935,34.1315
2008-07-03,126.19091,126.0,16,0.0184,2.59,2.864167147736926,0.2741671477369261,0.1865,14.8355
2008-09-08,127.212239,125.0,12,0.0171,2.88,3.7284675832465446,0.8484675832465447,0.15,11.85
2009-10-16,108.865636,111.0,36,0.0007,1.52,2.8236504827839344,1.3036504827839344,0.1845,34.3975
2009-10-23,108.080704,111.0,29,0.0007,1.1,2.0078354555487317,0.9078354555487316,0.183,27.903
2008-08-08,129.766737,129.0,43,0.017,3.83,5.080931095844263,1.2509310958442628,0.2675,38.795
2009-10-23,108.080704,111.0,57,0.0007,2.08,3.2784696463002363,1.1984696463002362,0.2275,52.767
2009-12-07,110.758949,117.0,12,0.0004,0.07,0.1631749777432111,0.0931749777432111,0.006,11.9805
2009-10-02,102.550109,110.0,15,0.001,0.14,0.2722369490951825,0.13223694909518247,0.044,14.865
2009-09-25,104.431949,110.0,22,0.001,0.41,1.8491406211010573,1.4391406211010573,0.0775,21.6495
2009-08-26,103.160049,111.0,24,0.0015,0.15,1.6327392550227424,1.4827392550227425,0.127,23.4125
2009-11-06,107.13891,113.0,43,0.0006,0.76,1.6299462622612824,0.8699462622612824,0.1585,41.936
2009-11-20,109.483111,118.0,57,0.0002,0.43,1.383103724253962,0.9531037242539622,0.1245,55.418
2009-11-20,109.483111,111.0,29,0.0002,1.46,2.2036002273465147,0.7436002273465148,0.26,26.587
2009-10-30,103.767298,113.0,22,0.0005,0.12,0.2865309136976343,0.1665309136976343,0.0375,21.857
2008-03-04,132.945719,122.0,18,0.0166,11.41,11.13385611758908,-0.2761438824109206,0.777,12.5215
2008-09-22,120.551797,116.0,26,0.0128,7.58,5.97273293577338,-1.6072670642266198,0.281,24.33
2008-03-04,132.945719,125.0,18,0.0166,8.71,8.754962415326482,0.04496241532648071,0.4415,16.8185
2009-10-02,102.550109,111.0,15,0.001,0.08,0.18069951521865096,0.10069951521865096,0.0255,14.931
