trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
2019-01-30,267.547077,258.0,7,0.0242,10.22,12.028033449242349,1.8080334492423482,0.0975,6.8675
2019-10-17,299.188886,290.0,8,0.0166,9.52,9.800317822437348,0.2803178224373486,0.398,6.6955
2019-06-17,289.425082,280.0,25,0.0223,10.52,12.384888119545481,1.8648881195454816,0.3845,22.952
2019-06-10,288.990779,278.0,39,0.0229,12.79,15.426206350229641,2.6362063502296422,0.3265,37.3895
2019-09-19,301.095829,277.0,57,0.0192999999999999,25.22,28.63453934121522,3.414539341215221,0.3325,51.3545
2019-02-06,272.708317,257.0,51,0.0242,17.69,22.380717562377583,4.690717562377582,0.2085,50.6225
2019-02-06,272.708317,271.0,9,0.0242,3.1,5.162842661969511,2.0628426619695106,0.153,8.5485
2019-07-09,297.272645,295.5,17,0.0226,3.91,4.993791337426461,1.0837913374264607,0.3085,15.912
2019-10-03,290.3112,294.0,32,0.017,4.15,4.938286941929023,0.788286941929023,0.218,31.0085
2019-10-17,299.188886,297.0,22,0.0166,5.13,6.403887690606136,1.273887690606136,0.1875,21.5695
2019-08-06,287.752691,281.0,45,0.0204999999999999,12.21,10.701388410704494,-1.5086115892955068,0.3495,41.616
2019-11-07,308.164379,299.0,43,0.0156,12.07,13.50369675207706,1.4336967520770596,0.4585,39.7585
2019-10-03,290.3112,303.0,13,0.017,0.08,0.46378310309652704,0.383783103096527,0.032,12.936
2019-06-10,288.990779,303.0,11,0.0229,0.07,0.4566108171364868,0.3866108171364868,0.01,10.9635
2019-06-03,274.665808,283.0,32,0.0235,1.76,3.683170700255206,1.9231707002552059,0.11,31.6285
2019-03-14,281.166664,292.0,34,0.0245,0.26,4.06019694256001,3.80019694256001,0.072,33.6775
2019-08-27,286.953978,315.0,52,0.0197999999999999,0.14,0.342144469500967,0.20214446950096698,0.021,51.844
2019-10-10,293.156917,313.0,43,0.0168,0.21,1.5682683080028237,1.3582683080028237,0.079,42.517
2019-02-06,272.708317,268.5,7,0.0242,4.72,5.928593221403053,1.2085932214030528,0.2605,6.1225
2019-02-13,275.009734,270.0,9,0.0243999999999999,5.64,7.1888659116537035,1.5488659116537038,0.2925,8.001
2019-01-15,260.405414,275.0,31,0.0245,0.29,6.474577137129001,6.184577137129001,0.1085,30.506
2019-09-12,301.265478,295.0,27,0.0195,7.87,11.869246828532381,3.999246828532381,0.0735,26.369
2019-03-21,284.612008,294.0,32,0.0249,0.64,4.2579082566038355,3.6179082566038354,0.099,31.2375
2019-01-15,260.405414,264.0,59,0.0245,4.77,14.68258125681066,9.912581256810661,0.1415,58.5775
