trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
2019-01-30,267.547077,258.0,7,0.0242,10.22,10.378429689524495,0.15842968952449432,0.079,6.842
2019-10-17,299.188886,290.0,8,0.0166,9.52,9.849772637472011,0.32977263747201135,0.444,6.632
2019-06-17,289.425082,280.0,25,0.0223,10.52,11.942933596677038,1.422933596677039,0.4155,21.3665
2019-06-10,288.990779,278.0,39,0.0229,12.79,14.29789178102139,1.5078917810213905,0.4195,38.075
2019-09-19,301.095829,277.0,57,0.0192999999999999,25.22,26.032288969858907,0.8122889698589084,0.8475,52.1555
2019-02-06,272.708317,257.0,51,0.0242,17.69,19.68529445817809,1.9952944581780905,0.524,48.6195
2019-02-06,272.708317,271.0,9,0.0242,3.1,4.943653758992924,1.8436537589929238,0.229,8.103
2019-07-09,297.272645,295.5,17,0.0226,3.91,4.55526101874187,0.6452610187418699,0.26,16.325
2019-10-03,290.3112,294.0,32,0.017,4.15,4.204005146002995,0.054005146002994664,0.1845,30.436
2019-10-17,299.188886,297.0,22,0.0166,5.13,6.4792176345918415,1.3492176345918416,0.0,22.0
2019-08-06,287.752691,281.0,45,0.0204999999999999,12.21,10.295925367938679,-1.9140746320613218,0.4025,38.089
2019-11-07,308.164379,299.0,43,0.0156,12.07,13.110388150181919,1.0403881501819185,0.4185,37.1955
2019-10-03,290.3112,303.0,13,0.017,0.08,0.3712531986520755,0.2912531986520755,0.004,12.9825
2019-06-10,288.990779,303.0,11,0.0229,0.07,0.6730522636863301,0.60305226368633,0.035,10.823
2019-06-03,274.665808,283.0,32,0.0235,1.76,3.9074511072897247,2.147451107289725,0.0635,31.4095
2019-03-14,281.166664,292.0,34,0.0245,0.26,4.505578189942404,4.245578189942404,0.1625,32.682
2019-08-27,286.953978,315.0,52,0.0197999999999999,0.14,0.7179005504466252,0.5779005504466251,0.0465,51.8115
2019-10-10,293.156917,313.0,43,0.0168,0.21,1.1461006826666182,0.9361006826666183,0.063,42.542
2019-02-06,272.708317,268.5,7,0.0242,4.72,5.885643589966048,1.1656435899660487,0.2435,6.0425
2019-02-13,275.009734,270.0,9,0.0243999999999999,5.64,6.988990140220359,1.3489901402203595,0.305,7.5685
2019-01-15,260.405414,275.0,31,0.0245,0.29,2.427043651875543,2.137043651875543,0.0645,30.815
2019-09-12,301.265478,295.0,27,0.0195,7.87,9.330188876338006,1.4601888763380062,0.2665,25.776
2019-03-21,284.612008,294.0,32,0.0249,0.64,4.788519404262484,4.148519404262484,0.137,31.062
2019-01-15,260.405414,264.0,59,0.0245,4.77,8.246305073448735,3.476305073448735,0.1465,56.5495
