ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
AMZN,2008-08-07,78.09,80.0,43,0.0166,4.1,5.684769957994993,1.5847699579949932,0.2283,39.7984
AMZN,2008-08-14,86.69,85.0,36,0.0189,6.35,7.431565784447378,1.0815657844473785,0.2352,33.0394
AMZN,2008-08-21,82.13,80.0,29,0.0172,5.3,6.874236533699566,1.5742365336995663,0.1819,27.3596
AMZN,2008-08-28,81.73,80.0,22,0.0174,4.35,5.853050320943883,1.503050320943883,0.2852,19.6875
AMZN,2008-09-05,78.03,80.0,42,0.0168,4.4,5.574051957056057,1.174051957056057,0.2365,38.8439
AMZN,2008-09-12,79.51,80.0,35,0.0149,4.825,5.697248263839494,0.8722482638394942,0.2782,31.6795
AMZN,2008-09-19,76.5,75.0,28,0.0098999999999999,5.075,5.954313274257591,0.8793132742575906,0.263,25.742
AMZN,2008-09-26,72.08,72.5,21,0.0087,4.225,3.9544687811692993,-0.2705312188307003,0.2735,18.905
AMZN,2008-10-03,67.36,67.5,14,0.0051,4.375,3.2368574871924416,-1.1381425128075584,0.1711,13.5017
AMZN,2008-10-10,56.0,55.0,42,0.0025,8.775,5.034575165316092,-3.7404248346839086,0.2595,38.4902
AMZN,2008-10-20,50.65,50.0,32,0.0124,7.2,3.9885630855403136,-3.2114369144596866,0.2462,28.8228
AMZN,2008-10-27,48.96,50.0,25,0.0084,4.325,2.6482397686408308,-1.6767602313591694,0.1751,23.4323
AMZN,2008-11-03,57.24,55.0,18,0.0049,5.35,4.289217702600355,-1.060782297399645,0.3264,15.7599
AMZN,2008-11-10,49.21,50.0,39,0.0029,5.175,3.5987722666338793,-1.5762277333661205,0.1792,36.6096
AMZN,2008-11-17,41.75,42.5,32,0.0012,4.3,2.618034205483178,-1.681965794516822,0.2138,29.7108
AMZN,2008-11-24,37.87,37.5,25,0.0013,4.225,2.620370508759669,-1.6046294912403307,0.2428,23.1214
AMZN,2008-12-02,40.47,40.0,17,0.0006,4.125,2.3879942298319135,-1.7370057701680865,0.2654,15.3413
AMZN,2008-12-09,51.41,50.0,38,0.0003,6.75,4.759305784792399,-1.9906942152076006,0.2628,35.0124
AMZN,2008-12-16,48.85,50.0,31,0.0004,4.6,2.997670451412872,-1.6023295485871278,0.1889,29.4315
AMZN,2008-12-23,49.84,50.0,24,0.0002,3.65,3.0853439162824454,-0.5646560837175545,0.2108,22.3645
AMZN,2008-12-31,50.76,50.0,16,0.0011,3.275,2.8977894233932515,-0.3772105766067484,0.2477,14.6474
AMZN,2009-01-08,56.2,55.0,43,0.0009,6.625,5.172920631104839,-1.452079368895161,0.3035,38.536
AMZN,2009-01-15,48.49,47.5,36,0.0011,5.65,4.244908762627777,-1.4050912373722237,0.2977,32.4646
AMZN,2009-01-23,49.94,50.0,28,0.0011,4.525,3.2363666653178584,-1.288633334682142,0.239,25.876
AMZN,2009-01-30,50.0,50.0,21,0.0024,4.125,2.9306401518722107,-1.1943598481277893,0.2664,19.367
AMZN,2009-02-06,63.18,65.0,42,0.0028,4.175,4.462007864856487,0.2870078648564869,0.2417,39.9074
AMZN,2009-02-13,63.96,65.0,35,0.0029,4.25,4.350448591539445,0.10044859153944508,0.2434,32.2834
AMZN,2009-02-23,63.86,65.0,25,0.0029,3.8,3.4956468486598444,-0.3043531513401554,0.2172,23.3829
AMZN,2009-03-02,64.79,65.0,18,0.0028,3.45,3.3706170925468024,-0.07938290745319776,0.234,16.7837
AMZN,2009-03-09,61.69,60.0,39,0.0023,6.675,5.675539671996715,-0.999460328003285,0.2966,34.8799
AMZN,2009-03-16,68.63,70.0,32,0.0024,4.4,4.251583885490548,-0.1484161145094527,0.2079,29.8136
AMZN,2009-03-23,69.96,70.0,25,0.0022,4.6,4.461801142941782,-0.13819885705821733,0.2056,23.6663
AMZN,2009-03-30,70.52,70.0,18,0.0018,4.225,4.018929354977988,-0.20607064502201133,0.21,16.6481
AMZN,2009-04-06,78.17,80.0,39,0.002,6.25,5.378570732943265,-0.871429267056735,0.2001,36.7704
AMZN,2009-04-14,78.94,80.0,31,0.0017,5.7,5.132377907047313,-0.5676220929526874,0.1474,29.8278
AMZN,2009-04-21,77.57,80.0,24,0.0015,4.575,3.788517982988226,-0.7864820170117741,0.1738,22.5863
AMZN,2009-04-28,83.12,85.0,17,0.0013,2.765,3.527650564277849,0.7626505642778487,0.1778,16.1257
AMZN,2009-05-05,79.77,80.0,45,0.0019,5.15,6.834236223201645,1.684236223201645,0.1861,42.5067
AMZN,2009-05-12,78.61,80.0,38,0.0019,4.125,5.617520349664272,1.4925203496642716,0.2246,36.005
AMZN,2009-05-19,75.95,75.0,31,0.0018,4.15,5.987217590951086,1.8372175909510853,0.2633,28.6094
AMZN,2009-05-27,78.39,80.0,23,0.0017,2.58,4.119072309245197,1.5390723092451966,0.1567,21.4622
AMZN,2009-06-03,84.93,85.0,16,0.0014,3.125,4.262808595714066,1.1378085957140662,0.2289,14.565
AMZN,2009-06-10,87.08,85.0,37,0.0018,5.8,7.775773563871581,1.9757735638715808,0.2708,33.64
AMZN,2009-06-17,82.15,80.0,30,0.0017,5.15,6.869732050554635,1.7197320505546347,0.2656,26.6883
AMZN,2009-06-24,77.68,80.0,23,0.0019,2.22,3.758520761622755,1.5385207616227548,0.2184,21.9067
AMZN,2009-07-01,83.66,85.0,16,0.0017,2.13,3.670894086436774,1.540894086436774,0.1722,15.231
AMZN,2009-07-09,77.36,75.0,43,0.0019,6.8,7.671537212982541,0.8715372129825409,0.2239,39.7133
AMZN,2009-07-16,84.55,85.0,36,0.0019,4.75,6.392866602586668,1.6428666025866683,0.1732,34.1621
AMZN,2009-07-23,88.79,90.0,29,0.0019,4.025,5.386303435045621,1.3613034350456203,0.2289,26.9734
AMZN,2009-07-30,84.34,85.0,22,0.0018,2.86,4.703984564003303,1.843984564003303,0.2128,20.5923
