ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
AMZN,2008-08-07,78.09,80.0,43,0.0166,4.1,5.411525404922669,1.3115254049226692,0.0511,42.386
AMZN,2008-08-14,86.69,85.0,36,0.0189,6.35,7.371431548491478,1.0214315484914787,0.0314,35.5609
AMZN,2008-08-21,82.13,80.0,29,0.0172,5.3,6.637041403412583,1.3370414034125835,0.1107,28.424
AMZN,2008-08-28,81.73,80.0,22,0.0174,4.35,5.645925195314573,1.295925195314573,0.0522,21.8484
AMZN,2008-09-05,78.03,80.0,42,0.0168,4.4,5.34832766582018,0.9483276658201794,0.091,41.6976
AMZN,2008-09-12,79.51,80.0,35,0.0149,4.825,5.333487964130981,0.508487964130981,0.1035,34.1536
AMZN,2008-09-19,76.5,75.0,28,0.0098999999999999,5.075,5.660232005953263,0.5852320059532632,0.1157,27.5899
AMZN,2008-09-26,72.08,72.5,21,0.0087,4.225,3.6750328126158593,-0.5499671873841403,0.0829,20.6638
AMZN,2008-10-03,67.36,67.5,14,0.0051,4.375,2.9129815325307042,-1.4620184674692958,0.0853,13.7539
AMZN,2008-10-10,56.0,55.0,42,0.0025,8.775,4.794953920700931,-3.9800460792990693,0.136,40.9656
AMZN,2008-10-20,50.65,50.0,32,0.0124,7.2,3.8465563665867593,-3.353443633413241,0.1585,31.1739
AMZN,2008-10-27,48.96,50.0,25,0.0084,4.325,2.348772968217073,-1.9762270317829271,0.0767,24.4061
AMZN,2008-11-03,57.24,55.0,18,0.0049,5.35,4.276957532142342,-1.0730424678576576,0.0609,17.8591
AMZN,2008-11-10,49.21,50.0,39,0.0029,5.175,3.3163254338199697,-1.8586745661800301,0.1788,37.8813
AMZN,2008-11-17,41.75,42.5,32,0.0012,4.3,2.4632466314106254,-1.8367533685893744,0.0648,31.5791
AMZN,2008-11-24,37.87,37.5,25,0.0013,4.225,2.480535058978286,-1.7444649410217137,0.0426,24.7714
AMZN,2008-12-02,40.47,40.0,17,0.0006,4.125,2.2269746005181337,-1.8980253994818663,0.0696,16.6185
AMZN,2008-12-09,51.41,50.0,38,0.0003,6.75,4.609214695680899,-2.1407853043191007,0.125,36.7513
AMZN,2008-12-16,48.85,50.0,31,0.0004,4.6,2.655628278558267,-1.9443717214417324,0.0607,30.482
AMZN,2008-12-23,49.84,50.0,24,0.0002,3.65,2.830824298594848,-0.8191757014051517,0.1011,23.8549
AMZN,2008-12-31,50.76,50.0,16,0.0011,3.275,2.7379634067263274,-0.5370365932736725,0.1831,15.2618
