ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
SPY,2008-08-06,129.043172,129.0,45,0.0163999999999999,3.56,5.163942476768337,1.6039424767683372,0.2244,42.935
SPY,2008-08-13,128.798139,129.0,38,0.0185,3.33,4.6156918272087815,1.2856918272087814,0.1822,36.6386
SPY,2008-08-20,127.72116,128.0,31,0.0171,2.7,4.127998322711068,1.4279983227110682,0.1942,30.1147
SPY,2008-08-27,128.476927,128.0,34,0.0167,3.0,4.638368511947762,1.6383685119477622,0.256,31.4194
SPY,2008-09-04,124.096095,124.0,26,0.0169,2.8049999999999997,3.8239823945655007,1.018982394565501,0.2249,25.2035
SPY,2008-09-11,125.386557,125.0,37,0.0161,3.34,4.585304108072919,1.2453041080729195,0.2105,35.606
SPY,2008-09-18,121.180207,121.0,30,0.0023,2.96,3.86890493188694,0.9089049318869402,0.2148,28.8282
SPY,2008-09-25,120.764921,121.0,23,0.0076,3.88,3.2111853129001067,-0.6688146870998932,0.2373,21.4266
SPY,2008-10-02,111.354786,111.0,16,0.0063,5.24,2.781837070617703,-2.458162929382297,0.2169,14.9706
SPY,2008-10-09,91.00948,91.0,44,0.006,7.625,3.413727849985221,-4.2112721500147785,0.2836,40.7627
SPY,2008-10-16,94.675625,95.0,37,0.0046,6.525,3.148875665854941,-3.3761243341450595,0.2124,34.8619
SPY,2008-10-23,90.871131,91.0,30,0.0098,5.975,2.838570199725224,-3.1364298002747755,0.1954,29.3336
SPY,2008-10-30,95.49356,95.0,23,0.0040999999999999,6.125,2.8306651461613446,-3.2943348538386554,0.2145,20.9717
SPY,2008-11-06,90.663879,91.0,16,0.0032,4.550000000000001,1.9055390589268082,-2.6444609410731923,0.2004,15.2174
SPY,2008-11-13,91.398333,91.0,37,0.0022,5.675,3.3420245859738955,-2.3329754140261043,0.2418,34.4285
SPY,2008-11-20,75.587663,76.0,30,0.0003,6.05,2.2546239218812896,-3.7953760781187103,0.1662,28.7882
SPY,2008-11-28,90.020685,90.0,22,0.0001,4.45,2.4200848573237943,-2.029915142676206,0.2222,20.3994
SPY,2008-12-05,88.066611,88.0,43,0.0002,6.1,3.420897415979128,-2.6791025840208715,0.129,42.1904
SPY,2008-12-12,88.483451,88.0,36,0.0002,5.675,3.260498631757668,-2.4145013682423317,0.2415,32.7345
SPY,2008-12-19,88.596187,89.0,29,0.0002,3.625,2.5065028469527313,-1.1184971530472687,0.202,26.9601
SPY,2008-12-29,86.85927,87.0,19,0.0006,3.3499999999999996,2.0308878508107147,-1.319112149189285,0.1724,17.9282
SPY,2009-01-07,90.685286,91.0,45,0.0011,4.775,3.3646794719544006,-1.4103205280455997,0.2537,41.9941
