ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
AMZN,2019-09-06,1840.72,1840.0,28,0.0196,46.75,72.42928238239278,25.679282382392785,0.1712,26.5851
AMZN,2019-09-13,1843.55,1842.5,21,0.0196,36.225,59.40128056247358,23.17628056247358,0.1406,20.2321
AMZN,2019-09-20,1821.5,1822.5,35,0.0191,61.45,83.36213845822547,21.91213845822547,0.1652,33.1774
AMZN,2019-09-27,1739.84,1740.0,28,0.018,57.75,68.72740024407925,10.977400244079249,0.1929,26.5217
AMZN,2019-10-04,1724.42,1725.0,28,0.0171,61.075,69.91364160905195,8.838641609051948,0.1599,27.0963
AMZN,2019-10-11,1720.26,1720.0,28,0.0168,58.4,67.37444188200416,8.974441882004164,0.2104,26.2846
AMZN,2019-10-18,1787.48,1787.5,35,0.0166,58.675,81.01132955159386,22.336329551593863,0.2297,33.2453
AMZN,2019-10-28,1761.33,1762.5,32,0.0165,43.875,73.13855922002145,29.26355922002145,0.258,29.5367
AMZN,2019-11-04,1791.44,1792.5,32,0.0153,40.675,69.74990683805058,29.07490683805058,0.414,25.1311
AMZN,2019-11-11,1785.88,1785.0,25,0.0155,34.95,66.10398686549466,31.15398686549466,0.1401,24.0514
AMZN,2019-11-18,1739.49,1740.0,32,0.0157,38.75,75.36750123182145,36.61750123182145,0.1952,30.5653
AMZN,2019-11-25,1745.72,1745.0,25,0.0161,36.65,64.60239797469798,27.95239797469798,0.122,24.4417
AMZN,2019-12-03,1781.6,1782.5,31,0.0157,42.85,74.50428890873687,31.654288908736866,0.1919,29.0
AMZN,2019-12-10,1749.51,1750.0,31,0.0156,42.775,73.30895174227739,30.533951742277388,0.3363,28.9506
AMZN,2019-12-17,1769.21,1770.0,31,0.0156,37.025,72.47672728779773,35.45172728779773,0.214,28.6768
AMZN,2019-12-24,1793.0,1792.5,31,0.0158,38.075,80.36216431198399,42.287164311983986,0.1796,29.7685
AMZN,2020-01-02,1847.84,1847.5,8,0.0154,25.175,33.67977650838724,8.504776508387241,0.1138,7.7407
AMZN,2020-01-09,1891.97,1892.5,8,0.0154,25.875,33.51408287751973,7.6390828775197335,0.0741,7.8106
AMZN,2020-01-16,1862.02,1862.5,29,0.0155,60.125,75.55718417019796,15.432184170197957,0.1713,27.431
AMZN,2020-01-24,1884.58,1885.0,28,0.0154,58.425,75.07465803443228,16.649658034432278,0.1295,27.0652
AMZN,2020-01-31,1870.68,1870.0,28,0.0155,58.45,72.93446018306334,14.484460183063334,0.1177,26.9425
AMZN,2020-02-07,2050.23,2050.0,28,0.0156,52.0,80.65631154238342,28.65631154238342,0.1832,26.3887
AMZN,2020-02-14,2149.87,2150.0,28,0.0158,60.7,86.43486252467854,25.734862524678533,0.2238,26.2732
AMZN,2020-02-24,2095.97,2095.0,32,0.0153,66.0,89.50606953033765,23.506069530337655,0.2207,30.1261
AMZN,2020-03-02,1883.75,1885.0,18,0.0113,86.65,54.93146926045969,-31.718530739540313,0.169,17.2429
AMZN,2020-03-09,1901.09,1900.0,31,0.0033,94.975,79.67519775344213,-15.29980224655786,0.1654,29.5651
AMZN,2020-03-16,1785.0,1785.0,32,0.0024,107.5,69.15002653644997,-38.34997346355003,0.3324,26.3536
AMZN,2020-03-23,1846.09,1845.0,25,0.0002,109.325,65.67927292087988,-43.64572707912012,0.1758,23.6459
AMZN,2020-03-30,1900.1,1900.0,32,0.0012,114.75,76.66483522858918,-38.08516477141082,0.3636,27.6883
AMZN,2020-04-06,1906.59,1905.0,32,0.0015,98.675,80.200225782256,-18.474774217744,0.2215,29.0606
AMZN,2020-04-14,2168.87,2170.0,31,0.002,106.225,90.75369927471634,-15.471300725283655,0.2167,29.5621
AMZN,2020-04-21,2393.61,2395.0,59,0.0011,167.825,154.5660504402507,-13.258949559749283,0.3371,55.6302
AMZN,2020-04-28,2376.0,2375.0,31,0.0011,122.975,99.8773194289078,-23.097680571092198,0.1854,29.8537
AMZN,2020-05-05,2315.99,2315.0,31,0.0013,96.2,100.95121983440659,4.751219834406584,0.1466,29.774
AMZN,2020-05-12,2409.0,2410.0,31,0.0013,78.05,98.23892045500646,20.188920455006468,0.2467,28.8422
AMZN,2020-05-19,2426.26,2425.0,31,0.0013,77.45,100.96472123824238,23.514721238242373,0.2529,29.0487
AMZN,2020-05-27,2421.86,2420.0,30,0.0015,80.3,98.44704281791148,18.147042817911483,0.4322,27.5964
AMZN,2020-06-03,2472.41,2470.0,29,0.0016,75.15,100.30734376936539,25.157343769365383,0.1372,27.7992
AMZN,2020-06-10,2600.86,2600.0,30,0.0017,90.425,103.01023307156744,12.585233071567444,0.2905,27.7674
AMZN,2020-06-17,2615.27,2615.0,23,0.0017,83.35,89.0639207060195,5.713920706019508,0.1905,21.7079
AMZN,2020-06-24,2764.41,2760.0,30,0.0015,115.975,113.17853792501799,-2.796462074982003,0.2759,27.4415
AMZN,2020-07-01,2758.82,2760.0,30,0.0014,126.575,110.50537895917657,-16.069621040823435,0.216,28.4293
AMZN,2020-07-09,3081.11,3080.0,29,0.0013,164.375,122.48636854082406,-41.88863145917594,0.1783,27.3371
AMZN,2020-07-16,3008.87,3010.0,29,0.0011,195.675,120.32998141272147,-75.34501858727855,0.2049,27.0467
AMZN,2020-07-23,3099.91,3100.0,29,0.0012,180.95,122.22868709621136,-58.72131290378863,0.1888,27.2951
AMZN,2020-07-30,3033.53,3035.0,29,0.0009,152.825,120.23247484307662,-32.59252515692337,0.1624,27.6099
AMZN,2020-08-06,3205.03,3210.0,29,0.001,126.4,125.42309574301478,-0.9769042569852218,0.2039,27.3951
AMZN,2020-08-13,3162.24,3160.0,29,0.001,119.35,127.82786603569926,8.477866035699265,0.2317,26.8737
AMZN,2020-08-20,3260.48,3260.0,29,0.0011,136.75,127.60400031726635,-9.145999682733645,0.2137,27.4841
AMZN,2020-08-27,3441.85,3440.0,29,0.0011,162.725,138.21345023458534,-24.511549765414657,0.2698,27.7357
