ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
MSFT,2019-09-05,137.63,138.0,29,0.0197,3.525,5.040792177017449,1.5157921770174494,0.2246,27.6362
MSFT,2019-09-12,136.12,136.0,29,0.0195,3.6,5.207038536578744,1.6070385365787438,0.1802,27.084
MSFT,2019-09-19,138.52,139.0,36,0.0192999999999999,4.275,5.944761952043418,1.6697619520434177,0.2245,34.5555
MSFT,2019-09-26,139.36,139.0,29,0.0183,4.625,5.510993753221326,0.8859937532213262,0.1606,27.5244
MSFT,2019-10-03,134.65,135.0,29,0.017,4.8,5.122894769670356,0.3228947696703566,0.1653,28.1256
MSFT,2019-10-10,138.24,138.0,29,0.0168,4.45,5.2838570049402795,0.8338570049402794,0.2363,27.1873
MSFT,2019-10-17,140.41,140.0,29,0.0166,4.125,5.543830795318739,1.4188307953187387,0.1817,27.4629
MSFT,2019-10-24,137.24,137.0,29,0.0167,4.075,5.230715305851557,1.1557153058515572,0.2468,26.5524
MSFT,2019-10-31,144.61,145.0,29,0.0154,2.39,5.423001058691289,3.033001058691289,0.1799,27.7331
MSFT,2019-11-07,144.06,144.0,29,0.0156,2.43,5.410879706904511,2.980879706904511,0.1369,28.0285
MSFT,2019-11-14,147.31,147.0,29,0.0157,2.55,5.864402146911986,3.314402146911986,0.1236,28.3145
MSFT,2019-11-21,149.62,150.0,29,0.0158,2.81,5.526466536182955,2.716466536182955,0.1464,28.4564
MSFT,2019-11-29,152.32,152.5,28,0.0159,2.615,5.685876427087738,3.070876427087738,0.1764,26.5031
MSFT,2019-12-06,149.93,150.0,28,0.0153,2.895,5.529918706568537,2.6349187065685373,0.1525,26.4762
MSFT,2019-12-13,153.24,152.5,28,0.0157,3.3,6.040062856132454,2.740062856132454,0.2439,27.023
MSFT,2019-12-20,155.71,155.0,28,0.0158,3.07,6.597783798262541,3.5277837982625413,0.1745,27.2712
MSFT,2019-12-30,158.96,160.0,32,0.0157,3.675,5.933200438108898,2.258200438108898,0.1911,30.5127
MSFT,2020-01-07,159.03,160.0,31,0.0154,3.8,5.765993774450362,1.9659937744503626,0.108,29.8981
MSFT,2020-01-14,163.28,162.5,31,0.0157,4.65,6.881862219251323,2.2318622192513224,0.1696,29.9416
MSFT,2020-01-22,166.5,167.5,30,0.0155,3.975,5.982451129465314,2.007451129465314,0.1219,28.6361
MSFT,2020-01-29,165.46,165.0,30,0.0156,4.775,6.499557948243115,1.724557948243115,0.2056,27.9137
MSFT,2020-02-05,180.12,180.0,30,0.0157,4.45,6.967785750594383,2.517785750594383,0.2166,28.0912
MSFT,2020-02-12,184.44,185.0,30,0.0158,5.875,7.096578345661869,1.221578345661869,0.1587,28.486
MSFT,2020-02-20,187.28,187.5,36,0.0158,5.45,7.849537763343286,2.399537763343286,0.166,34.0781
MSFT,2020-02-27,170.17,170.0,29,0.0144999999999999,7.0,6.6377489112366606,-0.36225108876333945,0.1922,27.3218
MSFT,2020-03-05,170.55,170.0,29,0.0062,7.425,6.620977254198349,-0.8040227458016505,0.1859,27.3806
MSFT,2020-03-12,153.63,152.5,28,0.0033,11.325,6.282955695503601,-5.0420443044963985,0.1817,26.2927
MSFT,2020-03-19,140.4,140.0,29,0.0004,14.05,5.264077635750914,-8.785922364249087,0.2112,27.0897
