ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
MSFT,2018-10-05,112.79,113.0,28,0.0223,3.2,3.106569373274677,-0.09343062672532332,0.1734,26.8102
MSFT,2018-10-12,105.91,106.0,28,0.0227999999999999,4.15,3.0664521284180837,-1.0835478715819167,0.1497,27.288
MSFT,2018-10-19,108.5,108.0,35,0.0231,4.35,3.918452547546729,-0.43154745245327053,0.2385,32.7289
MSFT,2018-10-26,108.3,108.0,28,0.0233,3.525,3.270917335660018,-0.25408266433998206,0.1095,27.2715
MSFT,2018-11-02,105.92,106.0,28,0.0233,3.04,3.650868449841581,0.6108684498415808,0.1826,25.8968
MSFT,2018-11-09,111.75,112.0,28,0.0236,2.51,4.018967064731552,1.5089670647315518,0.195,27.237
MSFT,2018-11-16,107.28,107.0,28,0.0236,3.9,4.002343163023205,0.10234316302320545,0.1564,26.8725
MSFT,2018-11-26,103.07,103.0,32,0.0241,3.875,3.9233725401737973,0.04837254017379733,0.1892,30.0753
MSFT,2018-12-03,110.89,111.0,32,0.0237999999999999,3.375,4.8207672959578245,1.4457672959578245,0.2104,30.3023
MSFT,2018-12-10,104.82,105.0,32,0.0241,4.025,4.334372964596668,0.3093729645966681,0.1961,30.2289
MSFT,2018-12-17,106.03,106.0,25,0.024,3.6,4.087130337098335,0.4871303370983351,0.1688,23.6375
MSFT,2018-12-24,98.23,98.0,31,0.0245,4.375,4.2573720681623,-0.11762793183770004,0.1964,29.5633
MSFT,2019-01-02,101.57,102.0,30,0.0242,4.4,5.188064755122654,0.7880647551226536,0.1558,28.3291
MSFT,2019-01-09,102.8,103.0,30,0.0245,4.15,5.40850947035192,1.2585094703519193,0.2032,27.6899
MSFT,2019-01-16,105.01,105.0,30,0.0243,3.725,5.495744235454406,1.7707442354544063,0.17,28.2119
MSFT,2019-01-24,106.71,107.0,29,0.0237,3.425,5.483150867983743,2.058150867983743,0.153,27.3521
MSFT,2019-01-31,106.38,106.0,29,0.0241,3.7,3.919652971940083,0.21965297194008304,0.1961,26.6132
MSFT,2019-02-07,106.03,106.0,29,0.0242,2.385,3.5649455543930015,1.1799455543930017,0.1607,26.2395
MSFT,2019-02-14,106.81,107.0,36,0.0243,2.485,3.7352711562004965,1.2502711562004967,0.219,32.2858
MSFT,2019-02-22,109.41,109.0,28,0.0246,2.725,3.8084290418652182,1.0834290418652182,0.1949,24.9568
MSFT,2019-03-01,112.03,112.0,28,0.0243999999999999,2.6,2.8933585131338053,0.29335851313380523,0.1479,26.9677
MSFT,2019-03-08,110.39,110.0,28,0.0246,2.805,3.0034487425738705,0.19844874257387035,0.2031,26.44
MSFT,2019-03-15,114.59,115.0,28,0.0245,2.015,2.796394858760515,0.7813948587605148,0.1398,27.2117
MSFT,2019-03-22,120.22,120.0,27,0.0246,2.76,3.077329371061988,0.3173293710619882,0.1511,25.6572
MSFT,2019-03-29,116.93,117.0,28,0.024,2.935,2.9242421429674263,-0.010757857032573703,0.1992,26.0501
MSFT,2019-04-05,119.36,119.0,28,0.0243999999999999,3.475,3.815038236079546,0.340038236079546,0.2026,26.5785
MSFT,2019-04-12,120.33,120.0,28,0.0243999999999999,3.375,3.7885222884402747,0.4135222884402747,0.1948,26.9719
MSFT,2019-04-22,123.37,123.0,31,0.0243999999999999,3.35,4.208470702395337,0.8584707023953366,0.2362,29.5334
MSFT,2019-04-29,129.89,130.0,32,0.0243999999999999,2.515,4.250199026785916,1.7351990267859159,0.153,30.7527
MSFT,2019-05-06,126.21,125.0,24,0.0243999999999999,3.16,3.4550947500234956,0.2950947500234955,0.1947,22.3234
MSFT,2019-05-13,127.13,127.0,32,0.0241,3.25,3.364406562523047,0.11440656252304704,0.1872,30.0269
MSFT,2019-05-20,128.07,128.0,24,0.0239,3.255,2.864866890626768,-0.39013310937323187,0.2039,22.4242
MSFT,2019-05-28,126.18,126.0,9,0.0237,2.465,1.8042435351810593,-0.6607564648189406,0.0768,8.7425
MSFT,2019-06-04,119.84,120.0,31,0.0235,3.875,3.7506804132566876,-0.12431958674331245,0.2043,29.2949
MSFT,2019-06-11,132.6,133.0,31,0.0227,3.275,4.022298859076998,0.7472988590769982,0.1919,28.676
MSFT,2019-06-18,132.85,133.0,24,0.0222,2.825,3.7360971586713023,0.9110971586713021,0.1542,22.6974
MSFT,2019-06-25,137.78,138.0,31,0.0212,3.8,4.32621877603911,0.5262187760391104,0.1543,29.5838
MSFT,2019-07-02,135.68,136.0,31,0.022,3.55,4.05117552314382,0.5011755231438197,0.1534,29.8542
MSFT,2019-07-10,136.46,136.0,30,0.022,3.95,4.3699610493423915,0.4199610493423913,0.123,28.8609
MSFT,2019-07-17,137.08,137.0,23,0.0214,3.5,3.6056691907736256,0.10566919077362558,0.1737,22.0181
MSFT,2019-07-24,139.29,139.0,30,0.021,2.85,4.44402738545109,1.5940273854510898,0.1806,28.7674
MSFT,2019-07-31,140.35,140.0,30,0.0208,2.985,3.7251665387995962,0.7401665387995964,0.229,28.0673
MSFT,2019-08-07,134.69,135.0,30,0.0202,3.725,3.1744675040232653,-0.5505324959767348,0.1664,28.1564
MSFT,2019-08-14,138.6,139.0,30,0.0196,3.275,3.3406918199302353,0.06569181993023543,0.1747,28.6882
MSFT,2019-08-21,137.26,137.0,30,0.0197,3.9,3.5775108937911733,-0.32248910620882665,0.1933,28.3411
MSFT,2019-08-28,135.74,136.0,30,0.0199,3.925,3.2631146564854485,-0.6618853435145513,0.1491,28.5297
MSFT,2019-09-05,137.63,138.0,29,0.0197,3.525,4.701410487170529,1.176410487170529,0.141,28.0043
MSFT,2019-09-12,136.12,136.0,29,0.0195,3.6,4.7573365303070885,1.1573365303070884,0.129,27.8117
MSFT,2019-09-19,138.52,139.0,36,0.0192999999999999,4.275,5.098559165530351,0.8235591655303507,0.1749,34.6056
MSFT,2019-09-26,139.36,139.0,29,0.0183,4.625,5.0735739561621145,0.4485739561621145,0.1441,27.91
