ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
AMZN,2019-09-06,1840.72,1840.0,28,0.0196,46.75,73.35022412401689,26.60022412401689,0.2096,25.9175
AMZN,2019-09-13,1843.55,1842.5,21,0.0196,36.225,62.76579173151604,26.540791731516038,0.2695,19.3139
AMZN,2019-09-20,1821.5,1822.5,35,0.0191,61.45,80.14563246671825,18.69563246671825,0.2094,32.5862
AMZN,2019-09-27,1739.84,1740.0,28,0.018,57.75,67.94207419602066,10.192074196020656,0.2636,25.4871
AMZN,2019-10-04,1724.42,1725.0,28,0.0171,61.075,66.1061900520225,5.031190052022495,0.2336,26.5076
AMZN,2019-10-11,1720.26,1720.0,28,0.0168,58.4,65.68505838078616,7.285058380786161,0.2436,25.9638
AMZN,2019-10-18,1787.48,1787.5,35,0.0166,58.675,77.08675729757466,18.411757297574667,0.25,32.0252
AMZN,2019-10-28,1761.33,1762.5,32,0.0165,43.875,72.08007058285212,28.205070582852116,0.2641,29.8127
AMZN,2019-11-04,1791.44,1792.5,32,0.0153,40.675,68.7129539584635,28.037953958463504,0.2207,29.8817
AMZN,2019-11-11,1785.88,1785.0,25,0.0155,34.95,61.12056275552277,26.170562755522766,0.2277,23.3593
AMZN,2019-11-18,1739.49,1740.0,32,0.0157,38.75,67.75827961046987,29.00827961046987,0.2359,29.545
AMZN,2019-11-25,1745.72,1745.0,25,0.0161,36.65,59.50805441449888,22.85805441449888,0.2631,22.5347
AMZN,2019-12-03,1781.6,1782.5,31,0.0157,42.85,68.19223023344851,25.34223023344851,0.2535,28.5102
AMZN,2019-12-10,1749.51,1750.0,31,0.0156,42.775,67.93150968035697,25.15650968035697,0.2456,29.1005
AMZN,2019-12-17,1769.21,1770.0,31,0.0156,37.025,67.94825793664747,30.923257936647467,0.1785,29.4507
AMZN,2019-12-24,1793.0,1792.5,31,0.0158,38.075,69.46491611528927,31.389916115289267,0.2661,28.4403
AMZN,2020-01-02,1847.84,1847.5,8,0.0154,25.175,35.781775533470665,10.606775533470664,0.1791,7.6095
AMZN,2020-01-09,1891.97,1892.5,8,0.0154,25.875,36.19421453652462,10.319214536524619,0.0269,7.9571
AMZN,2020-01-16,1862.02,1862.5,29,0.0155,60.125,68.5869226810377,8.461922681037706,0.221,27.0765
AMZN,2020-01-24,1884.58,1885.0,28,0.0154,58.425,67.19499611365076,8.769996113650762,0.2571,25.6109
AMZN,2020-01-31,1870.68,1870.0,28,0.0155,58.45,67.81767813915427,9.367678139154265,0.2522,25.7194
AMZN,2020-02-07,2050.23,2050.0,28,0.0156,52.0,73.51069954794312,21.51069954794312,0.2303,25.9359
AMZN,2020-02-14,2149.87,2150.0,28,0.0158,60.7,78.25323124519313,17.553231245193132,0.2216,26.1546
AMZN,2020-02-24,2095.97,2095.0,32,0.0153,66.0,81.95449805897255,15.954498058972547,0.2745,29.3089
AMZN,2020-03-02,1883.75,1885.0,18,0.0113,86.65,55.615576485825216,-31.03442351417479,0.1597,17.3534
AMZN,2020-03-09,1901.09,1900.0,31,0.0033,94.975,73.66140166505403,-21.313598334945965,0.2239,29.2011
AMZN,2020-03-16,1785.0,1785.0,32,0.0024,107.5,70.22771080944305,-37.27228919055695,0.2057,30.3705
AMZN,2020-03-23,1846.09,1845.0,25,0.0002,109.325,62.67830966545564,-46.64669033454436,0.2769,22.589
AMZN,2020-03-30,1900.1,1900.0,32,0.0012,114.75,72.96703849042461,-41.78296150957539,0.2826,29.1276
AMZN,2020-04-06,1906.59,1905.0,32,0.0015,98.675,79.35066798157848,-19.324332018421515,0.2645,29.4756
AMZN,2020-04-14,2168.87,2170.0,31,0.002,106.225,89.30581025192961,-16.91918974807038,0.2453,28.519
AMZN,2020-04-21,2393.61,2395.0,59,0.0011,167.825,136.6356750119583,-31.189324988041676,0.2584,54.8353
AMZN,2020-04-28,2376.0,2375.0,31,0.0011,122.975,97.37768423920664,-25.59731576079335,0.2812,28.3587
AMZN,2020-05-05,2315.99,2315.0,31,0.0013,96.2,92.28060365758624,-3.919396342413762,0.2788,28.5541
AMZN,2020-05-12,2409.0,2410.0,31,0.0013,78.05,96.72922117593046,18.679221175930465,0.253,28.7251
AMZN,2020-05-19,2426.26,2425.0,31,0.0013,77.45,98.8262589304504,21.37625893045039,0.2322,29.3483
AMZN,2020-05-27,2421.86,2420.0,30,0.0015,80.3,97.53226136421334,17.232261364213343,0.2528,27.8303
AMZN,2020-06-03,2472.41,2470.0,29,0.0016,75.15,94.40457108535547,19.254571085355465,0.2718,26.8149
AMZN,2020-06-10,2600.86,2600.0,30,0.0017,90.425,101.37009957341711,10.94509957341711,0.2597,27.7982
AMZN,2020-06-17,2615.27,2615.0,23,0.0017,83.35,87.70446437588362,4.354464375883623,0.2518,21.4569
AMZN,2020-06-24,2764.41,2760.0,30,0.0015,115.975,109.08251234949115,-6.892487650508841,0.2636,27.6566
AMZN,2020-07-01,2758.82,2760.0,30,0.0014,126.575,98.00661685001744,-28.568383149982566,0.2517,27.2491
AMZN,2020-07-09,3081.11,3080.0,29,0.0013,164.375,110.31596537516052,-54.059034624839484,0.2815,26.1734
AMZN,2020-07-16,3008.87,3010.0,29,0.0011,195.675,105.56484997654069,-90.11015002345933,0.2466,26.5504
AMZN,2020-07-23,3099.91,3100.0,29,0.0012,180.95,109.32352465621102,-71.62647534378897,0.2294,26.9254
AMZN,2020-07-30,3033.53,3035.0,29,0.0009,152.825,108.16062115509291,-44.66437884490708,0.233,26.8074
AMZN,2020-08-06,3205.03,3210.0,29,0.001,126.4,112.72775893391729,-13.67224106608272,0.2369,26.5986
AMZN,2020-08-13,3162.24,3160.0,29,0.001,119.35,116.17374657795672,-3.176253422043274,0.2582,26.3956
AMZN,2020-08-20,3260.48,3260.0,29,0.0011,136.75,117.94440532648727,-18.80559467351273,0.261,26.8049
AMZN,2020-08-27,3441.85,3440.0,29,0.0011,162.725,126.51015283224001,-36.214847167759984,0.2383,26.7501
