date,window_start,window_end,n_days,mu,sigma
2008-08-01,2007-02-02,2008-08-01,378,-0.10821405048516268,0.27303650871954216
2008-08-31,2007-03-01,2008-08-29,380,-0.0067445684997423615,0.27377256790989724
2008-09-30,2007-04-02,2008-09-30,379,-0.014424978994809058,0.2976796152608846
2008-10-31,2007-05-01,2008-10-31,382,-0.17923483896540496,0.3663480401379448
2008-11-30,2007-05-31,2008-11-28,380,-0.26909121574110717,0.4034358236860845
2008-12-31,2007-07-02,2008-12-31,380,-0.2592650371826342,0.4205680054013447
2009-01-31,2007-08-01,2009-01-30,379,-0.3343073758783345,0.4450049964254848
2009-02-28,2007-08-29,2009-02-27,378,-0.34624150701258244,0.4521040903319202
2009-03-31,2007-10-01,2009-03-31,378,-0.29593067193019407,0.47112937304816804
2009-04-30,2007-10-31,2009-04-30,377,-0.3572354819547944,0.477846941485084
2009-05-31,2007-12-03,2009-05-29,375,-0.2982383898282279,0.4779269355561871
2009-06-30,2007-12-31,2009-06-30,378,-0.2579828123966479,0.4759432264052309
2009-07-31,2008-02-01,2009-07-31,378,-0.19667511469344698,0.4811542449859945
