date,window_start,window_end,n_days,mu,kappa,theta,xi,rho,v0,lam,mu_j,sigma_j,kappa_j,eta_v,kappa_q,theta_q,v0_q,mu_j_q,kappa_j_q,n_quotes,q_success,q_explosive,jump_premium_identified
2019-09-03,2018-03-05,2019-09-03,378,0.05136115058329398,20.0,0.02379748724023757,3.0,-0.1561287121165848,0.051028292539455726,4.666666666666667,-0.010689159356941655,0.03562572359425228,-0.010004185129660725,-40.0,60.0,0.007932495746745856,0.015154845878179508,-0.049950440893466466,-0.04811956427368691,24,True,False,True
2019-09-30,2018-04-02,2019-09-30,378,0.07959802138718312,20.0,0.022184039223334315,3.0,-0.16623324837766665,0.008053333083905639,4.666666666666667,-0.010689159356941655,0.03562572359425228,-0.010004185129660725,-40.0,60.0,0.007394679741111438,0.0005060078663902937,-0.04303001444850747,-0.04150929918891033,24,True,False,True
2019-10-31,2018-05-01,2019-10-31,380,0.09083054650259503,20.0,0.02150114731989462,3.0,-0.1624042523089038,0.012566106236614727,4.6421052631578945,-0.010689159356941655,0.03562572359425228,-0.010004185129660725,-40.0,60.0,0.00716704910663154,0.0001,-0.032543411665198294,-0.03140510117792272,24,True,False,True
2019-11-30,2018-05-31,2019-11-29,379,0.09451832208601132,20.0,0.021177945357112486,3.0,-0.16473571145055926,0.003843299985650158,4.654353562005277,-0.010689159356941655,0.03562572359425228,-0.010004185129660725,-40.0,60.0,0.007059315119037495,0.0001,-0.027314247940858842,-0.026326894052781213,24,True,False,True
2019-12-31,2018-07-02,2019-12-31,378,0.11465244724177144,20.0,0.021087436467066806,3.0,-0.1600475774512221,0.005742622045182918,4.666666666666667,-0.010689159356941655,0.03562572359425228,-0.010004185129660725,-40.0,60.0,0.0070291454890222685,0.0001,-0.03046405279970272,-0.029388949362849637,24,True,False,True
2020-01-31,2018-08-01,2020-01-31,378,0.0900791117221645,20.0,0.021399426308751288,3.0,-0.16905351520578868,0.013542393330676519,4.666666666666667,-0.010689159356941655,0.03562572359425228,-0.010004185129660725,-40.0,60.0,0.007133142102917096,0.001761907661905311,-0.04372830347238942,-0.04217836909550676,24,True,False,True
2020-02-29,2018-08-30,2020-02-28,376,0.009074817363094113,20.0,0.024478794780671297,3.0,-0.22397768565549625,0.062440782226699236,6.031914893617021,-0.017201229778129386,0.03351543268602534,-0.016501914391744976,-40.0,60.0,0.008159598260223767,0.10549420335752878,-0.04266413322753855,-0.04122849002298434,24,True,False,True
2020-03-31,2018-10-01,2020-03-31,377,-0.08041562385818661,20.0,0.07421057462105829,3.0,-0.33970533450844753,0.8730651153761144,5.347480106100796,-0.007596881575928971,0.09060246758215028,-0.003486386402282049,-40.0,60.0,0.02473685820701943,0.7139587032484069,-0.18436065196563953,-0.16494379782274637,24,True,False,True
2020-04-30,2018-10-31,2020-04-30,376,0.0547908300227558,20.0,0.08076488349627552,3.0,-0.27281724101042176,0.16795793914636925,5.361702127659575,0.007512811110242823,0.09202842781772656,0.011816698882818777,-40.0,60.0,0.02692162783209184,0.026140011921595784,-0.06210593624678937,-0.05622861633119858,24,True,False,True
2020-05-31,2018-12-03,2020-05-29,374,0.0654940459100358,20.0,0.08195761978793548,3.0,-0.27052201610028503,0.049745490753065565,5.390374331550802,0.007512811110242823,0.09202842781772656,0.011816698882818777,-40.0,60.0,0.02731920659597849,0.0001,-0.07150823343384717,-0.06506064959145519,24,True,False,True
2020-06-30,2018-12-31,2020-06-30,378,0.14726591188398727,20.0,0.08143663522879335,3.0,-0.29868168282709406,0.08914374728167053,6.0,-3.333023702930168e-05,0.08901166119601568,0.003935933197690034,-40.0,60.0,0.02714554507626445,0.012405464233184853,-0.07078255652403871,-0.06463740114572092,24,True,False,True
2020-07-31,2019-02-01,2020-07-31,378,0.12678927654672317,20.0,0.08047306180011456,3.0,-0.2998363752984991,0.0188982199674428,6.0,-3.333023702930168e-05,0.08901166119601568,0.003935933197690034,-40.0,60.0,0.026824353933371518,0.0001,-0.0688957751047358,-0.06287091040699078,24,True,False,True
2020-08-31,2019-03-01,2020-08-31,380,0.15116065349257013,20.0,0.08019377078205005,3.0,-0.29954980368288064,0.008923347116072398,5.968421052631579,-3.333023702930168e-05,0.08901166119601568,0.003935933197690034,-40.0,60.0,0.026731256927350015,0.0001,-0.06124641510208579,-0.055674985609795336,24,True,False,True
