ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
MSFT,2019-09-05,137.63,138.0,29,0.0197,3.525,4.520317518765253,0.9953175187652534,0.1848,27.3625
MSFT,2019-09-12,136.12,136.0,29,0.0195,3.6,4.6524015149217846,1.0524015149217845,0.2526,27.2265
MSFT,2019-09-19,138.52,139.0,36,0.0192999999999999,4.275,5.0842440246017055,0.8092440246017052,0.1878,34.0262
MSFT,2019-09-26,139.36,139.0,29,0.0183,4.625,4.857289918901483,0.23228991890148265,0.313,24.7973
MSFT,2019-10-03,134.65,135.0,29,0.017,4.8,3.9187453281224336,-0.8812546718775662,0.2232,27.3966
MSFT,2019-10-10,138.24,138.0,29,0.0168,4.45,4.258662983997498,-0.1913370160025023,0.2498,26.9687
MSFT,2019-10-17,140.41,140.0,29,0.0166,4.125,4.506890813126902,0.3818908131269021,0.2237,27.3032
MSFT,2019-10-24,137.24,137.0,29,0.0167,4.075,4.120451011758172,0.04545101175817212,0.2767,26.0562
MSFT,2019-10-31,144.61,145.0,29,0.0154,2.39,4.424499708553337,2.0344997085533367,0.2315,26.8635
MSFT,2019-11-07,144.06,144.0,29,0.0156,2.43,4.55344905860602,2.12344905860602,0.2095,27.0887
MSFT,2019-11-14,147.31,147.0,29,0.0157,2.55,4.7736103924194975,2.2236103924194976,0.2411,26.3949
MSFT,2019-11-21,149.62,150.0,29,0.0158,2.81,4.5641081760397775,1.7541081760397774,0.178,27.8097
MSFT,2019-11-29,152.32,152.5,28,0.0159,2.615,4.556284885572616,1.9412848855726157,0.1819,26.3619
MSFT,2019-12-06,149.93,150.0,28,0.0153,2.895,4.049374959965134,1.1543749599651343,0.2296,26.5256
MSFT,2019-12-13,153.24,152.5,28,0.0157,3.3,4.411927851618036,1.1119278516180362,0.2392,25.9075
MSFT,2019-12-20,155.71,155.0,28,0.0158,3.07,4.600687184491886,1.5306871844918866,0.2331,26.3385
MSFT,2019-12-30,158.96,160.0,32,0.0157,3.675,4.216190443634757,0.5411904436347568,0.1842,30.6114
MSFT,2020-01-07,159.03,160.0,31,0.0154,3.8,3.9000515485481317,0.10005154854813192,0.2233,29.3235
MSFT,2020-01-14,163.28,162.5,31,0.0157,4.65,4.919310246448455,0.26931024644845447,0.2425,28.7156
MSFT,2020-01-22,166.5,167.5,30,0.0155,3.975,4.093471031751131,0.1184710317511306,0.2109,28.6012
MSFT,2020-01-29,165.46,165.0,30,0.0156,4.775,4.624371906617623,-0.1506280933823776,0.2564,28.0118
MSFT,2020-02-05,180.12,180.0,30,0.0157,4.45,6.355458154133115,1.9054581541331146,0.2311,27.8499
MSFT,2020-02-12,184.44,185.0,30,0.0158,5.875,6.347398752213651,0.4723987522136506,0.1994,28.0257
MSFT,2020-02-20,187.28,187.5,36,0.0158,5.45,7.023363132392924,1.5733631323929238,0.2431,33.3953
MSFT,2020-02-27,170.17,170.0,29,0.0144999999999999,7.0,6.024707953488196,-0.9752920465118038,0.1926,26.8457
MSFT,2020-03-05,170.55,170.0,29,0.0062,7.425,11.950551226664851,4.525551226664851,0.2877,25.9405
MSFT,2020-03-12,153.63,152.5,28,0.0033,11.325,10.83222909649529,-0.4927709035047094,0.3429,23.7467
MSFT,2020-03-19,140.4,140.0,29,0.0004,14.05,9.849283024335717,-4.2007169756642835,0.2751,26.0046
MSFT,2020-03-26,146.92,147.0,29,0.0,10.275,10.151890619397511,-0.12310938060248944,0.2889,25.2097
MSFT,2020-04-02,152.11,152.5,29,0.0009,9.7,15.747305841714319,6.047305841714319,0.453,22.5733
MSFT,2020-04-09,165.13,165.0,29,0.0025,7.95,18.094867787459847,10.144867787459848,0.3662,23.7221
MSFT,2020-04-17,177.04,177.5,35,0.0012,8.85,21.120232959583433,12.270232959583433,0.45,30.0877
MSFT,2020-04-24,171.42,172.5,28,0.0012,7.775,18.21243463554475,10.437434635544749,0.2954,25.798
