ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
AAPL,2008-08-07,164.19,165.0,43,0.0166,8.675,10.52409538698364,1.84909538698364,0.1903,40.3168
AAPL,2008-08-14,179.3,180.0,36,0.0189,8.575,10.685151594781594,2.1101515947815948,0.1927,34.1879
AAPL,2008-08-21,175.84,175.0,29,0.0172,7.525,9.88468702031209,2.359687020312089,0.1938,27.0561
AAPL,2008-08-28,174.67,175.0,22,0.0174,5.55,7.914601849700264,2.3646018497002643,0.1693,20.8016
AAPL,2008-09-05,161.22,160.0,42,0.0168,10.6,10.456541912978064,-0.1434580870219353,0.2322,39.1265
AAPL,2008-09-12,152.65,155.0,35,0.0149,7.6,7.59300110215241,-0.006998897847589447,0.1552,33.7892
AAPL,2008-09-19,134.09,135.0,28,0.0098999999999999,7.975,5.8613125644902135,-2.113687435509786,0.1197,27.0332
AAPL,2008-09-26,131.93,130.0,21,0.0087,8.825,6.0268922969164604,-2.798107703083539,0.1869,20.2176
AAPL,2008-10-03,100.1,100.0,14,0.0051,7.85,5.732396976768327,-2.1176030232316725,0.1941,12.9287
AAPL,2008-10-10,88.74,90.0,42,0.0025,12.725,7.891977545857211,-4.833022454142789,0.1886,39.6304
AAPL,2008-10-21,98.44,100.0,31,0.011,8.975,7.4442809500881895,-1.5307190499118102,0.2317,28.7378
AAPL,2008-10-28,92.09,90.0,24,0.0077,8.225,7.920542798961737,-0.3044572010382627,0.1972,22.3319
AAPL,2008-11-04,106.96,105.0,17,0.0048,7.475,8.894411315511757,1.4194113155117574,0.2536,15.6627
AAPL,2008-11-11,95.88,95.0,38,0.0029,9.7,11.144006349272397,1.4440063492723976,0.2188,35.2125
AAPL,2008-11-18,88.14,90.0,31,0.0012,7.7,7.874025838761884,0.17402583876188427,0.1689,29.4699
AAPL,2008-11-25,92.95,95.0,24,0.001,6.35,7.195158015282379,0.8451580152823794,0.1921,22.7987
AAPL,2008-12-03,92.47,90.0,16,0.0002,7.575,8.420495167489051,0.8454951674890507,0.2214,14.7777
AAPL,2008-12-10,100.06,100.0,37,0.0,8.85,11.659815304601052,2.8098153046010523,0.2311,34.4397
AAPL,2008-12-17,95.43,95.0,30,0.0005,7.175,10.174380552610105,2.9993805526101047,0.2164,27.5866
AAPL,2008-12-24,86.38,85.0,23,0.0,5.775,8.473109615516773,2.6981096155167723,0.2573,21.6738
AAPL,2009-01-02,85.35,85.0,14,0.0008,4.525,4.558728491583125,0.03372849158312441,0.1317,13.4775
AAPL,2009-01-09,92.7,95.0,42,0.0007,6.75,8.233842031192857,1.4838420311928573,0.1893,39.9457
AAPL,2009-01-16,83.38,85.0,35,0.0012,5.825,7.032405856318679,1.2074058563186787,0.1344,33.8604
AAPL,2009-01-26,88.36,90.0,25,0.0014,3.45,5.679782459856285,2.2297824598562848,0.2392,23.5596
AAPL,2009-02-02,90.13,90.0,18,0.0027,3.825,4.3504747296713875,0.5254747296713873,0.2396,16.661
AAPL,2009-02-09,99.72,100.0,39,0.0032,6.025,7.416374282840842,1.3913742828408413,0.2548,36.4824
AAPL,2009-02-17,99.16,100.0,31,0.0032,5.25,6.068217897547702,0.8182178975477017,0.2317,29.2094
AAPL,2009-02-24,86.95,85.0,24,0.0032,6.075,6.000280485347271,-0.0747195146527293,0.2865,21.908
AAPL,2009-03-03,87.94,90.0,17,0.0027,3.625,4.111636298295027,0.48663629829502675,0.1472,16.0718
AAPL,2009-03-10,83.11,85.0,38,0.0024,5.55,6.1146671990202215,0.5646671990202217,0.1592,36.6179
AAPL,2009-03-17,95.42,95.0,31,0.0024,5.85,7.347207449461895,1.4972074494618957,0.2047,28.4263
AAPL,2009-03-24,107.66,110.0,24,0.0021,3.975,6.184642901684552,2.209642901684552,0.1847,22.8837
AAPL,2009-03-31,104.49,105.0,17,0.0021,4.075,5.0436971827759,0.9686971827758999,0.185,16.0802
AAPL,2009-04-07,118.45,120.0,38,0.002,7.4,9.276337114071676,1.876337114071676,0.208,36.07
AAPL,2009-04-15,118.31,120.0,30,0.0015,6.45,7.702076333661856,1.2520763336618561,0.2245,28.4842
AAPL,2009-04-22,121.76,120.0,23,0.0014,7.2,8.472150192056594,1.2721501920565936,0.1946,21.8371
AAPL,2009-04-29,123.902,125.0,16,0.0011,3.55,5.471279966834008,1.9212799668340086,0.1275,15.333
AAPL,2009-05-06,132.71,135.0,44,0.0019,6.025,8.335244263596145,2.310244263596145,0.2015,41.764
AAPL,2009-05-13,124.42,125.0,37,0.0017,6.65,7.753850272414146,1.103850272414146,0.2222,35.2735
AAPL,2009-05-20,127.45,125.0,30,0.0018,6.675,8.652866480331646,1.9778664803316461,0.2176,27.8607
AAPL,2009-05-28,133.05,135.0,22,0.0015,4.1,5.5697220344139,1.4697220344139001,0.1526,21.3071
AAPL,2009-06-04,140.95,140.0,43,0.0014,8.55,9.73369140653738,1.1836914065373794,0.1906,39.8127
AAPL,2009-06-11,140.25,140.0,36,0.0019,6.925,8.383805888506183,1.4588058885061832,0.2502,33.5016
AAPL,2009-06-18,135.58,135.0,29,0.0018,6.6,7.563666381818411,0.9636663818184115,0.1811,27.4993
AAPL,2009-06-25,136.22,135.0,22,0.0018,5.425,6.844895715565969,1.4198957155659695,0.2182,20.5167
AAPL,2009-07-02,142.83,145.0,15,0.0017,2.51,3.953016627998864,1.443016627998864,0.1082,14.6708
AAPL,2009-07-10,136.36,135.0,42,0.0018,8.225,9.988164268720531,1.7631642687205318,0.2284,39.7101
AAPL,2009-07-17,147.52,150.0,35,0.0017,5.575,7.863673293282068,2.288673293282068,0.2039,33.719
AAPL,2009-07-24,157.82,160.0,28,0.0018,3.825,7.092157772991755,3.267157772991755,0.1763,27.4799
AAPL,2009-07-31,162.79,165.0,21,0.0018,3.325,4.523237052277688,1.1982370522776877,0.1519,20.1334
