ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
AAPL,2019-09-06,213.28,212.5,28,0.0196,6.525,8.905196125047278,2.380196125047277,0.1505,26.7146
AAPL,2019-09-13,223.085,222.5,28,0.0196,6.35,9.158891492490215,2.808891492490215,0.2417,25.7804
AAPL,2019-09-20,220.96,220.0,28,0.0191,6.35,9.78526527197331,3.4352652719733108,0.0509,27.7416
AAPL,2019-09-27,219.89,220.0,28,0.018,6.05,9.018138552842306,2.968138552842306,0.1704,27.5485
AAPL,2019-10-04,220.82,220.0,28,0.0171,8.45,9.408247083555876,0.958247083555877,0.1892,27.1045
AAPL,2019-10-11,230.09,230.0,28,0.0168,7.875,9.019935673183994,1.1449356731839941,0.1981,26.8216
AAPL,2019-10-18,235.28,235.0,28,0.0166,6.875,9.432487398579775,2.5574873985797755,0.1894,26.5001
AAPL,2019-10-25,243.58,242.5,28,0.0166,7.5,10.058315756735738,2.5583157567357375,0.1811,26.2797
AAPL,2019-11-01,248.76,250.0,28,0.0152,4.75,8.900520271582078,4.150520271582078,0.1999,26.2759
AAPL,2019-11-08,259.43,260.0,28,0.0155,4.95,9.527381964395113,4.577381964395113,0.1149,26.4855
AAPL,2019-11-15,262.64,262.5,28,0.0157,5.9,10.108258915955998,4.208258915955998,0.2609,26.1597
AAPL,2019-11-22,262.01,262.5,28,0.0158,6.725,9.92649381989688,3.2014938198968803,0.1632,27.2967
AAPL,2019-12-02,267.25,267.5,32,0.016,6.7,11.28675208228689,4.58675208228689,0.1874,30.96
AAPL,2019-12-09,270.71,270.0,32,0.0154,7.45,11.959169566665793,4.5091695666657925,0.2168,30.1554
AAPL,2019-12-16,275.15,275.0,32,0.0157,6.725,11.33183519482012,4.606835194820121,0.183,29.9442
AAPL,2019-12-23,279.44,280.0,32,0.0159,6.25,11.891061636682933,5.641061636682933,0.1496,31.2473
AAPL,2019-12-31,291.52,292.5,31,0.0155,9.825,11.287030381177479,1.4620303811774793,0.1979,28.7246
AAPL,2020-01-08,298.39,297.5,30,0.0154,10.95,12.479117183253146,1.5291171832531472,0.2113,28.4037
AAPL,2020-01-15,312.68,312.5,30,0.0157,12.7,12.24013491640096,-0.45986508359903944,0.2193,27.4331
AAPL,2020-01-23,317.7,317.5,29,0.0155,10.35,12.45278888514926,2.102788885149261,0.2539,26.7955
AAPL,2020-01-30,324.34,325.0,29,0.0157,8.625,12.236122636369322,3.6111226363693216,0.1655,27.169
AAPL,2020-02-06,321.45,322.5,29,0.0157,8.45,12.10979375604669,3.6597937560466907,0.1847,27.4726
AAPL,2020-02-13,327.2,327.5,29,0.0159,9.05,13.464336476371816,4.414336476371815,0.1181,28.03
AAPL,2020-02-21,320.3,320.0,28,0.0156,9.075,12.457941812770317,3.3829418127703175,0.1427,26.7316
AAPL,2020-02-28,273.52,272.5,28,0.0127,14.575,11.455758030573532,-3.119241969426467,0.1587,27.3515
AAPL,2020-03-06,292.92,292.5,28,0.0045,15.675,17.958363654365307,2.2833636543653064,0.0136,27.8822
AAPL,2020-03-13,248.23,247.5,21,0.0028,20.475,13.14378395584809,-7.331216044151912,0.0014,20.9948
AAPL,2020-03-20,244.78,245.0,28,0.0005,21.0,14.305662649572024,-6.6943373504279755,0.0863,27.7778
AAPL,2020-03-27,258.44,257.5,28,0.0003,17.425,15.933353607124422,-1.4916463928755785,0.0841,27.7584
AAPL,2020-04-03,244.93,245.0,28,0.001,15.875,17.931772743564192,2.056772743564192,0.2127,25.9414
AAPL,2020-04-13,267.99,267.5,25,0.0026,12.675,19.70564783127285,7.030647831272848,0.2374,22.5325
AAPL,2020-04-20,282.8,282.5,32,0.0012,14.05,22.323418643538833,8.273418643538832,0.1808,28.9407
AAPL,2020-04-27,282.97,282.5,32,0.0012,12.725,23.15357601041394,10.42857601041394,0.158,29.5483
AAPL,2020-05-04,289.07,290.0,32,0.0013,11.525,15.418328200225147,3.893328200225147,0.1877,29.9392
AAPL,2020-05-11,310.13,310.0,32,0.0012,10.575,16.837196007991768,6.2621960079917685,0.1998,29.6574
AAPL,2020-05-18,307.71,307.5,25,0.0013,10.7,14.780668381087969,4.080668381087969,0.1616,23.7446
