ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
MSFT,2019-09-05,137.63,138.0,29,0.0197,3.525,5.201683115496934,1.676683115496934,0.0226,28.9293
MSFT,2019-09-12,136.12,136.0,29,0.0195,3.6,5.457622059008036,1.8576220590080363,0.0471,28.7419
MSFT,2019-09-19,138.52,139.0,36,0.0192999999999999,4.275,5.877088096361437,1.6020880963614363,0.0714,35.5855
MSFT,2019-09-26,139.36,139.0,29,0.0183,4.625,5.572166945994486,0.9471669459944856,0.0896,28.6577
MSFT,2019-10-03,134.65,135.0,29,0.017,4.8,5.038118219308899,0.2381182193088991,0.055,28.7007
MSFT,2019-10-10,138.24,138.0,29,0.0168,4.45,5.537370794399163,1.0873707943991624,0.0908,28.6177
MSFT,2019-10-17,140.41,140.0,29,0.0166,4.125,5.6213998464781545,1.4963998464781545,0.1394,28.3946
MSFT,2019-10-24,137.24,137.0,29,0.0167,4.075,5.408588441188458,1.333588441188458,0.1404,28.3074
MSFT,2019-10-31,144.61,145.0,29,0.0154,2.39,3.9474422067294372,1.5574422067294371,0.1017,28.1976
MSFT,2019-11-07,144.06,144.0,29,0.0156,2.43,3.914657672963041,1.4846576729630407,0.1113,28.1043
MSFT,2019-11-14,147.31,147.0,29,0.0157,2.55,4.413962180226347,1.8639621802263475,0.1678,28.2162
MSFT,2019-11-21,149.62,150.0,29,0.0158,2.81,3.9700498814267484,1.1600498814267484,0.1158,28.7672
MSFT,2019-11-29,152.32,152.5,28,0.0159,2.615,4.080079089879681,1.4650790898796808,0.1504,27.3006
MSFT,2019-12-06,149.93,150.0,28,0.0153,2.895,3.9118502451304376,1.0168502451304375,0.1377,27.0597
MSFT,2019-12-13,153.24,152.5,28,0.0157,3.3,4.455620994475603,1.155620994475603,0.164,27.1265
MSFT,2019-12-20,155.71,155.0,28,0.0158,3.07,4.620374390200996,1.550374390200996,0.1247,27.21
MSFT,2019-12-30,158.96,160.0,32,0.0157,3.675,4.104338155275441,0.42933815527544095,0.0961,31.0474
MSFT,2020-01-07,159.03,160.0,31,0.0154,3.8,4.751668336849744,0.9516683368497443,0.0933,30.5069
MSFT,2020-01-14,163.28,162.5,31,0.0157,4.65,5.8859628895074625,1.2359628895074621,0.0634,30.6717
MSFT,2020-01-22,166.5,167.5,30,0.0155,3.975,5.066782568453948,1.0917825684539477,0.0053,29.9623
MSFT,2020-01-29,165.46,165.0,30,0.0156,4.775,5.669809524641475,0.8948095246414747,0.1146,29.6418
MSFT,2020-02-05,180.12,180.0,30,0.0157,4.45,6.188760191219533,1.7387601912195327,0.2015,28.101
MSFT,2020-02-12,184.44,185.0,30,0.0158,5.875,6.287598004172072,0.4125980041720716,0.1341,29.0177
MSFT,2020-02-20,187.28,187.5,36,0.0158,5.45,6.776333047032467,1.3263330470324668,0.1348,35.1085
MSFT,2020-02-27,170.17,170.0,29,0.0144999999999999,7.0,5.791244327505881,-1.208755672494119,0.1721,26.9398
MSFT,2020-03-05,170.55,170.0,29,0.0062,7.425,8.351164467606592,0.9261644676065925,0.0855,28.5398
MSFT,2020-03-12,153.63,152.5,28,0.0033,11.325,7.75068231590222,-3.574317684097779,0.1292,27.0988
MSFT,2020-03-19,140.4,140.0,29,0.0004,14.05,6.81878783041899,-7.231212169581011,0.0905,28.8962
MSFT,2020-03-26,146.92,147.0,29,0.0,10.275,6.8051250039765625,-3.469874996023438,0.1503,28.4787
MSFT,2020-04-02,152.11,152.5,29,0.0009,9.7,11.777604419376555,2.0776044193765557,0.0568,28.7822
MSFT,2020-04-09,165.13,165.0,29,0.0025,7.95,13.143745252020498,5.193745252020498,0.0022,28.9717
MSFT,2020-04-17,177.04,177.5,35,0.0012,8.85,14.575608055767804,5.725608055767804,0.1564,32.7415
MSFT,2020-04-24,171.42,172.5,28,0.0012,7.775,12.814027400531446,5.039027400531445,0.0815,27.439
MSFT,2020-05-01,179.21,180.0,28,0.0012,5.35,9.489859538048371,4.139859538048372,0.1114,27.0158
MSFT,2020-05-08,183.6,182.5,28,0.0012,6.525,10.766751328549699,4.241751328549698,0.1309,27.0015
MSFT,2020-05-15,180.53,180.0,28,0.0012,6.775,10.306669030568955,3.5316690305689544,0.232,26.9952
MSFT,2020-05-22,183.43,182.5,28,0.0012,6.4,10.539857671671577,4.139857671671576,0.123,26.6767
MSFT,2020-06-01,183.25,182.5,31,0.0014,6.475,9.191580145706425,2.716580145706425,0.008,30.9093
MSFT,2020-06-08,187.2,187.5,32,0.0017,4.75,8.854626000587174,4.104626000587174,0.1345,31.1461
MSFT,2020-06-15,187.74,187.5,25,0.0018,7.35,7.7404179612113895,0.39041796121138983,0.1048,24.081
MSFT,2020-06-22,195.15,195.0,32,0.0016,8.375,9.445768321630508,1.0707683216305082,0.1233,30.9406
MSFT,2020-06-29,196.33,197.5,32,0.0014,8.125,8.62484218169547,0.49984218169547034,0.1869,30.625
MSFT,2020-07-07,210.7,210.0,31,0.0015,8.425,12.226930158668845,3.801930158668844,0.0943,30.1713
MSFT,2020-07-14,207.07,207.5,31,0.0015,9.875,11.462619940441941,1.5876199404419413,0.095,30.6175
MSFT,2020-07-21,211.6,212.5,31,0.0013,8.425,11.421908702245968,2.9969087022459675,0.0671,30.7734
MSFT,2020-07-28,203.85,205.0,31,0.0011,6.4,10.599619889671859,4.199619889671858,0.0779,30.9045
MSFT,2020-08-04,216.54,217.5,31,0.0009,8.2,9.664450211201922,1.4644502112019229,0.1402,29.6855
MSFT,2020-08-11,208.25,207.5,31,0.0011,8.425,10.059672393137376,1.6346723931373752,0.1606,29.5446
MSFT,2020-08-18,210.28,210.0,31,0.0009,7.175,9.917016528514706,2.7420165285147062,0.1449,29.894
MSFT,2020-08-25,213.69,212.5,31,0.0011,8.2,10.77010262315968,2.5701026231596806,0.1197,30.2847
