ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
AMZN,2019-09-06,1840.72,1840.0,28,0.0196,46.75,81.60043033772695,34.85043033772695,0.178,26.629
AMZN,2019-09-13,1843.55,1842.5,21,0.0196,36.225,69.4745295214157,33.2495295214157,0.2535,19.3195
AMZN,2019-09-20,1821.5,1822.5,35,0.0191,61.45,89.17505574889735,27.725055748897347,0.2084,32.7954
AMZN,2019-09-27,1739.84,1740.0,28,0.018,57.75,76.6086536521107,18.858653652110704,0.2283,26.0823
AMZN,2019-10-04,1724.42,1725.0,28,0.0171,61.075,90.40788208882938,29.33288208882938,0.2273,26.234
AMZN,2019-10-11,1720.26,1720.0,28,0.0168,58.4,90.81141351119497,32.41141351119497,0.2554,25.3881
AMZN,2019-10-18,1787.48,1787.5,35,0.0166,58.675,106.04457764977465,47.369577649774655,0.219,32.3139
AMZN,2019-10-28,1761.33,1762.5,32,0.0165,43.875,99.24876637452995,55.37376637452995,0.2328,29.98
AMZN,2019-11-04,1791.44,1792.5,32,0.0153,40.675,86.13277254980817,45.45777254980817,0.2558,29.5293
AMZN,2019-11-11,1785.88,1785.0,25,0.0155,34.95,77.15019261673498,42.20019261673498,0.195,23.3324
AMZN,2019-11-18,1739.49,1740.0,32,0.0157,38.75,85.88051894039498,47.13051894039498,0.2325,30.0568
AMZN,2019-11-25,1745.72,1745.0,25,0.0161,36.65,75.65192332203748,39.00192332203748,0.2398,23.0502
AMZN,2019-12-03,1781.6,1782.5,31,0.0157,42.85,84.5124392595926,41.662439259592595,0.2474,28.9784
AMZN,2019-12-10,1749.51,1750.0,31,0.0156,42.775,83.08008310838181,40.305083108381815,0.2117,28.6084
AMZN,2019-12-17,1769.21,1770.0,31,0.0156,37.025,83.74420312286108,46.71920312286108,0.1899,29.0694
AMZN,2019-12-24,1793.0,1792.5,31,0.0158,38.075,85.40566291927499,47.330662919274985,0.2544,28.8884
AMZN,2020-01-02,1847.84,1847.5,8,0.0154,25.175,44.57394439017065,19.39894439017065,0.0921,7.8008
AMZN,2020-01-09,1891.97,1892.5,8,0.0154,25.875,44.53207502999421,18.65707502999421,0.0886,7.8638
AMZN,2020-01-16,1862.02,1862.5,29,0.0155,60.125,84.35032949040442,24.22532949040442,0.2452,26.9264
AMZN,2020-01-24,1884.58,1885.0,28,0.0154,58.425,83.63378426893348,25.208784268933485,0.2024,26.0325
AMZN,2020-01-31,1870.68,1870.0,28,0.0155,58.45,75.72893559721098,17.278935597210975,0.2549,26.1347
AMZN,2020-02-07,2050.23,2050.0,28,0.0156,52.0,82.2681425222298,30.268142522229795,0.2793,25.6966
AMZN,2020-02-14,2149.87,2150.0,28,0.0158,60.7,86.88331139537334,26.183311395373337,0.2702,25.6546
AMZN,2020-02-24,2095.97,2095.0,32,0.0153,66.0,90.28921882719479,24.289218827194787,0.2239,29.5223
AMZN,2020-03-02,1883.75,1885.0,18,0.0113,86.65,71.25284824782435,-15.39715175217566,0.1795,17.2139
AMZN,2020-03-09,1901.09,1900.0,31,0.0033,94.975,94.91778224719764,-0.057217752802358746,0.2132,29.2609
AMZN,2020-03-16,1785.0,1785.0,32,0.0024,107.5,89.02130511101242,-18.478694888987576,0.2293,29.9396
AMZN,2020-03-23,1846.09,1845.0,25,0.0002,109.325,81.30420435778895,-28.020795642211056,0.2585,23.1407
AMZN,2020-03-30,1900.1,1900.0,32,0.0012,114.75,93.40381055844801,-21.346189441551985,0.2665,29.3184
AMZN,2020-04-06,1906.59,1905.0,32,0.0015,98.675,106.49754648029413,7.822546480294136,0.2603,29.5853
AMZN,2020-04-14,2168.87,2170.0,31,0.002,106.225,116.46760326429433,10.242603264294331,0.1925,29.0372
AMZN,2020-04-21,2393.61,2395.0,59,0.0011,167.825,175.04832136177168,7.223321361771696,0.276,53.554
AMZN,2020-04-28,2376.0,2375.0,31,0.0011,122.975,129.1316360248879,6.156636024887916,0.2682,28.4664
AMZN,2020-05-05,2315.99,2315.0,31,0.0013,96.2,120.02427478255592,23.824274782555918,0.2083,29.9684
AMZN,2020-05-12,2409.0,2410.0,31,0.0013,78.05,123.04569259584262,44.99569259584263,0.2641,28.6213
AMZN,2020-05-19,2426.26,2425.0,31,0.0013,77.45,125.09448551443084,47.64448551443084,0.2556,28.5534
AMZN,2020-05-27,2421.86,2420.0,30,0.0015,80.3,122.31555258173155,42.015552581731555,0.2617,27.2314
AMZN,2020-06-03,2472.41,2470.0,29,0.0016,75.15,87.02067708791535,11.87067708791534,0.248,26.8041
AMZN,2020-06-10,2600.86,2600.0,30,0.0017,90.425,93.10152892558254,2.676528925582545,0.2688,27.3837
AMZN,2020-06-17,2615.27,2615.0,23,0.0017,83.35,82.65411682339357,-0.6958831766064293,0.2918,21.2526
AMZN,2020-06-24,2764.41,2760.0,30,0.0015,115.975,100.71004848631337,-15.264951513686626,0.2739,27.5139
AMZN,2020-07-01,2758.82,2760.0,30,0.0014,126.575,99.5998106825127,-26.975189317487306,0.2459,27.5416
AMZN,2020-07-09,3081.11,3080.0,29,0.0013,164.375,110.99197008643006,-53.38302991356994,0.2569,26.3752
