ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
MSFT,2008-08-06,26.21,26.0,44,0.0163999999999999,1.16,1.2463256155699542,0.08632561556995433,0.3049,40.5492
MSFT,2008-08-13,28.12,28.0,37,0.0185,1.115,1.177992686903953,0.06299268690395299,0.2483,34.3731
MSFT,2008-08-20,27.32,27.0,30,0.0171,1.125,1.1359792539778937,0.010979253977893677,0.2809,27.5969
MSFT,2008-08-27,27.27,27.0,23,0.0167,0.945,0.9713789101787613,0.026378910178761372,0.2787,21.0595
MSFT,2008-09-04,26.9,27.0,43,0.0169,1.12,1.1138055247064025,-0.006194475293597623,0.2136,41.3014
MSFT,2008-09-11,26.44,26.0,36,0.0161,1.355,1.2642813154373311,-0.09071868456266885,0.2768,32.0762
MSFT,2008-09-18,24.57,25.0,29,0.0023,1.23,0.6569390544834031,-0.5730609455165969,0.2118,27.3498
MSFT,2008-09-25,25.72,26.0,22,0.0076,0.94,0.6377724560700316,-0.3022275439299683,0.2478,20.5703
MSFT,2008-10-02,26.48,26.0,15,0.0063,1.31,0.9651854223381492,-0.34481457766185086,0.3348,13.1642
MSFT,2008-10-09,23.01,23.0,43,0.006,2.115,1.0429316416373093,-1.0720683583626909,0.2473,39.6951
MSFT,2008-10-17,24.19,24.0,35,0.0083,2.185,1.09534808242726,-1.0896519175727402,0.2821,31.173
MSFT,2008-10-24,22.32,22.0,28,0.0089,2.03,0.9857186269086858,-1.044281373091314,0.2129,25.6514
MSFT,2008-10-31,22.63,23.0,21,0.0046,1.115,0.6669881088885496,-0.44801189111145034,0.1721,20.1512
MSFT,2008-11-07,20.88,21.0,42,0.0031,1.64,1.0246287540171795,-0.6153712459828204,0.2416,38.535
MSFT,2008-11-14,21.25,21.0,35,0.0015,1.675,1.1124174965606333,-0.5625825034393668,0.3117,31.4094
MSFT,2008-11-21,17.53,17.5,56,0.0002,2.23,1.0525709845193112,-1.1774290154806888,0.2828,51.0565
MSFT,2008-12-01,20.22,20.0,18,0.0007,1.185,0.8480213368020583,-0.3369786631979418,0.3012,16.2724
MSFT,2008-12-08,19.87,20.0,39,0.0003,1.525,1.0153521199909963,-0.5096478800090036,0.2014,36.6834
MSFT,2008-12-15,19.36,19.0,32,0.0003,1.61,1.1238081071435553,-0.4861918928564448,0.2835,29.034
MSFT,2008-12-22,19.12,19.0,25,0.0001,1.075,0.8824768700074533,-0.19252312999254662,0.289,22.4297
MSFT,2008-12-30,18.96,19.0,17,0.001,0.79,0.6639574441777694,-0.12604255582223067,0.1989,15.9368
MSFT,2009-01-07,20.76,21.0,44,0.0011,1.21,1.1584766494797145,-0.05152335052028545,0.2726,40.276
MSFT,2009-01-14,19.82,20.0,37,0.0012,1.185,1.0061425088172018,-0.17885749118279826,0.2356,33.6536
MSFT,2009-01-22,19.38,19.0,29,0.001,1.27,1.1630477996887605,-0.10695220031123953,0.2938,26.4044
MSFT,2009-01-29,18.04,18.0,22,0.0023,0.645,0.8015529045730516,0.1565529045730516,0.2342,20.1491
MSFT,2009-02-05,18.63,19.0,43,0.0029,0.87,1.0265022982267125,0.15650229822671247,0.2489,40.0708
MSFT,2009-02-12,19.21,19.0,36,0.0029,1.16,1.1917738093269952,0.03177380932699525,0.2878,31.8546
MSFT,2009-02-20,17.91,18.0,28,0.0027,0.88,0.8763775282801,-0.0036224717199000445,0.2599,25.4114
MSFT,2009-02-27,16.42,16.0,21,0.0026,1.015,0.9467242695459599,-0.06827573045404,0.314,18.7982
