ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
MSFT,2014-01-08,36.41,36.0,23,0.0005,1.25,1.454376582775383,0.20437658277538295,0.2433,21.1788
MSFT,2014-01-15,35.78,36.0,23,0.0004,0.855,1.0996065836238176,0.2446065836238176,0.0211,22.8471
MSFT,2014-01-23,35.93,36.0,29,0.0004,1.07,1.3692033493870461,0.29920334938704607,0.1556,27.5082
MSFT,2014-01-30,36.66,36.5,29,0.0002,0.975,1.4786799718178132,0.5036799718178132,0.2416,26.8373
MSFT,2014-02-06,35.82,36.0,29,0.0007,0.775,1.3362060854112763,0.5612060854112763,0.0937,28.3761
MSFT,2014-02-13,37.47,37.5,29,0.0003,0.685,1.3703679796948138,0.6853679796948138,0.2507,26.6517
MSFT,2014-02-21,37.75,38.0,28,0.0005,0.645,1.2899762507066077,0.6449762507066077,0.1434,26.4733
MSFT,2014-02-28,37.86,38.0,28,0.0005,0.695,1.3822613765879819,0.6872613765879819,0.1844,26.6347
MSFT,2014-03-07,38.15,38.0,28,0.0006,0.845,1.525599605499316,0.680599605499316,0.2469,26.0926
MSFT,2014-03-14,37.89,38.0,28,0.0005,0.745,1.3762903149675876,0.6312903149675876,0.1618,26.5542
MSFT,2014-03-21,40.33,40.5,35,0.0006,1.065,1.635245473131699,0.570245473131699,0.1877,33.3145
MSFT,2014-03-28,39.36,39.5,28,0.0004,1.02,1.4019459333327327,0.38194593333273263,0.1984,26.2554
MSFT,2014-04-04,41.01,41.0,28,0.0003,1.16,1.6279744300009953,0.46797443000099537,0.0672,27.6317
MSFT,2014-04-11,39.36,39.5,28,0.0004,1.17,1.45968704601,0.28968704601000006,0.1658,26.5208
MSFT,2014-04-21,40.01,40.0,32,0.0004,1.105,1.6407447677787015,0.5357447677787015,0.1912,30.0128
MSFT,2014-04-28,39.91,40.0,32,0.0003,0.79,1.6425092792273834,0.8525092792273834,0.1067,30.5904
MSFT,2014-05-05,39.69,39.5,32,0.0003,0.84,1.7217894775971632,0.8817894775971632,0.2204,29.6156
MSFT,2014-05-12,39.54,39.5,32,0.0003,0.72,1.6440809690122369,0.9240809690122369,0.2766,29.438
MSFT,2014-05-19,39.83,40.0,32,0.0003,0.71,1.5581828607627628,0.8481828607627628,0.1848,30.069
MSFT,2014-05-27,40.12,40.0,31,0.0004,0.795,1.7338750820678943,0.9388750820678943,0.1457,29.5842
MSFT,2014-06-03,40.79,41.0,29,0.0004,0.605,1.4606012754479385,0.8556012754479385,0.1599,27.2408
MSFT,2014-06-10,41.27,41.5,31,0.0004,0.59,1.527852380565738,0.937852380565738,0.1773,29.8257
MSFT,2014-06-17,41.5,41.5,24,0.0004,0.675,1.4721454838901618,0.7971454838901617,0.1803,22.8583
MSFT,2014-06-24,41.99,42.0,31,0.0003,0.92,1.6259791477960557,0.7059791477960556,0.1923,28.4807
MSFT,2014-07-01,41.7,41.5,31,0.0002,1.15,1.7493329330444372,0.5993329330444372,0.207,29.1294
MSFT,2014-07-09,41.78,42.0,30,0.0003,0.92,1.5055975205483658,0.5855975205483658,0.168,28.6061
MSFT,2014-07-16,42.45,42.5,23,0.0002,0.875,1.4334533361534825,0.5584533361534825,0.1431,22.2283
MSFT,2014-07-23,44.83,45.0,30,0.0003,1.185,1.6588555217238146,0.4738555217238145,0.1928,29.0804
MSFT,2014-07-30,43.885,44.0,30,0.0004,0.755,1.6504120669783595,0.8954120669783595,0.1918,28.1117
MSFT,2014-08-06,43.08,43.0,23,0.0003,0.785,1.4904343101035704,0.7054343101035704,0.1968,21.5386
MSFT,2014-08-13,43.52,43.5,30,0.0004,0.795,1.7174269492729537,0.9224269492729537,0.1772,28.3646
MSFT,2014-08-20,45.33,45.5,30,0.0004,0.64,1.6704006243254705,1.0304006243254706,0.1219,28.8419
MSFT,2014-08-27,45.005,45.0,30,0.0004,0.725,1.7317798882283824,1.0067798882283823,0.2122,27.7986
MSFT,2014-09-04,44.96,45.0,29,0.0003,0.74,1.6892004375129706,0.9492004375129706,0.2188,27.7496
MSFT,2014-09-11,46.84,47.0,29,0.0002,0.745,1.6598937899533237,0.9148937899533237,0.1718,27.2194
MSFT,2014-09-18,46.52,46.5,36,0.0002,1.195,1.9625523497763784,0.7675523497763783,0.1963,33.4274
MSFT,2014-09-25,47.08,47.0,29,0.0001,1.085,1.8005194573737762,0.7155194573737762,0.1838,27.2073
MSFT,2014-10-02,45.9,46.0,36,0.0001,1.205,1.9007810597087853,0.6957810597087852,0.2081,33.4741
MSFT,2014-10-09,46.78,47.0,29,0.0001,1.0,1.6491108286098413,0.6491108286098413,0.1842,27.1849
MSFT,2014-10-16,43.22,43.0,29,0.0003,1.525,1.7443740552565792,0.21937405525657927,0.1425,27.3589
MSFT,2014-10-23,44.38,44.5,29,0.0001,1.075,1.6315185265788092,0.5565185265788093,0.1942,27.4566
MSFT,2014-10-30,46.62,46.5,29,0.0001,0.825,1.7904155688994676,0.9654155688994677,0.2013,26.9119
MSFT,2014-11-06,47.86,48.0,29,0.0003,0.71,1.6845842984330461,0.9745842984330462,0.194,27.1855
MSFT,2014-11-13,48.78,49.0,29,0.0002,0.63,1.7275279513637194,1.0975279513637193,0.2046,27.2017
MSFT,2014-11-20,48.22,48.0,29,0.0002,1.09,1.9362061530212544,0.8462061530212543,0.1517,27.3064
