ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
SPY,2014-01-10,184.034274,184.0,28,0.0005,2.12,2.885087515257076,0.765087515257076,0.2724,26.0614
SPY,2014-01-17,183.697407,183.5,28,0.0005,2.25,2.9373112906376475,0.6873112906376475,0.2371,25.8482
SPY,2014-01-27,178.028708,178.0,32,0.0005,3.08,2.973068716141951,-0.10693128385804895,0.2471,29.7525
SPY,2014-02-03,174.09729,174.0,32,0.0005,3.76,2.8953178261618153,-0.8646821738381845,0.2725,29.7933
SPY,2014-02-10,180.029848,180.0,32,0.0007,2.75,2.9283529014192875,0.1783529014192875,0.2714,29.5367
SPY,2014-02-18,184.270058,184.5,24,0.0005,1.94,2.4663045937720782,0.5263045937720783,0.249,21.8237
SPY,2014-02-25,184.775684,185.0,31,0.0005,2.31,2.8244946740970116,0.5144946740970116,0.2371,28.4059
SPY,2014-03-04,187.72152,187.5,31,0.0005,2.33,3.133131921488393,0.8031319214883927,0.266,28.5092
SPY,2014-03-11,187.194039,187.0,31,0.0005,2.33,3.1280979703211145,0.7980979703211144,0.2645,28.4612
SPY,2014-03-18,187.73373,187.5,24,0.0005,1.98,2.7994184365526356,0.8194184365526356,0.2872,21.6875
SPY,2014-03-25,186.269224,186.5,31,0.0005,2.5,2.928495447218498,0.4284954472184981,0.2695,28.0757
SPY,2014-04-01,188.316685,188.5,31,0.0004,2.38,2.992482558013183,0.6124825580131832,0.2314,29.5395
SPY,2014-04-08,185.066742,185.0,31,0.0003,2.87,3.036505531334468,0.16650553133446788,0.2746,28.9004
SPY,2014-04-15,184.203993,184.0,32,0.0004,3.22,3.1257879851013,-0.09421201489870024,0.2908,28.8829
SPY,2014-04-23,187.473354,187.5,30,0.0002,2.62,2.9594178471576233,0.33941784715762324,0.2474,27.7992
SPY,2014-04-30,188.35254,188.5,30,0.0003,2.41,2.950266589520669,0.5402665895206686,0.27,27.8241
SPY,2014-05-07,187.886821,188.0,30,0.0003,2.5,2.975924828098131,0.47592482809813097,0.3097,27.4336
SPY,2014-05-14,189.084826,189.0,30,0.0003,2.34,3.072057243023033,0.732057243023033,0.2741,27.1802
SPY,2014-05-21,189.113585,189.0,31,0.0004,2.2,3.1843683969575847,0.9843683969575845,0.2763,28.1952
SPY,2014-05-29,192.382646,192.5,29,0.0004,1.75,2.951878892770138,1.201878892770138,0.2716,26.3082
SPY,2014-06-05,194.492433,194.5,28,0.0004,1.75,2.931470860080194,1.1814708600801942,0.2647,26.1526
SPY,2014-06-12,193.57314,193.5,29,0.0004,1.81,2.945500436469317,1.135500436469317,0.2737,26.3625
SPY,2014-06-19,196.535916,196.5,36,0.0002,1.6,3.3197532288734872,1.7197532288734871,0.2815,33.0188
SPY,2014-06-26,195.426696,195.5,29,0.0004,1.96,2.963187677076337,1.0031876770763368,0.2612,26.7944
SPY,2014-07-03,198.305847,198.5,29,0.0001,1.64,2.8746073764066136,1.2346073764066137,0.2599,27.3438
SPY,2014-07-11,196.615496,196.5,28,0.0002,2.21,2.9031575401508722,0.6931575401508723,0.2811,25.561
SPY,2014-07-18,197.719586,197.5,35,0.0002,2.5,3.3014176280500833,0.8014176280500833,0.278,31.5957
SPY,2014-07-25,197.744036,197.5,28,0.0003,2.33,2.956428106534708,0.6264281065347079,0.2856,25.4436
SPY,2014-08-01,192.49763,192.5,28,0.0003,3.05,2.7054134970962243,-0.34458650290377557,0.2649,25.3481
SPY,2014-08-08,193.263618,193.5,28,0.0003,2.63,2.58728108485201,-0.04271891514799009,0.2273,26.1923
SPY,2014-08-15,195.727915,195.5,28,0.0003,2.5,2.892337182083144,0.39233718208314405,0.2673,26.016
SPY,2014-08-22,199.147596,199.0,29,0.0003,2.12,2.980891082861801,0.860891082861801,0.2571,26.8507
SPY,2014-08-29,200.72639,200.0,28,0.0003,2.16,3.2575227531753392,1.097522753175339,0.2735,25.3488
SPY,2014-09-08,200.631279,200.5,32,0.0002,1.94,3.0335461903807213,1.0935461903807213,0.293,29.2052
SPY,2014-09-15,198.977082,199.0,33,0.0002,2.27,2.997389125214781,0.7273891252147808,0.2392,30.6457
SPY,2014-09-22,199.087455,199.0,32,0.0001,2.67,3.0378953949019945,0.3678953949019945,0.2931,29.5002
SPY,2014-09-29,197.516384,197.5,32,0.0002,3.04,2.9749983699300446,-0.06500163006995541,0.2649,30.01
SPY,2014-10-06,196.27112,196.5,32,0.0002,2.96,2.9076319633977805,-0.05236803660221945,0.2661,29.7634
SPY,2014-10-13,187.380937,187.5,32,0.0001,4.58,2.8192616496387797,-1.7607383503612204,0.2526,29.6741
SPY,2014-10-20,190.325776,190.5,33,0.0002,3.69,2.884217450796121,-0.805782549203879,0.2387,30.9045
SPY,2014-10-27,196.103723,196.0,32,0.0002,3.42,3.03809541483477,-0.38190458516523007,0.2758,29.8352
SPY,2014-11-03,201.744762,201.5,32,0.0002,3.2,3.230959129425192,0.030959129425191634,0.2993,28.7569
SPY,2014-11-10,203.965709,204.0,32,0.0002,2.55,3.1914478978792,0.6414478978792002,0.2761,29.2373
SPY,2014-11-17,204.377756,204.5,25,0.0003,2.26,2.7641985162481326,0.5041985162481328,0.2554,23.3122
SPY,2014-11-24,207.271353,207.5,32,0.0002,1.98,3.1323467267605016,1.1523467267605016,0.2533,29.6763
SPY,2014-12-02,207.090256,207.0,29,0.0003,2.15,3.111088445182134,0.961088445182134,0.2586,26.8155
SPY,2014-12-09,206.506174,206.5,31,0.0004,2.29,3.1716732547682214,0.8816732547682213,0.2667,28.7179
SPY,2014-12-16,197.893925,198.0,32,0.0003,3.9,3.066188774520742,-0.8338112254792578,0.2603,29.4635
SPY,2014-12-23,207.762161,208.0,31,0.0003,2.98,3.1030701096491273,0.12307010964912735,0.225,29.4743
SPY,2014-12-31,205.503394,205.5,30,0.0004,3.65,3.0542652380100788,-0.5957347619899211,0.307,27.2565
