ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
MSFT,2019-09-05,137.63,138.0,29,0.0197,3.525,4.704891401057239,1.179891401057239,0.1765,27.239
MSFT,2019-09-12,136.12,136.0,29,0.0195,3.6,4.885434699747126,1.285434699747126,0.2738,27.0634
MSFT,2019-09-19,138.52,139.0,36,0.0192999999999999,4.275,5.363890138912209,1.088890138912209,0.2377,33.4942
MSFT,2019-09-26,139.36,139.0,29,0.0183,4.625,5.208547733806569,0.5835477338065687,0.2908,26.6022
MSFT,2019-10-03,134.65,135.0,29,0.017,4.8,4.3952879370161995,-0.40471206298380036,0.2413,26.8534
MSFT,2019-10-10,138.24,138.0,29,0.0168,4.45,4.759578084675478,0.3095780846754774,0.2677,26.5343
MSFT,2019-10-17,140.41,140.0,29,0.0166,4.125,4.969558590866273,0.8445585908662734,0.2454,26.8318
MSFT,2019-10-24,137.24,137.0,29,0.0167,4.075,4.613108732230882,0.5381087322308815,0.3087,25.6732
MSFT,2019-10-31,144.61,145.0,29,0.0154,2.39,4.71734516050112,2.3273451605011197,0.2652,26.7646
MSFT,2019-11-07,144.06,144.0,29,0.0156,2.43,4.7564986766629245,2.3264986766629243,0.2566,26.7163
MSFT,2019-11-14,147.31,147.0,29,0.0157,2.55,5.06792679844747,2.51792679844747,0.2527,26.3532
MSFT,2019-11-21,149.62,150.0,29,0.0158,2.81,4.757353511626786,1.9473535116267864,0.2399,26.9932
MSFT,2019-11-29,152.32,152.5,28,0.0159,2.615,4.753883647607456,2.1388836476074555,0.212,25.6853
MSFT,2019-12-06,149.93,150.0,28,0.0153,2.895,4.861337959706496,1.9663379597064963,0.2484,25.9458
MSFT,2019-12-13,153.24,152.5,28,0.0157,3.3,5.299334584194094,1.9993345841940942,0.2786,25.1775
MSFT,2019-12-20,155.71,155.0,28,0.0158,3.07,5.509357715180039,2.4393577151800394,0.2661,26.0595
MSFT,2019-12-30,158.96,160.0,32,0.0157,3.675,5.160501293108044,1.4855012931080438,0.205,30.7451
MSFT,2020-01-07,159.03,160.0,31,0.0154,3.8,4.899248366909283,1.0992483669092827,0.2622,28.975
MSFT,2020-01-14,163.28,162.5,31,0.0157,4.65,5.984190661670555,1.3341906616705543,0.2413,28.8455
MSFT,2020-01-22,166.5,167.5,30,0.0155,3.975,5.180671113194417,1.2056711131944167,0.2455,28.0488
MSFT,2020-01-29,165.46,165.0,30,0.0156,4.775,5.5616841528153165,0.7866841528153161,0.2698,27.3274
MSFT,2020-02-05,180.12,180.0,30,0.0157,4.45,6.038484787459935,1.5884847874599348,0.2161,27.9915
MSFT,2020-02-12,184.44,185.0,30,0.0158,5.875,6.050368855095336,0.17536885509533562,0.1926,28.4439
MSFT,2020-02-20,187.28,187.5,36,0.0158,5.45,6.657231283192882,1.2072312831928818,0.2466,33.3458
MSFT,2020-02-27,170.17,170.0,29,0.0144999999999999,7.0,5.661660608441419,-1.3383393915585806,0.2195,26.6603
MSFT,2020-03-05,170.55,170.0,29,0.0062,7.425,6.17762494674175,-1.2473750532582502,0.2539,27.2655
MSFT,2020-03-12,153.63,152.5,28,0.0033,11.325,5.805910634055549,-5.51908936594445,0.2297,25.9211
MSFT,2020-03-19,140.4,140.0,29,0.0004,14.05,4.954744812873123,-9.095255187126877,0.2843,26.4111
MSFT,2020-03-26,146.92,147.0,29,0.0,10.275,5.044932076121345,-5.230067923878655,0.2507,26.5586
MSFT,2020-04-02,152.11,152.5,29,0.0009,9.7,7.289983749225828,-2.410016250774171,0.2427,26.7126
MSFT,2020-04-09,165.13,165.0,29,0.0025,7.95,8.09797631851391,0.14797631851390936,0.2735,26.4997
