ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
MSFT,2008-08-06,26.21,26.0,44,0.0163999999999999,1.16,1.357606804737021,0.19760680473702097,0.2961,40.546
MSFT,2008-08-13,28.12,28.0,37,0.0185,1.115,1.280298354830057,0.16529835483005706,0.2488,34.0202
MSFT,2008-08-20,27.32,27.0,30,0.0171,1.125,1.2382425479498558,0.11324254794985578,0.2584,28.1479
MSFT,2008-08-27,27.27,27.0,23,0.0167,0.945,1.0520702066976853,0.1070702066976853,0.2761,21.1123
MSFT,2008-09-04,26.9,27.0,43,0.0169,1.12,1.219832943966537,0.09983294396653686,0.2098,41.283
MSFT,2008-09-11,26.44,26.0,36,0.0161,1.355,1.3645370332757847,0.009537033275784701,0.266,32.5262
MSFT,2008-09-18,24.57,25.0,29,0.0023,1.23,0.7393119970049558,-0.4906880029950442,0.2126,27.4104
MSFT,2008-09-25,25.72,26.0,22,0.0076,0.94,0.7119324403760108,-0.22806755962398917,0.2537,20.5691
MSFT,2008-10-02,26.48,26.0,15,0.0063,1.31,1.0391043325269302,-0.2708956674730698,0.3238,13.2515
MSFT,2008-10-09,23.01,23.0,43,0.006,2.115,1.1587959885593762,-0.9562040114406241,0.2464,40.071
MSFT,2008-10-17,24.19,24.0,35,0.0083,2.185,1.2022033952113649,-0.9827966047886352,0.2777,31.1803
MSFT,2008-10-24,22.32,22.0,28,0.0089,2.03,1.074868789096124,-0.9551312109038759,0.2079,25.8273
MSFT,2008-10-31,22.63,23.0,21,0.0046,1.115,0.8039350179249537,-0.3110649820750463,0.1693,20.0467
MSFT,2008-11-07,20.88,21.0,42,0.0031,1.64,1.1965183777475432,-0.4434816222524567,0.2598,37.7406
MSFT,2008-11-14,21.25,21.0,35,0.0015,1.675,1.273841309066138,-0.401158690933862,0.3139,31.1727
MSFT,2008-11-21,17.53,17.5,56,0.0002,2.23,1.2439932694056517,-0.9860067305943483,0.2612,52.0695
MSFT,2008-12-01,20.22,20.0,18,0.0007,1.185,0.9679916689588536,-0.21700833104114647,0.3061,16.0893
MSFT,2008-12-08,19.87,20.0,39,0.0003,1.525,1.2040886861229083,-0.3209113138770916,0.2117,36.7893
MSFT,2008-12-15,19.36,19.0,32,0.0003,1.61,1.2762363230722804,-0.3337636769277197,0.3003,28.6708
MSFT,2008-12-22,19.12,19.0,25,0.0001,1.075,1.0188864369638566,-0.056113563036143344,0.2868,22.4952
MSFT,2008-12-30,18.96,19.0,17,0.001,0.79,0.7710051096987579,-0.01899489030124213,0.2081,15.708
MSFT,2009-01-07,20.76,21.0,44,0.0011,1.21,1.360756314479454,0.15075631447945415,0.2674,40.593
MSFT,2009-01-14,19.82,20.0,37,0.0012,1.185,1.179471080749394,-0.005528919250606057,0.2178,33.9652
MSFT,2009-01-22,19.38,19.0,29,0.001,1.27,1.3085579094669775,0.03855790946697746,0.2966,26.3478
MSFT,2009-01-29,18.04,18.0,22,0.0023,0.645,0.9251053562431458,0.2801053562431458,0.2197,20.2455
MSFT,2009-02-05,18.63,19.0,43,0.0029,0.87,1.2037864221264165,0.3337864221264165,0.2573,39.6708
MSFT,2009-02-12,19.21,19.0,36,0.0029,1.16,1.3701330203402589,0.21013302034025894,0.2733,32.3098
MSFT,2009-02-20,17.91,18.0,28,0.0027,0.88,1.0128861020920037,0.1328861020920037,0.2504,25.3768
MSFT,2009-02-27,16.42,16.0,21,0.0026,1.015,1.053361983300107,0.038361983300107205,0.3142,18.8466
MSFT,2009-03-06,15.27,15.0,42,0.0021,1.205,1.2492070721355484,0.04420707213554831,0.3021,37.6439
MSFT,2009-03-13,17.01,17.0,7,0.002,0.505,0.5195680000807109,0.014568000080710908,0.1933,6.5893
MSFT,2009-03-20,17.14,17.5,28,0.0022,0.695,0.8727492785659079,0.17774927856590794,0.1919,26.6507
MSFT,2009-03-27,18.83,19.0,21,0.0014,0.685,0.900437235234507,0.21543723523450697,0.2089,19.6487
MSFT,2009-04-03,19.29,19.0,42,0.0021,1.48,1.6062535692404347,0.12625356924043474,0.2829,37.8974
MSFT,2009-04-13,19.67,20.0,32,0.0018,0.965,1.1558696040860654,0.19086960408606546,0.1786,30.1186
MSFT,2009-04-20,19.2,19.0,25,0.0014,1.01,1.201433738099438,0.19143373809943798,0.2607,22.827
MSFT,2009-04-27,20.91,21.0,18,0.0013,0.655,0.9893800461737453,0.3343800461737453,0.2191,16.6424
MSFT,2009-05-04,20.24,20.0,46,0.0019,1.135,1.7352628762961015,0.6002628762961015,0.2574,41.3045
MSFT,2009-05-11,19.42,19.0,39,0.0019,1.055,1.620748981678132,0.565748981678132,0.277,35.2437
MSFT,2009-05-18,20.22,20.0,32,0.0019,0.81,1.4758737143109055,0.6658737143109055,0.2591,29.0078
MSFT,2009-05-26,19.75,20.0,24,0.0018,0.575,1.0302074311630032,0.4552074311630032,0.2293,22.1776
MSFT,2009-06-02,21.4,21.0,17,0.0014,0.78,1.2382358405859981,0.4582358405859981,0.2936,15.2039
MSFT,2009-06-09,22.05,22.0,38,0.0019,0.935,1.6225477132246016,0.6875477132246015,0.2185,34.5617
MSFT,2009-06-16,23.42,23.0,31,0.0017,1.15,1.7164099401838946,0.5664099401838947,0.2931,27.5445
MSFT,2009-06-23,23.28,23.0,24,0.002,0.935,1.49128319693411,0.55628319693411,0.2744,21.6704
MSFT,2009-06-30,23.86,24.0,17,0.0019,0.6,1.1077133617148764,0.5077133617148765,0.1631,15.9076
MSFT,2009-07-08,22.53,23.0,44,0.0018,0.92,1.573543798188221,0.653543798188221,0.245,40.4883
MSFT,2009-07-15,23.11,23.0,37,0.0018,0.99,1.713338679919891,0.7233386799198911,0.2573,33.1767
MSFT,2009-07-22,24.83,25.0,30,0.0019,0.795,1.5376078714774988,0.7426078714774987,0.2316,28.2238
MSFT,2009-07-29,23.47,23.0,23,0.0019,0.955,1.572864226714274,0.6178642267142741,0.295,20.6071
