ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
AAPL,2018-10-01,225.74,225.0,32,0.0223,7.675,8.052623502682733,0.3776235026827335,0.2033,30.2622
AAPL,2018-10-08,224.29,225.0,32,0.0223,7.65,7.249030473724141,-0.40096952627585924,0.1957,30.281
AAPL,2018-10-15,222.11,222.5,25,0.0231,7.85,6.564749636621791,-1.2852503633782089,0.2163,23.7025
AAPL,2018-10-22,219.31,220.0,32,0.0233999999999999,7.925,7.208164576948358,-0.7168354230516414,0.2031,30.2589
AAPL,2018-10-29,216.3,217.5,32,0.0233999999999999,8.85,7.011300610872678,-1.8386993891273216,0.1641,31.4779
AAPL,2018-11-05,207.48,207.5,32,0.0236,6.975,7.302344452624708,0.32734445262470846,0.2222,29.599
AAPL,2018-11-12,204.47,205.0,32,0.0236,6.725,7.234417854666244,0.5094178546662445,0.1817,30.4424
AAPL,2018-11-19,193.53,192.5,25,0.0237999999999999,6.925,6.755639349448087,-0.16936065055191296,0.1799,23.672
AAPL,2018-11-27,174.62,175.0,31,0.0241,6.525,6.262306663978458,-0.26269333602154266,0.1537,30.0899
AAPL,2018-12-04,184.82,185.0,31,0.0242,5.4,8.017058582949945,2.6170585829499444,0.1616,29.1292
AAPL,2018-12-11,169.6,170.0,31,0.0241,6.625,7.322085336227794,0.6970853362277936,0.1913,29.3203
AAPL,2018-12-18,163.94,165.0,30,0.0239,6.625,6.47663849177232,-0.1483615082276799,0.1771,28.336
AAPL,2018-12-26,146.83,147.0,23,0.0243999999999999,7.2,5.652859890191814,-1.5471401098081863,0.1367,22.3752
AAPL,2019-01-03,157.92,157.5,29,0.0241,7.5,8.76373921123954,1.2637392112395407,0.1067,28.5393
AAPL,2019-01-10,153.31,152.5,29,0.0243,6.5,8.39636347970163,1.8963634797016304,0.1724,27.1231
AAPL,2019-01-17,154.94,155.0,29,0.0242,5.325,8.365091776697827,3.0400917766978273,0.1935,26.8922
AAPL,2019-01-25,152.7,152.5,28,0.0239,5.525,8.06461917309148,2.539619173091479,0.2075,26.0325
AAPL,2019-02-01,166.44,167.5,28,0.024,3.8,10.076272534079603,6.276272534079603,0.2078,26.8532
AAPL,2019-02-08,170.94,170.0,28,0.0243,4.7,10.825186982785663,6.125186982785663,0.1959,26.0141
AAPL,2019-02-15,170.8,170.0,28,0.0243,4.85,11.22777724692074,6.37777724692074,0.2566,26.3189
AAPL,2019-02-25,172.97,172.5,32,0.0247,4.75,11.69927282053743,6.949272820537431,0.1208,30.4072
AAPL,2019-03-04,174.97,175.0,31,0.0246,4.275,7.260315110176491,2.985315110176491,0.1705,29.8716
AAPL,2019-03-11,172.91,172.5,32,0.0246,5.0,7.738579098796655,2.738579098796655,0.2679,29.8583
AAPL,2019-03-18,186.12,185.0,31,0.0243999999999999,5.35,8.267020757759733,2.917020757759733,0.1893,29.757
AAPL,2019-03-25,191.05,190.0,32,0.0246,6.65,8.677298778342669,2.0272987783426686,0.1449,30.6902
AAPL,2019-04-01,189.95,190.0,32,0.0243,6.725,8.929029322308761,2.2040293223087613,0.1669,30.2731
AAPL,2019-04-08,197.0,197.5,32,0.0243,6.525,9.077407266664466,2.5524072666644653,0.1757,30.4385
AAPL,2019-04-15,198.87,200.0,32,0.0243,6.2,8.611651434776734,2.4116514347767337,0.2356,30.3168
AAPL,2019-04-23,204.53,205.0,31,0.0245,6.125,9.37295887159974,3.2479588715997405,0.0401,30.4638
AAPL,2019-04-30,204.61,205.0,31,0.0243,6.15,8.423815260986615,2.2738152609866145,0.1892,30.1237
AAPL,2019-05-07,208.48,207.5,31,0.0243,5.65,9.428652791173672,3.7786527911736716,0.1636,29.6827
AAPL,2019-05-14,185.72,185.0,31,0.0241,7.525,8.099526475222074,0.5745264752220738,0.2469,28.9508
AAPL,2019-05-21,183.09,182.5,31,0.0239,7.125,7.8969911131669175,0.7719911131669175,0.1604,29.6846
AAPL,2019-05-29,178.23,177.5,30,0.0237,6.7,7.7993697004229645,1.0993697004229643,0.138,28.9894
AAPL,2019-06-05,179.64,180.0,30,0.0235,5.9,8.380625095922131,2.4806250959221305,0.2004,28.5958
AAPL,2019-06-12,194.81,195.0,30,0.0224,6.325,9.526711637132097,3.201711637132097,0.162,28.562
AAPL,2019-06-19,198.45,197.5,23,0.0218,5.725,8.79575465925117,3.07075465925117,0.0684,22.6786
AAPL,2019-06-26,195.57,195.0,30,0.0215,6.3,9.917659897772548,3.6176598977725485,0.1494,28.8673
AAPL,2019-07-03,202.73,202.5,30,0.0220999999999999,6.75,9.837094831953891,3.087094831953891,0.1894,28.4276
AAPL,2019-07-11,203.23,202.5,29,0.0217,6.65,10.018570745104364,3.368570745104364,0.1437,27.9952
AAPL,2019-07-18,203.35,202.5,36,0.0204999999999999,6.875,11.144177343042186,4.269177343042186,0.2235,33.4323
AAPL,2019-07-25,208.67,207.5,29,0.021,6.625,10.34582911632768,3.72082911632768,0.1877,28.3647
