ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
MSFT,2019-09-05,137.63,138.0,29,0.0197,3.525,0.35414608762946287,-3.170853912370537,0.1286,28.7211
MSFT,2019-09-12,136.12,136.0,29,0.0195,3.6,0.6130621696338824,-2.986937830366118,0.0008,28.9787
MSFT,2019-09-19,138.52,139.0,36,0.0192999999999999,4.275,0.40461448805646066,-3.8703855119435397,0.0027,35.9597
MSFT,2019-09-26,139.36,139.0,29,0.0183,4.625,0.7673897664421758,-3.857610233557824,0.0008,28.9954
MSFT,2019-10-03,134.65,135.0,29,0.017,4.8,1.4241591074931494,-3.3758408925068504,0.0089,28.977
MSFT,2019-10-10,138.24,138.0,29,0.0168,4.45,1.1444226551348147,-3.3055773448651857,0.0608,28.9083
MSFT,2019-10-17,140.41,140.0,29,0.0166,4.125,1.3141594262034946,-2.810840573796505,0.0415,28.9375
MSFT,2019-10-24,137.24,137.0,29,0.0167,4.075,1.3108693435833,-2.7641306564167003,0.0003,28.9971
MSFT,2019-10-31,144.61,145.0,29,0.0154,2.39,0.2280225472050531,-2.161977452794947,0.0216,28.8766
MSFT,2019-11-07,144.06,144.0,29,0.0156,2.43,0.4907731777035679,-1.9392268222964324,0.1996,28.8001
MSFT,2019-11-14,147.31,147.0,29,0.0157,2.55,0.6710004401823617,-1.878999559817638,0.0276,28.9664
MSFT,2019-11-21,149.62,150.0,29,0.0158,2.81,0.27059610719334537,-2.5394038928066545,0.0101,28.9819
MSFT,2019-11-29,152.32,152.5,28,0.0159,2.615,0.364071627517389,-2.250928372482611,0.0005,27.9993
MSFT,2019-12-06,149.93,150.0,28,0.0153,2.895,0.3525163988127639,-2.5424836011872363,0.0003,27.9965
MSFT,2019-12-13,153.24,152.5,28,0.0157,3.3,1.0218626070951875,-2.2781373929048123,0.0008,27.9992
MSFT,2019-12-20,155.71,155.0,28,0.0158,3.07,0.9939792442494865,-2.0760207557505135,0.0,28.0
MSFT,2019-12-30,158.96,160.0,32,0.0157,3.675,0.053629460964388864,-3.621370539035611,0.0006,31.9924
MSFT,2020-01-07,159.03,160.0,31,0.0154,3.8,0.07228121935292814,-3.7277187806470717,0.0198,30.9391
MSFT,2020-01-14,163.28,162.5,31,0.0157,4.65,1.1135076427610033,-3.536492357238997,0.0001,30.9995
MSFT,2020-01-22,166.5,167.5,30,0.0155,3.975,0.07016445760973353,-3.9048355423902668,0.0117,29.9538
MSFT,2020-01-29,165.46,165.0,30,0.0156,4.775,0.8252732829611527,-3.949726717038848,0.0005,29.9982
MSFT,2020-02-05,180.12,180.0,30,0.0157,4.45,0.6042023259669359,-3.845797674033064,0.0,30.0
MSFT,2020-02-12,184.44,185.0,30,0.0158,5.875,0.2259689296132706,-5.649031070386729,0.0679,29.833
MSFT,2020-02-20,187.28,187.5,36,0.0158,5.45,0.4598856707859839,-4.990114329214016,0.0038,35.9962
MSFT,2020-02-27,170.17,170.0,29,0.0144999999999999,7.0,0.5543939520194924,-6.445606047980507,0.0002,28.9996
MSFT,2020-03-05,170.55,170.0,29,0.0062,7.425,0.6767194847730227,-6.748280515226977,0.0,29.0
