ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
AAPL,2014-01-10,536.519,537.5,28,0.0005,18.975,17.365954390953426,-1.609045609046575,0.2,26.1086
AAPL,2014-01-17,554.25,555.0,28,0.0005,18.275,18.203306027583885,-0.07169397241611364,0.1701,26.5053
AAPL,2014-01-27,546.07,545.0,32,0.0005,21.025,20.517732527069196,-0.5072674729308027,0.2827,29.7465
AAPL,2014-02-03,500.6,500.0,31,0.0005,12.775,23.626514512980204,10.851514512980204,0.2335,28.2895
AAPL,2014-02-10,519.68,520.0,32,0.0007,14.15,24.12275341081983,9.972753410819829,0.2445,29.3796
AAPL,2014-02-18,543.99,545.0,31,0.0005,13.3,24.324620692047546,11.024620692047545,0.2636,28.2252
AAPL,2014-02-25,527.55,527.5,31,0.0005,12.75,24.464953622782993,11.714953622782993,0.237,28.6326
AAPL,2014-03-04,527.76,527.5,31,0.0005,12.925,20.75691111617391,7.8319111161739094,0.2376,27.8147
AAPL,2014-03-11,530.92,530.0,31,0.0005,11.95,22.1667111930182,10.216711193018202,0.2924,28.0996
AAPL,2014-03-18,526.74,527.5,24,0.0005,9.825,18.10978156513881,8.284781565138811,0.2726,22.1039
AAPL,2014-03-25,539.19,540.0,31,0.0005,13.375,21.337056351463804,7.962056351463804,0.2386,28.2727
AAPL,2014-04-01,536.74,537.5,31,0.0004,15.575,18.034885007684455,2.4598850076844556,0.235,28.5172
AAPL,2014-04-08,523.47,522.5,31,0.0003,17.125,18.255584027185424,1.1305840271854244,0.2046,29.3046
AAPL,2014-04-15,521.68,522.5,24,0.0004,14.2,15.594684649275651,1.3946846492756517,0.2136,22.7824
AAPL,2014-04-23,531.699,532.5,30,0.0002,12.525,17.295667509618553,4.770667509618553,0.2798,27.334
AAPL,2014-04-30,592.33,592.5,9,0.0003,7.175,10.979182516008969,3.804182516008969,0.1721,8.4887
AAPL,2014-05-07,594.41,595.0,30,0.0003,11.525,19.90407063550425,8.37907063550425,0.247,27.9448
AAPL,2014-05-14,593.76,595.0,30,0.0003,11.525,19.048662170126615,7.523662170126615,0.2689,27.7193
AAPL,2014-05-21,604.71,605.0,30,0.0004,13.15,20.140235340313204,6.990235340313204,0.2453,27.8884
AAPL,2014-05-29,624.01,625.0,29,0.0004,14.7,20.412453196700117,5.7124531967001175,0.2583,26.9062
AAPL,2014-06-05,644.82,645.0,36,0.0004,17.9,21.480713991926645,3.580713991926647,0.2707,32.8195
AAPL,2014-06-12,93.86,93.93,29,0.0004,2.085,2.8261193180105963,0.7411193180105964,0.2226,27.0366
AAPL,2014-06-19,92.18,92.14,29,0.0002,2.075,2.913402115403291,0.8384021154032908,0.2418,27.1811
AAPL,2014-06-26,90.36,90.36,29,0.0004,2.725,2.7102827153726508,-0.014717284627349336,0.2716,26.57
AAPL,2014-07-03,93.48,93.57,22,0.0001,2.51,2.3000292863045777,-0.20997071369542208,0.2474,20.1719
AAPL,2014-07-11,95.035,95.0,28,0.0002,2.88,2.7034980576177694,-0.1765019423822305,0.2467,26.5039
AAPL,2014-07-18,93.0899,93.0,35,0.0002,3.25,2.9870156319721013,-0.2629843680278987,0.2926,31.6374
AAPL,2014-07-25,97.03,97.0,28,0.0003,1.915,2.7257992982672086,0.8107992982672085,0.264,25.686
AAPL,2014-08-01,95.6,95.71,14,0.0003,1.6,1.9067536128900406,0.30675361289004055,0.1883,13.1563
AAPL,2014-08-08,94.48,94.29,7,0.0003,1.36,1.4785011855813575,0.11850118558135736,0.1213,6.8534
AAPL,2014-08-15,97.5,97.5,35,0.0003,2.815,3.122657162959614,0.3076571629596141,0.2539,31.8101
AAPL,2014-08-22,100.58,100.71,56,0.0003,3.65,4.059924903405066,0.40992490340506604,0.2591,50.5653
AAPL,2014-08-29,102.25,102.14,49,0.0003,3.6,3.9679805678822895,0.3679805678822894,0.2672,44.4716
AAPL,2014-09-08,98.97,99.0,32,0.0002,3.375,2.8303680974198957,-0.5446319025801043,0.2873,29.4508
AAPL,2014-09-15,101.66,101.43,32,0.0002,3.175,2.9917323091288277,-0.18326769087117212,0.2789,28.8696
AAPL,2014-09-22,100.96,101.0,32,0.0001,3.275,2.9240987184720093,-0.3509012815279906,0.2827,29.0041
AAPL,2014-09-29,100.75,100.71,18,0.0002,1.975,2.199955110141616,0.22495511014161584,0.2234,16.5134
AAPL,2014-10-06,99.62,99.29,11,0.0002,1.885,1.9335992029439557,0.0485992029439557,0.1149,10.726
AAPL,2014-10-13,100.73,101.0,32,0.0001,3.275,2.9017346935479735,-0.3732653064520264,0.2794,29.5174
AAPL,2014-10-20,97.67,97.5,32,0.0002,3.25,3.0946136937698276,-0.15538630623017236,0.2841,29.3854
AAPL,2014-10-27,105.22,105.0,32,0.0002,2.415,3.3429640207275493,0.9279640207275492,0.1843,29.785
AAPL,2014-11-03,108.0,108.0,32,0.0002,2.205,3.220635701585874,1.015635701585874,0.288,29.0457
AAPL,2014-11-10,109.01,109.0,32,0.0002,2.525,3.304253665402856,0.7792536654028561,0.2701,29.3967
AAPL,2014-11-17,114.18,114.29,60,0.0003,3.925,4.6597282097407335,0.7347282097407337,0.2892,55.4194
AAPL,2014-11-24,116.47,116.43,53,0.0002,4.25,4.522283948732606,0.2722839487326061,0.2859,48.8439
AAPL,2014-12-02,115.07,115.0,31,0.0003,3.525,3.2812087955404525,-0.24379120445954738,0.2758,28.6862
AAPL,2014-12-09,112.4,112.14,38,0.0004,3.9,3.6634373591891753,-0.23656264081082456,0.2257,35.9995
AAPL,2014-12-16,108.225,108.0,24,0.0003,3.575,2.780135746647163,-0.7948642533528374,0.3012,21.741
AAPL,2014-12-23,112.94,113.0,31,0.0003,3.675,3.053337473948497,-0.621662526051503,0.2505,28.1153
AAPL,2014-12-31,112.52,112.86,16,0.0004,2.125,2.1678992817242966,0.04289928172429658,0.2184,15.0334
