ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
AAPL,2018-10-01,225.74,225.0,32,0.0223,7.675,7.875169062624604,0.200169062624604,0.2198,29.9369
AAPL,2018-10-08,224.29,225.0,32,0.0223,7.65,7.203183819020984,-0.44681618097901676,0.2054,30.2511
AAPL,2018-10-15,222.11,222.5,25,0.0231,7.85,6.464129044417796,-1.3858709555822033,0.2325,23.6814
AAPL,2018-10-22,219.31,220.0,32,0.0233999999999999,7.925,7.065000818843307,-0.8599991811566925,0.2241,29.729
AAPL,2018-10-29,216.3,217.5,32,0.0233999999999999,8.85,6.9327288669091445,-1.9172711330908552,0.1559,31.4647
AAPL,2018-11-05,207.48,207.5,32,0.0236,6.975,10.300800092107636,3.3258000921076363,0.1999,28.7742
AAPL,2018-11-12,204.47,205.0,32,0.0236,6.725,10.086711350937478,3.361711350937478,0.2186,28.5085
AAPL,2018-11-19,193.53,192.5,25,0.0237999999999999,6.925,9.09282580100509,2.1678258010050895,0.2025,22.5485
AAPL,2018-11-27,174.62,175.0,31,0.0241,6.525,8.693824109264986,2.1688241092649854,0.2011,28.1538
AAPL,2018-12-04,184.82,185.0,31,0.0242,5.4,8.382383150734587,2.982383150734586,0.1432,29.1899
AAPL,2018-12-11,169.6,170.0,31,0.0241,6.625,7.621249193538365,0.9962491935383646,0.2239,29.0773
AAPL,2018-12-18,163.94,165.0,30,0.0239,6.625,6.778444649506645,0.15344464950664527,0.1809,27.5513
AAPL,2018-12-26,146.83,147.0,23,0.0243999999999999,7.2,5.703318017858219,-1.496681982141781,0.1862,21.5739
AAPL,2019-01-03,157.92,157.5,29,0.0241,7.5,10.145577850414538,2.645577850414538,0.1543,27.0362
AAPL,2019-01-10,153.31,152.5,29,0.0243,6.5,9.81477701453777,3.3147770145377695,0.4408,26.3082
AAPL,2019-01-17,154.94,155.0,29,0.0242,5.325,9.858966079234955,4.533966079234955,0.1993,26.9012
AAPL,2019-01-25,152.7,152.5,28,0.0239,5.525,9.525029485429927,4.000029485429927,0.268,24.7903
AAPL,2019-02-01,166.44,167.5,28,0.024,3.8,9.207845087501626,5.407845087501626,0.2374,26.1412
AAPL,2019-02-08,170.94,170.0,28,0.0243,4.7,10.049183857131352,5.349183857131352,0.2377,25.2991
AAPL,2019-02-15,170.8,170.0,28,0.0243,4.85,10.345787859826451,5.495787859826452,0.275,25.6416
AAPL,2019-02-25,172.97,172.5,32,0.0247,4.75,10.77493539727141,6.02493539727141,0.1746,29.4837
AAPL,2019-03-04,174.97,175.0,31,0.0246,4.275,6.928492190654093,2.6534921906540925,0.2004,29.3975
AAPL,2019-03-11,172.91,172.5,32,0.0246,5.0,7.3838678927474595,2.3838678927474595,0.2781,29.5636
AAPL,2019-03-18,186.12,185.0,31,0.0243999999999999,5.35,7.875770001431544,2.5257700014315443,0.213,29.3683
AAPL,2019-03-25,191.05,190.0,32,0.0246,6.65,8.309190056161281,1.6591900561612807,0.171,30.4184
AAPL,2019-04-01,189.95,190.0,32,0.0243,6.725,8.435967962119133,1.710967962119133,0.1922,29.9132
AAPL,2019-04-08,197.0,197.5,32,0.0243,6.525,8.68438937893121,2.159389378931209,0.1751,30.7009
AAPL,2019-04-15,198.87,200.0,32,0.0243,6.2,8.071740325434986,1.8717403254349856,0.2532,29.7793
AAPL,2019-04-23,204.53,205.0,31,0.0245,6.125,8.824807864212659,2.6998078642126586,0.0723,30.0081
AAPL,2019-04-30,204.61,205.0,31,0.0243,6.15,7.9599409456909385,1.809940945690938,0.2174,29.6656
AAPL,2019-05-07,208.48,207.5,31,0.0243,5.65,8.89262195286832,3.242621952868319,0.1731,29.3803
AAPL,2019-05-14,185.72,185.0,31,0.0241,7.525,7.637791588754992,0.11279158875499196,0.2609,28.537
AAPL,2019-05-21,183.09,182.5,31,0.0239,7.125,7.414247090317596,0.28924709031759566,0.2066,29.0005
