ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
MSFT,2018-10-05,112.79,113.0,28,0.0223,3.2,3.240924355662345,0.04092435566234487,0.0881,27.3341
MSFT,2018-10-12,105.91,106.0,28,0.0227999999999999,4.15,3.0797376327813843,-1.070262367218616,0.1958,26.686
MSFT,2018-10-19,108.5,108.0,35,0.0231,4.35,4.022990708549631,-0.32700929145036906,0.1438,34.4329
MSFT,2018-10-26,108.3,108.0,28,0.0233,3.525,3.3486089200917717,-0.17639107990822822,0.187,26.429
MSFT,2018-11-02,105.92,106.0,28,0.0233,3.04,4.026880037658266,0.986880037658266,0.1842,25.8035
MSFT,2018-11-09,111.75,112.0,28,0.0236,2.51,3.9850769769843915,1.4750769769843917,0.2284,25.4175
MSFT,2018-11-16,107.28,107.0,28,0.0236,3.9,4.241380830534659,0.3413808305346593,0.2289,25.553
MSFT,2018-11-26,103.07,103.0,32,0.0241,3.875,4.203022239383356,0.3280222393833556,0.2431,29.1229
MSFT,2018-12-03,110.89,111.0,32,0.0237999999999999,3.375,4.711671345356079,1.3366713453560788,0.175,29.684
MSFT,2018-12-10,104.82,105.0,32,0.0241,4.025,4.424609360604526,0.3996093606045257,0.1742,29.9041
MSFT,2018-12-17,106.03,106.0,25,0.024,3.6,3.9902566049051833,0.3902566049051832,0.1582,23.0983
MSFT,2018-12-24,98.23,98.0,31,0.0245,4.375,4.222395191322142,-0.1526048086778582,0.1738,28.8065
MSFT,2019-01-02,101.57,102.0,30,0.0242,4.4,5.5282671395367045,1.128267139536704,0.1608,27.3718
MSFT,2019-01-09,102.8,103.0,30,0.0245,4.15,5.6162435061062945,1.4662435061062942,0.1368,28.0181
MSFT,2019-01-16,105.01,105.0,30,0.0243,3.725,5.695968915585225,1.970968915585225,0.2302,27.4963
MSFT,2019-01-24,106.71,107.0,29,0.0237,3.425,5.769042420772846,2.344042420772846,0.1868,26.9239
MSFT,2019-01-31,106.38,106.0,29,0.0241,3.7,4.698045892898348,0.9980458928983476,0.135,27.1994
MSFT,2019-02-07,106.03,106.0,29,0.0242,2.385,4.56744923958398,2.1824492395839803,0.17,26.8038
MSFT,2019-02-14,106.81,107.0,36,0.0243,2.485,4.987228321302535,2.502228321302535,0.2128,33.9461
MSFT,2019-02-22,109.41,109.0,28,0.0246,2.725,4.8261310665322705,2.1011310665322704,0.2344,25.7897
MSFT,2019-03-01,112.03,112.0,28,0.0243999999999999,2.6,4.075724459403047,1.4757244594030472,0.194,26.4728
MSFT,2019-03-08,110.39,110.0,28,0.0246,2.805,4.235934557721825,1.4309345577218244,0.2392,26.4939
MSFT,2019-03-15,114.59,115.0,28,0.0245,2.015,4.077754756862693,2.062754756862693,0.2107,26.5375
MSFT,2019-03-22,120.22,120.0,27,0.0246,2.76,4.334814791287782,1.574814791287782,0.2766,24.7041
MSFT,2019-03-29,116.93,117.0,28,0.024,2.935,4.319681931417291,1.384681931417291,0.1936,26.5803
MSFT,2019-04-05,119.36,119.0,28,0.0243999999999999,3.475,4.607292563314164,1.1322925633141643,0.2037,26.5585
MSFT,2019-04-12,120.33,120.0,28,0.0243999999999999,3.375,4.709829274693613,1.3348292746936128,0.1622,26.7323
MSFT,2019-04-22,123.37,123.0,31,0.0243999999999999,3.35,5.009328243469877,1.659328243469877,0.211,29.1414
MSFT,2019-04-29,129.89,130.0,32,0.0243999999999999,2.515,5.195997774196714,2.680997774196714,0.178,29.9471
MSFT,2019-05-06,126.21,125.0,24,0.0243999999999999,3.16,4.715029224205232,1.5550292242052315,0.2785,21.9871
MSFT,2019-05-13,127.13,127.0,32,0.0241,3.25,4.862743915585007,1.612743915585007,0.2656,30.2353
MSFT,2019-05-20,128.07,128.0,24,0.0239,3.255,4.094771103194882,0.8397711031948818,0.2394,22.5289
MSFT,2019-05-28,126.18,126.0,9,0.0237,2.465,2.3489310863996455,-0.11606891360035432,0.108,8.8142
MSFT,2019-06-04,119.84,120.0,31,0.0235,3.875,4.462320433489146,0.587320433489146,0.1454,30.045
MSFT,2019-06-11,132.6,133.0,31,0.0227,3.275,4.532630246009021,1.2576302460090214,0.2089,29.0391
MSFT,2019-06-18,132.85,133.0,24,0.0222,2.825,4.160217370780884,1.3352173707808834,0.2042,23.1261
MSFT,2019-06-25,137.78,138.0,31,0.0212,3.8,5.026262608056789,1.226262608056789,0.1713,29.7388
MSFT,2019-07-02,135.68,136.0,31,0.022,3.55,5.271403402870075,1.7214034028700755,0.1865,29.2891
MSFT,2019-07-10,136.46,136.0,30,0.022,3.95,5.576236388027646,1.626236388027646,0.2119,28.0436
MSFT,2019-07-17,137.08,137.0,23,0.0214,3.5,4.662092117341393,1.162092117341393,0.1771,21.8821
MSFT,2019-07-24,139.29,139.0,30,0.021,2.85,5.578948776521336,2.7289487765213356,0.2511,28.1621
MSFT,2019-07-31,140.35,140.0,30,0.0208,2.985,5.085089800067515,2.1000898000675154,0.2631,27.92
MSFT,2019-08-07,134.69,135.0,30,0.0202,3.725,4.504362989945397,0.7793629899453971,0.2368,28.0123
MSFT,2019-08-14,138.6,139.0,30,0.0196,3.275,4.72274733401322,1.4477473340132199,0.179,28.5883
MSFT,2019-08-21,137.26,137.0,30,0.0197,3.9,4.9160527918161945,1.0160527918161946,0.2132,28.2645
MSFT,2019-08-28,135.74,136.0,30,0.0199,3.925,4.769586100297962,0.8445861002979624,0.1363,28.7913
MSFT,2019-09-05,137.63,138.0,29,0.0197,3.525,5.123078312152619,1.598078312152619,0.1923,28.1075
MSFT,2019-09-12,136.12,136.0,29,0.0195,3.6,5.282869437881736,1.682869437881736,0.1821,27.5283
MSFT,2019-09-19,138.52,139.0,36,0.0192999999999999,4.275,5.66592375696979,1.3909237569697899,0.1791,33.9544
MSFT,2019-09-26,139.36,139.0,29,0.0183,4.625,5.489369463634594,0.8643694636345938,0.202,28.05
