ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
SPY,2019-09-05,297.810846,298.0,29,0.0197,3.65,6.694993628221511,3.0449936282215107,0.1955,27.1281
SPY,2019-09-12,301.265478,301.0,29,0.0195,3.67,6.9436826670684795,3.2736826670684795,0.2495,27.1802
SPY,2019-09-19,301.095829,301.0,29,0.0192999999999999,3.47,6.964042202318139,3.494042202318139,0.1656,27.4714
SPY,2019-09-26,296.855946,297.0,29,0.0183,5.02,6.59735738436565,1.5773573843656505,0.3131,24.6748
SPY,2019-10-03,290.3112,290.0,29,0.017,6.4,5.373753648165401,-1.0262463518345992,0.2399,27.3099
SPY,2019-10-10,293.156917,293.0,29,0.0168,5.89,5.294794084117171,-0.5952059158828291,0.239,27.2906
SPY,2019-10-17,299.188886,299.0,29,0.0166,4.42,5.520959521620317,1.1009595216203172,0.2082,27.5361
SPY,2019-10-24,300.450964,300.0,29,0.0167,4.36,5.408020594460893,1.0480205944608922,0.2547,26.5789
SPY,2019-10-31,303.21962,303.0,29,0.0154,4.14,5.41965982081092,1.2796598208109202,0.2514,27.0873
SPY,2019-11-07,308.164379,308.0,29,0.0156,4.07,5.3935338521099245,1.3235338521099242,0.2,27.475
SPY,2019-11-14,309.462203,309.5,15,0.0157,2.56,3.4145543176403446,0.8545543176403445,0.165,14.4638
SPY,2019-11-21,310.307562,310.5,8,0.0158,1.52,2.1785557501269217,0.6585557501269217,0.1219,7.7124
SPY,2019-11-29,314.18715,314.0,31,0.0159,3.69,5.822088271499888,2.1320882714998883,0.1391,29.7829
SPY,2019-12-06,314.827815,315.0,31,0.0153,3.34,5.62544004699612,2.2854400469961202,0.2132,29.4104
SPY,2019-12-13,317.246,317.0,31,0.0157,3.15,5.605862017731966,2.4558620177319663,0.2448,28.7635
SPY,2019-12-20,320.968551,321.0,28,0.0158,3.78,5.4218266338059,1.6418266338058998,0.2008,26.6658
SPY,2019-12-30,321.06748,321.0,30,0.0157,4.9,5.727020181801148,0.8270201818011476,0.2077,28.3981
SPY,2020-01-07,322.775218,323.0,29,0.0154,4.21,5.310929719933429,1.1009297199334291,0.2159,27.4609
SPY,2020-01-14,327.480594,327.5,31,0.0157,4.46,5.823316909360526,1.3633169093605257,0.2481,28.8023
SPY,2020-01-22,331.360904,331.5,9,0.0155,1.96,2.4738226070664133,0.5138226070664134,0.1407,8.6805
SPY,2020-01-29,326.579025,327.0,30,0.0156,5.5,5.381593614349103,-0.11840638565089723,0.2425,28.251
SPY,2020-02-05,332.771338,333.0,30,0.0157,5.23,6.714144440907534,1.4841444409075333,0.2306,27.9723
SPY,2020-02-12,337.421271,337.5,30,0.0158,4.58,7.0479718216394085,2.4679718216394084,0.2012,28.0511
SPY,2020-02-20,337.050099,337.0,29,0.0158,4.85,6.664639950536378,1.8146399505363782,0.1965,27.0419
SPY,2020-02-27,297.846515,298.0,29,0.0144999999999999,10.87,5.977864391771462,-4.892135608228537,0.1956,27.0703
SPY,2020-03-05,302.484089,302.5,29,0.0062,10.82,16.14101542735217,5.321015427352169,0.4363,23.99
SPY,2020-03-12,248.442997,248.0,27,0.0033,18.8,12.731363671784118,-6.068636328215883,0.4397,19.9911
