ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
SPY,2019-09-05,297.810846,298.0,29,0.0197,3.65,6.246031822702387,2.5960318227023875,0.2507,26.7069
SPY,2019-09-12,301.265478,301.0,29,0.0195,3.67,6.588045012679652,2.918045012679652,0.21,27.8169
SPY,2019-09-19,301.095829,301.0,29,0.0192999999999999,3.47,6.744698549565964,3.2746985495659637,0.135,28.0039
SPY,2019-09-26,296.855946,297.0,29,0.0183,5.02,6.261882421846334,1.2418824218463342,0.2255,27.0202
SPY,2019-10-03,290.3112,290.0,29,0.017,6.4,6.333548606955376,-0.06645139304462422,0.2283,27.6288
SPY,2019-10-10,293.156917,293.0,29,0.0168,5.89,6.0443339783563585,0.15433397835635887,0.1892,27.0847
SPY,2019-10-17,299.188886,299.0,29,0.0166,4.42,6.307233132629301,1.8872331326293015,0.1906,27.1654
SPY,2019-10-24,300.450964,300.0,29,0.0167,4.36,6.427604637773239,2.067604637773239,0.2352,27.2203
SPY,2019-10-31,303.21962,303.0,29,0.0154,4.14,6.386550915607048,2.246550915607048,0.2137,27.0201
SPY,2019-11-07,308.164379,308.0,29,0.0156,4.07,6.277597106317061,2.2075971063170607,0.2189,26.8914
SPY,2019-11-14,309.462203,309.5,15,0.0157,2.56,4.475301462840491,1.9153014628404912,0.1717,14.2689
SPY,2019-11-21,310.307562,310.5,8,0.0158,1.52,3.0936482929725715,1.5736482929725715,0.1234,7.7435
SPY,2019-11-29,314.18715,314.0,31,0.0159,3.69,6.863582812518044,3.173582812518044,0.1641,29.2917
SPY,2019-12-06,314.827815,315.0,31,0.0153,3.34,6.645174338464206,3.305174338464206,0.1647,29.5169
SPY,2019-12-13,317.246,317.0,31,0.0157,3.15,6.699816352179861,3.5498163521798607,0.2273,28.8269
SPY,2019-12-20,320.968551,321.0,28,0.0158,3.78,6.5341949421046435,2.7541949421046437,0.2133,26.944
SPY,2019-12-30,321.06748,321.0,30,0.0157,4.9,6.815818178287801,1.9158181782878003,0.1832,28.9161
SPY,2020-01-07,322.775218,323.0,29,0.0154,4.21,6.461175691080976,2.2511756910809764,0.2195,27.1805
SPY,2020-01-14,327.480594,327.5,31,0.0157,4.46,6.917611900146133,2.4576119001461327,0.1927,30.487
SPY,2020-01-22,331.360904,331.5,9,0.0155,1.96,3.5639842264282984,1.6039842264282984,0.0562,8.881
SPY,2020-01-29,326.579025,327.0,30,0.0156,5.5,6.435695030130748,0.9356950301307476,0.2163,28.7231
SPY,2020-02-05,332.771338,333.0,30,0.0157,5.23,6.891739363149469,1.6617393631494686,0.2227,28.6437
SPY,2020-02-12,337.421271,337.5,30,0.0158,4.58,7.322450277562227,2.7424502775622273,0.2342,29.0992
SPY,2020-02-20,337.050099,337.0,29,0.0158,4.85,6.953476953379703,2.1034769533797038,0.2193,27.9214
SPY,2020-02-27,297.846515,298.0,29,0.0144999999999999,10.87,6.046969562591486,-4.823030437408513,0.2381,27.541
SPY,2020-03-05,302.484089,302.5,29,0.0062,10.82,7.086312476330265,-3.733687523669735,0.1907,26.5582
SPY,2020-03-12,248.442997,248.0,27,0.0033,18.8,5.918796854716334,-12.881203145283667,0.1798,24.3728
SPY,2020-03-19,241.461228,241.0,29,0.0004,17.19,5.766066277989167,-11.423933722010833,0.2336,26.1038
SPY,2020-03-26,262.129371,262.0,29,0.0,15.16,6.008421544190052,-9.151578455809947,0.198,26.0714
SPY,2020-04-02,251.948642,252.0,29,0.0009,13.43,19.183410604610106,5.753410604610107,0.1845,26.176
SPY,2020-04-09,278.281151,278.0,29,0.0025,11.78,21.90403328433778,10.124033284337779,0.3777,25.0264
SPY,2020-04-17,286.791561,287.0,31,0.0012,10.7,22.55685268085753,11.856852680857532,0.265,27.2958
SPY,2020-04-24,283.063804,283.0,28,0.0012,9.66,21.564178027417345,11.904178027417345,0.1746,25.6084
SPY,2020-05-01,282.51405,283.0,31,0.0012,10.12,11.427139013428105,1.307139013428106,0.1396,30.5262
SPY,2020-05-08,292.565882,293.0,31,0.0012,7.74,11.699985721331492,3.959985721331492,0.1338,30.1481
SPY,2020-05-15,286.136517,286.0,31,0.0012,8.72,11.620812543145686,2.900812543145685,0.1073,30.5916
SPY,2020-05-22,295.460017,295.5,7,0.0012,3.42,4.9405433700240335,1.5205433700240336,0.0694,6.8893
SPY,2020-06-01,305.556179,306.0,30,0.0014,7.11,12.378155079050874,5.2681550790508735,0.0194,29.8314
SPY,2020-06-08,323.263588,323.0,30,0.0017,6.79,13.720484590278053,6.930484590278053,0.1107,29.5095
SPY,2020-06-15,306.901427,307.0,30,0.0018,9.5,12.610465696691094,3.1104656966910937,0.1255,29.2239
SPY,2020-06-22,310.713541,311.0,30,0.0016,9.14,12.521630083930978,3.381630083930977,0.0989,29.1923
SPY,2020-06-30,309.039162,309.0,29,0.0016,8.06,12.672695555209893,4.612695555209893,0.1354,28.7601
SPY,2020-07-08,316.064452,316.0,30,0.0015,8.55,13.411276931688132,4.861276931688131,0.0622,29.8303
SPY,2020-07-15,321.841313,322.0,30,0.0016,8.32,13.406071663252524,5.086071663252524,0.1353,28.9831
SPY,2020-07-22,326.803591,327.0,30,0.0013,7.08,13.62693512686493,6.5469351268649305,0.1499,29.1044
SPY,2020-07-29,325.080228,325.0,30,0.0011,7.26,13.654707255447747,6.394707255447747,0.152,29.4909
SPY,2020-08-05,332.087104,332.0,30,0.001,6.98,13.88788410094494,6.907884100944939,0.0633,29.5765
SPY,2020-08-12,337.487641,337.0,30,0.0011,6.9,13.853110836428316,6.953110836428316,0.1419,28.8542
SPY,2020-08-19,337.159029,337.0,30,0.0011,6.79,13.413456641380652,6.623456641380652,0.1167,29.3944
SPY,2020-08-26,347.589496,348.0,30,0.0011,6.31,14.143609022551077,7.8336090225510775,0.1445,29.3925
