date,window_start,window_end,n_days,mu,sigma
2019-09-03,2018-03-05,2019-09-03,378,0.05136115058329398,0.15443482332526715
2019-09-30,2018-04-02,2019-09-30,378,0.07959802138718312,0.14905594217040014
2019-10-31,2018-05-01,2019-10-31,380,0.09083054650259503,0.14671418934502906
2019-11-30,2018-05-31,2019-11-29,379,0.09451832208601132,0.14559679473919585
2019-12-31,2018-07-02,2019-12-31,378,0.11465244724177144,0.14522764723034742
2020-01-31,2018-08-01,2020-01-31,378,0.0900791117221645,0.14636906747287146
2020-02-29,2018-08-30,2020-02-28,376,0.009074817363094113,0.15666443087190668
2020-03-31,2018-10-01,2020-03-31,377,-0.08041562385818661,0.272731027796859
2020-04-30,2018-10-31,2020-04-30,376,0.0547908300227558,0.2845493136766408
2020-05-31,2018-12-03,2020-05-29,374,0.0654940459100358,0.2866361421192499
2020-06-30,2018-12-31,2020-06-30,378,0.14726591188398727,0.28559824708056075
2020-07-31,2019-02-01,2020-07-31,378,0.12678927654672317,0.2839411157968848
2020-08-31,2019-03-01,2020-08-31,380,0.15116065349257013,0.283398044827896
