ticker,trading_date,evaluation_timestamp,S_t,K,dte,DTE,expiration,window_end,remaining_horizon,n_steps,r,market,model_price,error,early_ex_frac,mean_ex_day
AAPL,2022-10-10 09:59:00,2022-10-10 09:59:00,141.08416456497736,140.0,32,32,2022-11-11 00:00:00,2022-10-14 15:59:00,384,384,0.0345,7.45,1.4519154378557666,-5.998084562144234,0.491,302.2368
AAPL,2022-10-10 10:59:00,2022-10-10 10:59:00,141.90990902314323,140.0,32,32,2022-11-11 00:00:00,2022-10-14 15:59:00,372,372,0.0345,7.45,2.1201034349599244,-5.329896565040076,0.6598,261.5531
AAPL,2022-10-10 11:59:00,2022-10-10 11:59:00,142.80234744394843,140.0,32,32,2022-11-11 00:00:00,2022-10-14 15:59:00,360,360,0.0345,7.45,2.8895460257930887,-4.5604539742069115,0.856,160.037
AAPL,2022-10-10 12:59:00,2022-10-10 12:59:00,141.90868901163154,140.0,32,32,2022-11-11 00:00:00,2022-10-14 15:59:00,348,348,0.0345,7.45,2.084397109456269,-5.365602890543731,0.6934,223.0902
AAPL,2022-10-10 13:59:00,2022-10-10 13:59:00,143.6257535467168,140.0,32,32,2022-11-11 00:00:00,2022-10-14 15:59:00,336,336,0.0345,7.45,3.700915484638657,-3.7490845153613432,0.9695,157.6118
AAPL,2022-10-10 14:59:00,2022-10-10 14:59:00,143.1378506096646,140.0,32,32,2022-11-11 00:00:00,2022-10-14 15:59:00,324,324,0.0345,7.45,3.1866824696611946,-4.263317530338806,0.9349,92.297
AAPL,2022-10-10 15:59:00,2022-10-10 15:59:00,142.6905130553763,140.0,32,32,2022-11-11 00:00:00,2022-10-14 15:59:00,312,312,0.0345,7.45,2.7728003738142046,-4.6771996261857955,0.8145,142.1246
AAPL,2022-10-11 09:59:00,2022-10-11 09:59:00,141.9749136920094,140.0,31,31,2022-11-11 00:00:00,2022-10-14 15:59:00,306,306,0.0366999999999999,7.525,2.1005313615849928,-5.424468638415007,0.7691,149.3911
AAPL,2022-10-11 10:59:00,2022-10-11 10:59:00,142.16015169864102,140.0,31,31,2022-11-11 00:00:00,2022-10-14 15:59:00,294,294,0.0366999999999999,7.525,2.276815539317764,-5.2481844606822365,0.7914,155.255
AAPL,2022-10-11 11:59:00,2022-10-11 11:59:00,143.5092609555487,140.0,31,31,2022-11-11 00:00:00,2022-10-14 15:59:00,282,282,0.0366999999999999,7.525,3.608476903024539,-3.916523096975461,0.9045,188.4985
AAPL,2022-10-11 12:59:00,2022-10-11 12:59:00,143.91480133761672,140.0,31,31,2022-11-11 00:00:00,2022-10-14 15:59:00,270,270,0.0366999999999999,7.525,3.9881997334123103,-3.53680026658769,0.8843,160.065
AAPL,2022-10-11 13:59:00,2022-10-11 13:59:00,143.5696779875129,140.0,31,31,2022-11-11 00:00:00,2022-10-14 15:59:00,258,258,0.0366999999999999,7.525,3.6530357030804996,-3.8719642969195007,0.9627,196.7332
AAPL,2022-10-11 14:59:00,2022-10-11 14:59:00,141.73978818690304,140.0,31,31,2022-11-11 00:00:00,2022-10-14 15:59:00,246,246,0.0366999999999999,7.525,1.872416167644157,-5.652583832355843,0.6561,142.5387
AAPL,2022-10-11 15:59:00,2022-10-11 15:59:00,142.04647362834606,140.0,31,31,2022-11-11 00:00:00,2022-10-14 15:59:00,234,234,0.0366999999999999,7.525,2.1168430193452212,-5.408156980654779,0.8717,100.3243
AAPL,2022-10-12 09:59:00,2022-10-12 09:59:00,142.89992800008753,139.0,30,30,2022-11-11 00:00:00,2022-10-14 15:59:00,228,228,0.037,7.175,3.9563857157685502,-3.2186142842314496,0.9221,105.6012
AAPL,2022-10-12 10:59:00,2022-10-12 10:59:00,142.42626337749448,139.0,30,30,2022-11-11 00:00:00,2022-10-14 15:59:00,216,216,0.037,7.175,3.4759144462094467,-3.699085553790553,0.9324,99.9427
AAPL,2022-10-12 11:59:00,2022-10-12 11:59:00,142.99829742677653,139.0,30,30,2022-11-11 00:00:00,2022-10-14 15:59:00,204,204,0.037,7.175,4.061411964167032,-3.1135880358329677,0.968,147.0283
AAPL,2022-10-12 12:59:00,2022-10-12 12:59:00,142.46027897363928,139.0,30,30,2022-11-11 00:00:00,2022-10-14 15:59:00,192,192,0.037,7.175,3.5173085026188726,-3.657691497381127,0.9878,102.0526
AAPL,2022-10-12 13:59:00,2022-10-12 13:59:00,141.50702509008562,139.0,30,30,2022-11-11 00:00:00,2022-10-14 15:59:00,180,180,0.037,7.175,2.5736985035432425,-4.601301496456758,0.821,127.1626
