ticker,trading_date,evaluation_timestamp,S_t,K,dte,DTE,expiration,window_end,remaining_horizon,n_steps,r,market,model_price,error,early_ex_frac,mean_ex_day
SPY,2022-12-05 09:59:00,2022-12-05 09:59:00,384.21513070706266,400.0,32,32,2023-01-06 00:00:00,2022-12-09 15:59:00,384,384,0.0436,8.8,39.121864143868194,30.321864143868194,0.0423,382.3204
SPY,2022-12-05 10:59:00,2022-12-05 10:59:00,384.2437096367493,400.0,32,32,2023-01-06 00:00:00,2022-12-09 15:59:00,372,372,0.0436,8.8,40.3592883978283,31.5592883978283,0.2269,369.8384
SPY,2022-12-05 11:59:00,2022-12-05 11:59:00,381.95739526181893,400.0,32,32,2023-01-06 00:00:00,2022-12-09 15:59:00,360,360,0.0436,8.8,37.57480591467788,28.77480591467788,0.2086,357.799
SPY,2022-12-05 12:59:00,2022-12-05 12:59:00,381.39534297798207,400.0,32,32,2023-01-06 00:00:00,2022-12-09 15:59:00,348,348,0.0436,8.8,34.32759428418982,25.52759428418982,0.1882,347.2239
SPY,2022-12-05 13:59:00,2022-12-05 13:59:00,380.28085998330215,400.0,32,32,2023-01-06 00:00:00,2022-12-09 15:59:00,336,336,0.0436,8.8,33.89721398761278,25.09721398761278,0.1219,334.7505
SPY,2022-12-05 14:59:00,2022-12-05 14:59:00,380.0382248702627,400.0,32,32,2023-01-06 00:00:00,2022-12-09 15:59:00,324,324,0.0436,8.8,32.03335496175885,23.233354961758852,0.1723,321.4894
SPY,2022-12-05 15:59:00,2022-12-05 15:59:00,380.680869735816,400.0,32,32,2023-01-06 00:00:00,2022-12-09 15:59:00,312,312,0.0436,8.8,30.617074969175203,21.817074969175202,0.33,304.7754
SPY,2022-12-06 09:59:00,2022-12-06 09:59:00,378.49863485122836,394.0,31,31,2023-01-06 00:00:00,2022-12-09 15:59:00,306,306,0.0437,9.37,36.69833743771683,27.328337437716833,0.1113,304.4811
SPY,2022-12-06 10:59:00,2022-12-06 10:59:00,376.8309881053646,394.0,31,31,2023-01-06 00:00:00,2022-12-09 15:59:00,294,294,0.0437,9.37,33.07329991394277,23.70329991394277,0.0656,292.8421
SPY,2022-12-06 11:59:00,2022-12-06 11:59:00,376.47839993623916,394.0,31,31,2023-01-06 00:00:00,2022-12-09 15:59:00,282,282,0.0437,9.37,31.48768833564954,22.11768833564954,0.0781,279.6132
SPY,2022-12-06 12:59:00,2022-12-06 12:59:00,375.51754952832226,394.0,31,31,2023-01-06 00:00:00,2022-12-09 15:59:00,270,270,0.0437,9.37,30.36346564455986,20.993465644559862,0.1616,268.3197
SPY,2022-12-06 13:59:00,2022-12-06 13:59:00,374.79169437042265,394.0,31,31,2023-01-06 00:00:00,2022-12-09 15:59:00,258,258,0.0437,9.37,28.14636724553987,18.776367245539873,0.2135,255.2289
SPY,2022-12-06 14:59:00,2022-12-06 14:59:00,374.01981216233713,394.0,31,31,2023-01-06 00:00:00,2022-12-09 15:59:00,246,246,0.0437,9.37,25.851560284727242,16.481560284727244,0.1232,244.1545
SPY,2022-12-06 15:59:00,2022-12-06 15:59:00,375.32534132909905,394.0,31,31,2023-01-06 00:00:00,2022-12-09 15:59:00,234,234,0.0437,9.37,25.349081536424137,15.979081536424138,0.1568,231.5015
SPY,2022-12-07 09:59:00,2022-12-07 09:59:00,374.9054075697927,393.0,30,30,2023-01-06 00:00:00,2022-12-09 15:59:00,228,228,0.0429,9.52,29.0331132803764,19.513113280376402,0.1362,226.5654
SPY,2022-12-07 10:59:00,2022-12-07 10:59:00,377.0394345829949,393.0,30,30,2023-01-06 00:00:00,2022-12-09 15:59:00,216,216,0.0429,9.52,31.003242385138815,21.483242385138816,0.2174,209.9094
SPY,2022-12-07 11:59:00,2022-12-07 11:59:00,375.44941266707605,393.0,30,30,2023-01-06 00:00:00,2022-12-09 15:59:00,204,204,0.0429,9.52,29.33409306608898,19.81409306608898,0.0591,202.997
SPY,2022-12-07 12:59:00,2022-12-07 12:59:00,375.7548190374805,393.0,30,30,2023-01-06 00:00:00,2022-12-09 15:59:00,192,192,0.0429,9.52,26.854599439503566,17.334599439503567,0.2363,185.4961
SPY,2022-12-07 13:59:00,2022-12-07 13:59:00,375.1177604367148,393.0,30,30,2023-01-06 00:00:00,2022-12-09 15:59:00,180,180,0.0429,9.52,22.671233216077084,13.151233216077085,0.2231,176.4025
SPY,2022-12-07 14:59:00,2022-12-07 14:59:00,375.0008470605443,393.0,30,30,2023-01-06 00:00:00,2022-12-09 15:59:00,168,168,0.0429,9.52,21.759134729483463,12.239134729483464,0.004,167.9031
SPY,2022-12-07 15:59:00,2022-12-07 15:59:00,375.22035788927246,393.0,30,30,2023-01-06 00:00:00,2022-12-09 15:59:00,156,156,0.0429,9.52,19.837548623040693,10.317548623040693,0.2244,149.2965
SPY,2022-12-08 09:59:00,2022-12-08 09:59:00,376.34126933815696,396.0,29,29,2023-01-06 00:00:00,2022-12-09 15:59:00,150,150,0.0428,9.06,17.244150163840406,8.184150163840405,0.1855,144.9325
SPY,2022-12-08 10:59:00,2022-12-08 10:59:00,376.7667407262547,396.0,29,29,2023-01-06 00:00:00,2022-12-09 15:59:00,138,138,0.0428,9.06,15.228496531899756,6.1684965318997556,0.1735,133.8523
SPY,2022-12-08 11:59:00,2022-12-08 11:59:00,376.3009925199934,396.0,29,29,2023-01-06 00:00:00,2022-12-09 15:59:00,126,126,0.0428,9.06,15.067224736819053,6.007224736819053,0.1378,125.5224
SPY,2022-12-08 12:59:00,2022-12-08 12:59:00,376.0182948528849,396.0,29,29,2023-01-06 00:00:00,2022-12-09 15:59:00,114,114,0.0428,9.06,13.908657855992734,4.848657855992734,0.1725,112.6765
SPY,2022-12-08 13:59:00,2022-12-08 13:59:00,376.6167475755947,396.0,29,29,2023-01-06 00:00:00,2022-12-09 15:59:00,102,102,0.0428,9.06,12.474007793504573,3.414007793504572,0.1668,100.0792
