Datetime,Open,High,Low,Close,Volume
2022-09-30 10:00:00,238.3,240.52,237.35,238.47,2825161
2022-09-30 11:00:00,238.52,239.47,237.3,239.145,2706067
2022-09-30 12:00:00,239.12,240.54,237.18,237.2,2105964
2022-09-30 13:00:00,237.2336,237.65,236.44,236.89,1596780
2022-09-30 14:00:00,236.9,236.95,235.0426,235.59,1644607
2022-09-30 15:00:00,235.6,236.27,234.73,235.13,2127273
2022-09-30 16:00:00,235.14,236.17,232.73,232.81,6938542
2022-10-03 10:00:00,235.5,237.15,234.66,236.1,2783128
2022-10-03 11:00:00,236.11,238.16,235.7101,237.5,2691661
2022-10-03 12:00:00,237.49,238.15,236.75,237.22,1703415
2022-10-03 13:00:00,237.23,238.15,236.9,238.06,1254831
2022-10-03 14:00:00,238.0735,239.66,237.92,239.58,1640379
2022-10-03 15:00:00,239.56,241.61,239.53,241.3628,2431845
2022-10-03 16:00:00,241.39,241.49,240.35,240.66,4093145
2022-10-04 10:00:00,245.09,249.5,244.975,249.29,4268402
2022-10-04 11:00:00,249.28,250.36,248.62,249.64,4715441
2022-10-04 12:00:00,249.62,249.7566,248.23,248.579,2776895
2022-10-04 13:00:00,248.58,249.2,247.7403,248.05,1874856
2022-10-04 14:00:00,248.06,248.31,246.63,248.23,1700795
2022-10-04 15:00:00,248.23,249.11,247.43,248.888,1684884
2022-10-04 16:00:00,248.89,249.01,247.53,248.89,3350936
2022-10-05 10:00:00,246.05,247.27,245.22,245.44,1900463
2022-10-05 11:00:00,245.42,245.77,244.11,244.565,2105533
2022-10-05 12:00:00,244.56,245.9381,244.36,245.56,1486595
2022-10-05 13:00:00,245.53,248.26,244.99,247.5942,1566479
2022-10-05 14:00:00,247.61,248.94,247.47,247.5,1279404
2022-10-05 15:00:00,247.53,249.98,247.42,249.56,1898610
2022-10-05 16:00:00,249.57,250.58,248.67,249.33,3080365
2022-10-06 10:00:00,247.97,250.34,247.93,248.02,2016989
2022-10-06 11:00:00,248.01,249.36,246.08,249.07,2700430
2022-10-06 12:00:00,249.08,250.0,248.0,248.28,1857343
2022-10-06 13:00:00,248.31,248.94,247.83,248.34,1195158
2022-10-06 14:00:00,248.35,248.5753,247.55,248.24,883518
2022-10-06 15:00:00,248.14,248.16,246.45,247.28,1150813
2022-10-06 16:00:00,247.31,247.91,246.46,246.85,2411987
2022-10-07 10:00:00,241.16,241.32,236.82,237.0101,4497115
2022-10-07 11:00:00,237.01,237.11,235.16,236.22,4166025
2022-10-07 12:00:00,236.23,236.72,235.4601,235.92,2120536
2022-10-07 13:00:00,235.955,236.28,234.56,234.73,2231202
2022-10-07 14:00:00,234.725,235.19,234.33,234.46,1627062
2022-10-07 15:00:00,234.4769,235.0,233.91,234.965,1996181
2022-10-07 16:00:00,234.9459,235.12,233.17,234.25,6226114
2022-10-10 10:00:00,233.05,234.559,230.5999,230.79,3125012
2022-10-10 11:00:00,230.79,231.6,228.36,228.76,3660016
2022-10-10 12:00:00,228.77,230.32,228.44,229.0599,2384066
2022-10-10 13:00:00,229.06,229.15,227.3393,227.42,2028392
2022-10-10 14:00:00,227.41,230.7,226.73,229.99,2813923
2022-10-10 15:00:00,229.98,230.79,228.96,230.1,2114753
2022-10-10 16:00:00,230.08,230.74,228.87,229.09,3794863
2022-10-11 10:00:00,227.6,227.94,225.21,225.34,2767010
2022-10-11 11:00:00,225.33,227.12,224.92,225.56,3517599
2022-10-11 12:00:00,225.57,229.03,225.56,227.7934,2620931
2022-10-11 13:00:00,227.79,229.06,227.19,228.2715,1845661
2022-10-11 14:00:00,228.26,228.45,227.15,228.145,1609136
2022-10-11 15:00:00,228.07,228.5,224.64,225.08,2395950
2022-10-11 16:00:00,225.08,225.97,224.11,225.46,4307964
2022-10-12 10:00:00,225.24,226.87,224.28,225.95,2011759
2022-10-12 11:00:00,225.96,226.28,223.96,224.67,2017492
2022-10-12 12:00:00,224.73,226.18,224.57,225.83,1778792
2022-10-12 13:00:00,225.84,226.41,224.56,225.81,1393829
2022-10-12 14:00:00,225.82,226.98,225.74,225.84,2019159
2022-10-12 15:00:00,225.87,227.86,225.77,226.09,2480585
2022-10-12 16:00:00,226.06,226.9,225.62,225.69,2276205
2022-10-13 10:00:00,219.99,223.24,219.13,223.2109,3387837
2022-10-13 11:00:00,223.24,226.56,222.87,224.79,5148936
2022-10-13 12:00:00,224.79,234.52,224.74,233.16,6281553
2022-10-13 13:00:00,233.15,234.21,231.52,233.11,3272545
2022-10-13 14:00:00,233.12,235.92,232.57,234.575,3001889
2022-10-13 15:00:00,234.58,235.98,233.65,235.21,2302333
2022-10-13 16:00:00,235.25,236.1,233.88,234.24,5009578
2022-10-14 10:00:00,235.69,237.24,231.44,232.71,3474388
2022-10-14 11:00:00,232.75,233.59,230.31,232.26,3244334
2022-10-14 12:00:00,232.27,232.985,229.91,230.19,2199293
2022-10-14 13:00:00,230.18,230.99,229.02,230.08,1824441
2022-10-14 14:00:00,230.06,230.7,229.51,230.4201,1309388
2022-10-14 15:00:00,230.42,230.5298,229.0,230.03,1622343
2022-10-14 16:00:00,230.015,230.6,228.34,228.58,4939914
2022-10-17 10:00:00,235.82,238.96,235.68,237.275,3417438
2022-10-17 11:00:00,237.29,238.06,235.4211,236.0185,2348632
2022-10-17 12:00:00,236.04,237.49,235.135,237.17,2086351
2022-10-17 13:00:00,237.18,237.24,235.78,236.17,1386212
2022-10-17 14:00:00,236.16,237.64,235.61,237.55,1320292
2022-10-17 15:00:00,237.55,238.03,237.06,237.24,1428201
2022-10-17 16:00:00,237.23,237.95,236.73,237.53,3837841
2022-10-18 10:00:00,243.39,243.93,239.729,239.89,3191205
2022-10-18 11:00:00,239.87,241.34,238.68,239.115,2792818
2022-10-18 12:00:00,239.14,239.44,235.37,237.17,2765772
2022-10-18 13:00:00,237.1103,239.05,236.92,237.89,2177673
2022-10-18 14:00:00,237.8173,239.32,236.9,239.01,1705138
2022-10-18 15:00:00,238.99,239.19,236.22,237.34,1719311
2022-10-18 16:00:00,237.32,239.23,236.6,238.56,2776199
2022-10-19 10:00:00,237.22,238.57,236.51,236.975,1990686
2022-10-19 11:00:00,236.99,239.61,236.76,237.82,2307611
2022-10-19 12:00:00,237.84,238.34,236.52,237.02,1727765
2022-10-19 13:00:00,237.03,237.37,235.37,235.78,1504225
2022-10-19 14:00:00,235.79,235.85,234.29,235.24,1484216
2022-10-19 15:00:00,235.21,236.24,234.74,234.8,1271413
2022-10-19 16:00:00,234.78,236.64,234.65,236.53,2155302
2022-10-20 10:00:00,235.74,239.36,235.71,239.045,1993433
2022-10-20 11:00:00,239.06,241.31,238.9,240.51,1830508
2022-10-20 12:00:00,240.4801,240.4801,238.87,239.51,1213826
2022-10-20 13:00:00,239.5,239.5,236.89,237.92,1638964
2022-10-20 14:00:00,237.91,238.5,235.35,235.85,1476644
2022-10-20 15:00:00,235.85,236.21,234.87,235.87,1609653
2022-10-20 16:00:00,235.86,236.96,235.38,236.12,2499769
2022-10-21 10:00:00,234.75,238.17,234.5,237.87,4117003
2022-10-21 11:00:00,237.85,238.75,235.61,235.64,2003428
2022-10-21 12:00:00,235.64,239.39,235.11,239.22,1649021
