underlying,role,regime,n_quotes,n_dates,n_calls,n_puts,mean_S,mean_option_price,mean_r,mean_dte,start,end
SPY,primary,covid,66405,50,33484,32921,320.2987663423688,8.327918831413296,0.003466318801295083,24.318560349371282,2020-01-06,2020-12-24
SPY,primary,crisis,9285,101,4566,4719,111.87299316650511,4.316443187937534,0.008776833602584815,33.367474421109314,2008-01-02,2009-12-28
SPY,primary,late,100623,100,46310,54313,282.75106281699016,4.674804716615485,0.020541821452351845,24.693519374298123,2018-01-05,2019-12-27
SPY,primary,normal,33911,101,15498,18413,183.11805725817578,3.301895845006045,0.00040209076700775567,26.956238388723424,2013-01-04,2014-12-30
AAPL,secondary,covid,12057,50,6241,5816,257.2052127394874,11.186589533051341,0.0035841917558264904,25.71311271460562,2020-01-08,2020-12-28
AAPL,secondary,crisis,1856,101,967,889,151.86372629310344,8.009204202586208,0.008354795258620686,32.699353448275865,2008-01-02,2009-12-30
AAPL,secondary,late,16708,101,8660,8048,202.3967377902801,6.548443260713431,0.020246402920756506,26.032140292075653,2018-01-05,2019-12-31
AAPL,secondary,normal,20989,101,10915,10074,378.17478074705804,12.001074229358236,0.00043845347563009206,25.53023012053933,2013-01-07,2014-12-31
MSFT,secondary,covid,8098,50,4213,3885,193.57253272412942,7.7827624104717215,0.0032422696962212875,25.360953321807855,2020-01-07,2020-12-24
MSFT,secondary,crisis,1481,101,769,712,25.26953409858204,1.152380148548278,0.007829844699527343,32.93720459149223,2008-01-02,2009-12-28
MSFT,secondary,late,20229,101,10445,9784,114.32673142518166,3.0528854614662118,0.02016737357259379,24.25918236195561,2018-01-04,2019-12-30
MSFT,secondary,normal,6807,101,3575,3232,40.328974438078454,1.0882280005876304,0.0003815777875716175,26.152196268547083,2013-01-03,2014-12-29
