Date,SPY,AAPL
2007-01-03,141.49824,2.99286
2007-01-04,141.670871,3.059286
2007-01-05,140.807076,3.0375
2007-01-08,141.164953,3.0525
2007-01-09,141.091368,3.30607
2007-01-10,141.380308,3.46429
2007-01-11,142.277585,3.42143
2007-01-12,142.966359,3.37929
2007-01-16,143.08108,3.46786
2007-01-17,142.966173,3.39107
2007-01-18,142.54481,3.18107
2007-01-19,142.958129,3.16071
2007-01-22,142.207669,3.099643
2007-01-23,142.710174,3.060714
2007-01-24,143.925246,3.096429
2007-01-25,142.305537,3.080357
2007-01-26,142.132767,3.049286
2007-01-29,141.992051,3.069286
2007-01-30,142.812079,3.055357
2007-01-31,143.76973,3.061786
2007-02-01,144.5733,3.026429
2007-02-02,144.818341,3.026786
2007-02-05,144.690657,2.99786
2007-02-06,144.791892,3.005357
2007-02-07,145.051924,3.076786
2007-02-08,144.882866,3.077857
2007-02-09,143.863091,2.97393
2007-02-12,143.402962,3.031429
2007-02-13,144.515516,3.025
2007-02-14,145.653363,3.046429
2007-02-15,145.818085,3.043214
2007-02-16,145.694272,3.029643
2007-02-20,146.117698,3.067857
2007-02-21,145.922611,3.18571
2007-02-22,145.830581,3.19679
2007-02-23,145.326404,3.18107
2007-02-26,145.16165,3.16107
2007-02-27,140.167663,2.9975
2007-02-28,140.96821,3.021786
2007-03-01,140.606543,3.10929
2007-03-02,139.008773,3.050357
2007-03-05,137.711171,3.082857
2007-03-06,139.843459,3.14964
2007-03-07,139.539927,3.13286
2007-03-08,140.540602,3.14286
2007-03-09,140.634953,3.14179
2007-03-12,141.012436,3.20964
2007-03-13,138.185632,3.15714
2007-03-14,139.115779,3.21429
2007-03-15,139.632047,3.19893
2007-03-16,138.547181,3.19964
2007-03-19,140.05643,3.25464
2007-03-20,140.943726,3.26714
2007-03-21,143.350859,3.3525
2007-03-22,143.299574,3.35571
2007-03-23,143.455798,3.34
2007-03-26,143.592563,3.42321
2007-03-27,142.705852,3.40929
2007-03-28,141.600607,3.33
2007-03-29,142.135269,3.34821
2007-03-30,141.969344,3.31821
2007-04-02,142.336925,3.34464
2007-04-03,143.684638,3.375
2007-04-04,143.845306,3.36679
2007-04-05,144.324637,3.38143
2007-04-09,144.410725,3.34464
2007-04-10,144.789998,3.36607
2007-04-11,143.856615,3.30679
2007-04-12,144.748942,3.2925
2007-04-13,145.250634,3.22286
2007-04-16,146.810554,3.26536
2007-04-17,147.109959,3.22679
2007-04-18,147.213742,3.22857
2007-04-19,147.040351,3.22393
2007-04-20,148.401721,3.24893
2007-04-23,148.06271,3.33964
2007-04-24,148.009285,3.33
2007-04-25,149.519586,3.40536
2007-04-26,149.416793,3.53
2007-04-27,149.403548,3.56857
2007-04-30,148.237879,3.56429
2007-05-01,148.628705,3.5525
2007-05-02,149.603885,3.58536
2007-05-03,150.293327,3.58571
2007-05-04,150.617636,3.60036
2007-05-07,151.008456,3.71143
2007-05-08,150.845201,3.75214
2007-05-09,151.369453,3.81714
2007-05-10,149.288156,3.83357
2007-05-11,150.736648,3.88357
2007-05-14,150.4753,3.90571
2007-05-15,150.293094,3.84
2007-05-16,151.628924,3.83357
2007-05-17,151.502997,3.90857
2007-05-18,152.499708,3.92929
2007-05-21,152.733503,3.99929
2007-05-22,152.635316,4.055
2007-05-23,152.453834,4.031786
2007-05-24,151.000247,3.95321
2007-05-25,151.819693,4.057857
2007-05-29,152.074354,4.083929
2007-05-30,153.338981,4.24179
2007-05-31,153.381235,4.32821
2007-06-01,153.950751,4.22857
2007-06-04,154.239945,4.33321
2007-06-05,153.424989,4.38107
2007-06-06,152.1095,4.41571
2007-06-07,149.459793,4.43107
2007-06-08,151.149057,4.44607
2007-06-11,151.294707,4.2925
2007-06-12,149.687265,4.29929
2007-06-13,151.982853,4.19643
2007-06-14,152.719891,4.24107
2007-06-15,153.052974,4.30357
2007-06-18,152.868675,4.4675
2007-06-19,153.134687,4.41643
2007-06-20,151.057755,4.34107
2007-06-21,152.023275,4.425
2007-06-22,150.065048,4.39286
2007-06-25,149.58472,4.36929
2007-06-26,149.1072,4.27321
2007-06-27,150.476131,4.35321
2007-06-28,150.415129,4.30571
2007-06-29,150.178146,4.35857
2007-07-02,151.786789,4.33071
2007-07-03,152.360435,4.54179
2007-07-05,152.413571,4.74107
